en,hi,confidence
you're never too old to learn,सीखने की कोई उम्र नहीं होती,10
you're only as good as your last shift,आख़िरी काम से ही पहचान होती है,6
you've got to be in it to win it,जो खेलेगा वही जीतेगा,8
you've got to crack a few eggs to make an omelette,बिना मेहनत के कुछ नहीं मिलता,6
you've got to separate the wheat from the chaff,अच्छे बुरे की परख ज़रूरी है,5
you've made your bed and you must lie in/on it,जैसी करनी वैसी भरनी,9
"your face, your fate",माथे पर किस्मत लिखी होती है,6
your net worth is your network,संगत से ही रंगत होती है,7
your network is your net worth,संगत से ही रंगत होती है,7
your vibe attracts your tribe,जैसा संग वैसा रंग,9
youth is wasted on the young,जवानी का मोल बुढ़ापा जानता है,6
zeal without knowledge is a runaway horse,अधजल गगरी छलकत जाए,7
zeal without knowledge is fire without light,अधजल गगरी छलकत जाए,7
a broken clock is right twice a day,सड़ी घड़ी भी दिन में दो बार सही समय बताती है,6
a buck is a buck,पैसा पैसा होता है,9
a buck is a buck is a buck,पैसा पैसा होता है,8
a buck's a buck,पैसा पैसा होता है,9
a cat can look at a king,सूरज सब पर बराबर चमकता है,6
a cat in gloves catches no mice,नाखून बिना बिल्ली चूहे नहीं पकड़ती,5
a cat may look at a king,सूरज सब पर बराबर चमकता है,6
a change is as good as a rest,माहौल बदलने से भी थकान उतर जाती है,4
a closed mouth catches no flies,"कम बोलो, सुख पाओ",6
a closed mouth doesn't get fed,रोए बिना माँ भी दूध नहीं पिलाती,9
a closed mouth gathers no feet,कम बोलोगे तो कम फँसोगे,5
a creaking door hangs long on its hinges,"जिनके दिन फिरने होते हैं, वे देर तक जीते हैं",3
a creaking door hangs longest,"जिनके दिन फिरने होते हैं, वे देर तक जीते हैं",3
a dog is a man's best friend,कुत्ता इंसान का सच्चा दोस्त होता है,8
a dumb priest never got a parish,रोए बिना माँ भी दूध नहीं पिलाती,7
a fair booty makes many a thief,मौका चोर को भी सज्जन बना देता है,3
a mind is a terrible thing to waste,अक्ल हो तो उसका इस्तेमाल करो,4
"a moment on the lips, a lifetime on the hips","जुबान का स्वाद, सेहत बरबाद",6
a revolution is not a dinner party,क्रांति खेल तमाशा नहीं होती,5
a wild goose never laid a tame egg,खून अपना रंग दिखाता है,7
age is just a number,"उम्र नहीं, हौसले गिने जाते हैं",8
all is fish that comes to the net,"जैसा भी हो, काम का हो तो ठीक है",4
all is for the best in the best of all possible worlds,जो होता है अच्छे के लिए होता है,9
all is grist that comes to the mill,"जो मिले, काम में ले लो",5
all politics are local,राजनीति की जड़ गाँव-गाँव में होती है,3
all politics is local,राजनीति की जड़ गाँव-गाँव में होती है,3
all publicity is good publicity,बदनाम हुए तो क्या नाम न होगा,8
all roads lead to mecca,सब रास्ते एक ही मंज़िल को जाते हैं,6
all roads lead to sydney,सब रास्ते एक ही मंज़िल को जाते हैं,5
all that glitters,जो चमकता है वह सोना नहीं होता,9
all the world loves a lover,इश्क़ करने वालों पर दुनिया भी मेहरबान होती है,4
all things excellent are as difficult as they are rare,बड़ी मंज़िल का रास्ता हमेशा कठिन होता है,6
all you need is love,प्यार ही सब कुछ है,8
all's fish that comes to the net,जो मिले वही गनीमत है,7
almost only counts in horseshoes and hand grenades,लगभग से काम नहीं चलता,5
"another day, another dollar","दिन गया, पैसा कमाया",4
any exposure is good exposure,बदनाम होंगे तो क्या नाम न होगा,8
any press is good press,बदनाम होंगे तो क्या नाम न होगा,9
any publicity is good publicity,बदनाम होंगे तो क्या नाम न होगा,10
as queer as a three dollar bill,"ऊपर से राम-राम, भीतर में घाव",4
ask my companion if i be a thief,चोर की दाढ़ी में तिनका,6
at the end of my rope,अब तो सब्र का बाँध टूट गया,7
attitude reflects leadership,जैसा राजा वैसी प्रजा,10
bad money drives out good,बुरा संग बुराई ही सिखाता है,4
bad things come in threes,मुसीबतें कभी अकेली नहीं आतीं,9
be yourself,जैसे हो वैसे ही रहो,7
"beauty fades, dumb is forever","रूप जाता है, गुण साथ जाता है",8
believing is seeing,श्रद्धा हो तो भगवान पत्थर में भी दिखते हैं,7
"bet on the jockey, not the horse","घोड़ा नहीं, सवार देखो",6
"bet the jockey, not the horse","घोड़ा नहीं, सवार देखो",6
better is the enemy of good,अति सर्वत्र वर्ज्या,6
better one word in time than two afterwards,समय पर दी गई सलाह ही काम आती है,5
better to have loved and lost than never to have loved at all,प्यार किया तो डरना क्या,6
better to reign in hell than serve in heaven,अपना राज नरक में भी अच्छा,7
bis dat qui cito dat,"जो समय पर दे, वही सच्चा दानी",6
bros before hoes,यारों के लिए जान हाज़िर,6
bros before hos,यारों के लिए जान हाज़िर,6
care killed a cat,ज़्यादा चिंता चिता बन जाती है,8
care killed the cat,ज़्यादा चिंता चिता बन जाती है,8
caveat lector,पढ़ने वाला खुद सावधान रहे,4
coffee and love taste best when hot,प्यार और कॉफी दोनों गरम ही अच्छे लगते हैं,6
"cold hands, warm heart","ऊपर से सख्त, अंदर से नरम",5
denial is not a river in egypt,सच से मुँह मोड़ने से सच बदल नहीं जाता,7
desperate times require desperate measures,नाच न जाने आँगन टेढ़ा,2
devil take the hindmost,"जो डूबे सो डूबे, मैं पार",6
diamonds are a girl's best friend,हीरा हीरे को भाता है,3
different clowns same circus,नया मुल्ला वही पुरानी नमाज़,8
do as i say and not as i do,"उपदेश देना आसान, पालन करना कठिन",6
do as i say not as i do,"उपदेश देना आसान, पालन करना कठिन",7
do not put new wine into old bottles,नए मुल्ला को नई मस्जिद,6
do not sit in rome and strive with the pope,जिसकी लाठी उसकी भैंस,7
"do what i say, not what i do","उपदेश देना आसान, पालन करना कठिन",7
doctors make the worst patients,लोहार के घर का चाकू कुंद,8
does macy's tell gimbel's,दुकानदार अपना भेद नहीं खोलता,4
don't count your chicks,अंडे सेने से पहले चूजे नहीं गिने जाते,9
"drive for show, putt for dough",दिखावे से पेट नहीं भरता,6
"early marriage, earlier pregnant","जल्दी की शादी, जल्दी की जिम्मेदारी",3
"eat breakfast like a king, lunch like a prince and dinner like a pauper","सुबह राजाओं की तरह खाओ, रात को फकीरों की तरह",6
every accusation is a confession,चोर की दाढ़ी में तिनका,7
extraordinary claims require extraordinary evidence,बड़ी बात के लिए बड़ा सबूत चाहिए,6
facts don't care about your feelings,सच कड़वा होता है,7
fake it till you make it,करते-करते ही करना आता है,5
fingers were made before forks,ऊँगलियाँ चम्मच से पहले बनी हैं,5
fool me once,एक बार की ठोकर भी बहुत होती है,5
"fool me once, shame on you","एक बार धोखा दे तो तुम्हारी चालाकी, दूसरी बार दे तो मेरी बेवकूफ़ी",8
free is for me,मुफ़्त की चीज़ सबको प्यारी,8
from the sublime to the ridiculous,ऊँची दुकान फीका पकवान,6
game is game,खेल तो खेल है,4
genius is an infinite capacity for taking pains,मेहनत ही प्रतिभा की असली पहचान है,4
give a man a fish,भूखे को मछली देने से अच्छा है मछली पकड़ना सिखा दो,9
give someone enough rope and they'll hang themself,दुश्मन को इतना मौका दो कि वह खुद अपनी कब्र खोद ले,6
"given enough eyeballs, all bugs are shallow",ज़्यादा आँखें हों तो गलती छिप नहीं सकती,4
gods may do what cattle may not,जाको राखे साइयां मार सके न कोय,3
"good artists copy, great artists steal",असली उस्ताद वही जो बात को अपना बना ले,3
good things come in threes,सौभाग्य कभी अकेला नहीं आता,3
great minds,महान दिमाग़ एक जैसा सोचते हैं,5
"hate the game, not the player","खेल से शिकवा कर, खिलाड़ी से नहीं",3
haters gonna hate,निंदक का काम निंदा करना ही है,6
here we are,हम यहाँ तक आ ही गए,2
"horses, not zebras",सीधी बात में पेच क्यों ढूँढते हो,3
"hunger never knows the taste, sleep never knows the comfort",भूखे को रोटी ही मीठी लगती है,7
i'm going to have to give you the pink slip,तुम्हें नौकरी से निकालना पड़ेगा,2
if it looks like a duck,जैसा दिखता है वैसा ही होता है,3
"if you believe everything you read, better not to read",जो कुछ पढ़ो उस पर आँख मूँदकर यक़ीन मत करो,4
"if you can't live longer, live deeper","ज़िंदगी लंबी नहीं, गहरी होनी चाहिए",9
"if you have never seen the bottom of the tree, you cannot know how tall it stands",आधा अधूरा ज्ञान घातक होता है,5
"if you must dance with the devil, you might as well know his favorite song",नाच न जाने आँगन टेढ़ा,3
"if you steal from one author, it is plagiarism; if you steal from many, it is research",चोर की दाढ़ी में तिनका,2
"if you're growing in age, then you're nearing to the graveyard",जो आया है सो जाएगा,7
"in like a lion, out like a lamb","शेर की दहाड़, बिल्ली की म्याऊँ",4
"islands depend on reeds, just as reeds depend on islands",एक हाथ से ताली नहीं बजती,8
it ain't the whistle that pulls the train,ढोल की पोल खोलने से ही सच पता चलता है,2
it ain't what you don't know that gets you into trouble. it's what you know for sure that just ain't so,अधजल गगरी छलकत जाए,6
it doesn't matter what they say about you as long as they spell your name right,बदनाम हुए तो क्या नाम न होगा,9
it is all grist to the mill,सब दालें एक ही थैली की हैं,3
it is better to have loved and lost than never to have loved at all,प्यार किया तो डरना क्या,6
it is better to travel hopefully than to arrive,मंज़िल से ज़्यादा सफ़र हसीन होता है,4
it is easier for a camel to go through the eye of a needle than for a rich man to enter into the kingdom of god,ऊँट के मुँह में जीरा,2
it is like juggling sand,रेत पर महल बनाना,7
"it is not enough to learn how to ride, you must also learn how to fall",गिरते हैं शहसवार ही मैदान-ए-जंग में,6
it is the squeaky wheel that gets the grease,रोता बच्चा ही दूध पीता है,10
it pays to advertise,जैसी करनी वैसी भरनी,2
it takes a village,एक से भले दो,4
it takes a village to raise a child,पूरे गाँव से मिलकर बच्चा पलता है,5
it takes a whole village to raise a child,पूरे गाँव से मिलकर बच्चा पलता है,6
it will be the same a hundred years hence,सौ साल बाद सब धरा का धरा रह जाएगा,3
it's an ill wind,हर बुराई में कुछ भलाई होती है,7
it's not the whistle that pulls the train,ढोल की पोल खोलने से ही सच पता चलता है,2
joan's as good as my lady in the dark,अँधेरे में सब बिल्ली बराबर,9
kill the chicken to scare the monkey,नज़ीर बना कर सबको डराना,3
kill the goose that lays the golden egg,सोने का अंडा देने वाली मुर्गी को मत मारो,10
kill two birds with one stone,एक तीर से दो निशाने,10
kindness in words creates confidence. kindness in thinking creates profoundness. kindness in giving creates love,नेकी कर दरिया में डाल,5
kissing goes by favor,जैसी जिसकी पसंद वैसा उसका चाव,4
knock on (or touch) wood,कहीं नज़र न लग जाए,8
know thyself,आत्मज्ञान ही सच्चा ज्ञान है,7
know which side (one's) bread is buttered,जिस थाली में खाना उसी में छेद नहीं करते,6
knowledge is power,ज्ञान ही शक्ति है,10
"knowledge is power, guard it well","विद्या धन सबसे बड़ा, इसे संभाल कर रखना",6
laugh and grow fat,"हँसो-खाओ, मौज उड़ाओ",4
"laugh and the world laughs with you, weep and you weep alone","हँसते के साथ सब, रोते के साथ कोई नहीं",6
laughter is the best medicine,हँसी सबसे बड़ी दवा है,8
"learn a language, and you will avoid a war",जितनी ज़बान उतने इंसान,6
"least said, soonest mended","कम बोलो, चैन से रहो",6
leave with the one that brought ya,जिसकी थाली उसका निवाला,4
leave with the one that brung ya,जिसकी थाली उसका निवाला,4
leave with the one that brung you,जिसकी थाली उसका निवाला,4
leave with the one what brought ya,जिसकी थाली उसका निवाला,4
leave with the one what brought you,जिसकी थाली उसका निवाला,4
leave with the one what brung ya,जिसकी थाली उसका निवाला,4
leave with the one what brung you,जिसकी थाली उसका निवाला,4
leave with the one who brought ya,जिसकी थाली उसका निवाला,4
leave with the one who brought you,जिसकी थाली उसका निवाला,4
leave with the one who brung ya,जिसकी थाली उसका निवाला,4
leave with the one who brung you,जिसकी थाली उसका निवाला,4
less is more,कम में ही ज़्यादा सुख है,6
let a thousand flowers bloom,सौ फूल खिलने दो,5
let bygones be bygones,जो बीत गई सो बात गई,10
let not the sun go down on your wrath,रात भर का रोष मत रखो,5
let sleeping dogs lie,सोए साँप को मत छेड़ो,9
let the buyer beware,खरीदार होशियार रहे,7
let the cat out of the bag,राज़ की बात खोल देना,7
let the cobbler stick to his last,"नाई न बने, उस्तरा हाथ में",5
"long ways, long lies",जैसा संग वैसा रंग,4
love is love,दिल तो बच्चा है जी,3
love the sinner but hate the sin,"पाप से घृणा करो, पापी से नहीं",9
"love the sinner, hate the sin","पाप से घृणा करो, पापी से नहीं",9
make lemonade,निंबू मिले तो नींबू पानी बना लो,6
memory is the treasure of the mind,यादें ही असली पूँजी हैं,5
"men get spoiled by staying, women get spoiled by wandering",औरत घर की लक्ष्मी है,3
mocking is catching,जैसा बोओगे वैसा काटोगे,6
"money talks, wealth whispers",असली अमीरी दिखावे में नहीं होती,4
money won is twice as sweet as money earned,आया हुआ धन मीठा लगता है,3
"move your feet, lose your seat",जो सोया वो खोया,7
nature abhors a vacuum,प्रकृति खाली जगह नहीं छोड़ती,4
nature does not do anything in vain,प्रकृति व्यर्थ कुछ नहीं करती,5
ne'er cast a clout till may be out,"जब तक सावन न जाए, गर्म कपड़ा न उतारें",3
never cast a clout until may be out,"जब तक सावन न जाए, गर्म कपड़ा न उतारें",3
never give a sucker an even break,मूर्ख से फायदा उठाने में देर मत करो,2
never let the sun go down on your anger,रात होने से पहले मनमुटाव मिटा लो,5
never let the truth get in the way of a good story,कहानी में तड़का ज़रूरी है,3
"never reveal a man's wage, and woman's age",औरत की उम्र और मर्द की कमाई नहीं पूछते,8
never tell tales out of school,घर की बात बाहर नहीं ले जाते,8
never waste a crisis,मुसीबत को भी मौके में बदलो,4
nice guys finish last,सीधा आदमी हमेशा पिसता है,7
no good deed ever goes unpunished,"नेकी कर दरिया में डाल, वरना लोग सर चढ़ जाएँगे",4
no good deed goes unpunished,"नेकी कर दरिया में डाल, वरना लोग सर चढ़ जाएँगे",4
"no names, no pack-drill",नाम न लो तो बदनामी नहीं,3
on the internet nobody knows you're a dog,जंगल में मोर नाचा किसने देखा,4
"on the internet, nobody knows you're a dog",जंगल में मोर नाचा किसने देखा,4
"once a(n) _, always a(n","जिसकी आदत बिगड़ जाए, वो कभी नहीं सुधरता",3
"one can't live with them, one can't live without them",न रहेगा बांस न बजेगी बांसुरी,3
one kind word can warm three winter months,मीठी वाणी से पत्थर भी पिघल जाते हैं,7
poor is a mindset,"मन के हारे हार है, मन के जीते जीत",8
poor is a state of mind,"मन के हारे हार है, मन के जीते जीत",8
poorness is a state of mind,"मन के हारे हार है, मन के जीते जीत",8
possession is nine points of the law,जिसकी लाठी उसकी भैंस,9
possession is nine-tenths of the law,जिसकी लाठी उसकी भैंस,9
poverty is a mindset,"मन के हारे हार है, मन के जीते जीत",8
poverty is a state of mind,"मन के हारे हार है, मन के जीते जीत",8
prevention is better than cure,इलाज से परहेज़ अच्छा,10
pride comes before a fall,घमंड का सिर नीचा,10
pride comes before the fall,घमंड का सिर नीचा,10
pride comes/goes before a fall,घमंड का सिर नीचा,10
pride cometh before a fall,घमंड का सिर नीचा,10
pride goes before a fall,घमंड का सिर नीचा,10
pride goeth before a fall,घमंड का सिर नीचा,10
pride wenteth before a fall,घमंड का सिर नीचा,10
procrastination is the thief of time,आज का काम कल पर मत टाल,10
put one's hand to the plough,हल जोतने वाला पीछे मुड़कर नहीं देखता,7
put your best foot forward,पूरी ताकत लगा दो,6
put your money where your mouth is,"बातों से नहीं, काम से साबित करो",7
putting the cart before the horse,ऊंट के आगे बीन बजाना,3
rain does not fall on one roof alone,सुख-दुख सबके जीवन में आते हैं,6
"ready, fire, aim",बिना सोचे-समझे काम में कूद पड़ना,5
reason is the slave of passion,प्रेम अंधा होता है,6
render unto caesar the things which are caesar's,जैसा देश वैसा भेष,4
"repetition, repetition, repetition",अभ्यास से ही सिद्धि होती है,8
"respect is not given, it is earned","इज़्जत कमानी पड़ती है, मिलती नहीं",8
revenge is a dish best served cold,बदला मीठा होता है,6
revenge is sweet,बदला मीठा होता है,9
revolutions are not made with rosewater,बिना खून-पसीना बहाए क्रांति नहीं होती,7
rome wasn't burned in a day,बड़ा काम एक दिन में नहीं होता,5
shirtsleeves to shirtsleeves in three generations,धन तीन पीढ़ी से ज़्यादा नहीं टिकता,4
silence is oppression,अन्याय के सामने चुप रहना भी अपराध है,7
sisters before misters,सखी सजन से बढ़कर,6
slow but sure wins the race,"धीरे धीरे रे मना, धीरे सब कुछ होय",9
snitches get stitches,चुगली करने वाला कभी सुखी नहीं रहता,5
snitches get stitches and end up in ditches,चुगली करने वाला खुद ही मुसीबत बुलाता है,4
snitches get stitches and wind up in ditches,चुगली करने वाला खुद ही गड्ढे में गिरता है,4
speak softly and carry a big stick,"नरम बोल, कड़ा हाथ",6
"sticks and stones may break my bones, but words will never hurt me","लाठी से लगी, न बात से लगी",8
sufficient unto the day is the evil thereof,"आज का काम आज कर, कल पर मत टाल",4
"talk of angels, and hear the flutter of their wings","जिसका नाम लो, वही हाज़िर",9
talk softly and carry a big stick,"नरम बोल, कड़ा हाथ",6
tell its own story,अपने आप कहानी कहता है,5
that which has been seen cannot be unseen,देखा हुआ अनदेखा नहीं हो सकता,6
the age of miracles is past,चमत्कारों का ज़माना गया,7
the best condiments are authentic flavors,"सादा भोजन, उत्तम भोजन",4
the comeback is greater than the setback,गिरकर संभलना ही असली जीत है,5
the devil is in the detail,बारीकियों में पेंच छुपा होता है,6
the devil is in the details,बारीकियों में पेंच छुपा होता है,6
the devil looks after his own,शैतान अपने चेले नहीं छोड़ता,5
the devil takes care of his own,शैतान अपने चेले नहीं छोड़ता,5
the dose makes the poison,अति सर्वत्र वर्ज्या,9
the end justifies the means,अंत भला तो सब भला,7
the ends justify the means,अंत भला तो सब भला,7
the exception which proves the rule,अपवाद ही नियम की पुष्टि करता है,6
the eyes are the window to the soul,आँखें मन की खिड़की होती हैं,6
the family that prays together stays together,"जो परिवार साथ पूजा करता है, साथ रहता है",7
the highest branch is not the safest roost,ऊँची डाली पर बैठना हमेशा सुरक्षित नहीं होता,4
the house always wins,सूदखोर का कभी घाटा नहीं होता,6
the husband is always the last to know,"घर का जोगी जोगड़ा, आन गाँव का सिद्ध",6
the internet never forgets,जुबान से निकली बात और छोड़ा हुआ तीर वापस नहीं आता,7
the law is a ass,कानून के हाथ लंबे होते हैं,3
the law is an arse,कानून के हाथ लंबे होते हैं,3
the law is an ass,कानून के हाथ लंबे होते हैं,3
the light is on but nobody is home,दिमाग है पर इस्तेमाल नहीं होता,6
the map is not the territory,"कागज़ पर कुछ और, ज़मीन पर कुछ और",8
the mill cannot grind with water that is past,"बीती ताहि बिसार दे, आगे की सुध ले",6
the moon is made of green cheese,हवा में महल बनाना,7
the revolution will not be televised,क्रांति सड़कों पर उतरकर होती है,5
the second mouse gets the cheese,"धीरे चलो, सुरक्षित चलो",3
the stupid monkey knows not to eat the banana skin,बंदर क्या जाने अदरक का स्वाद,5
the truth is in the wine,जुबान शराब में सच बोलती है,4
the world is one's lobster,सारी दुनिया मुट्ठी में है,5
there are more horses' asses than horses,"अक्ल कम, नादान बहुत",3
there is no such thing as bad press,बदनाम होंगे तो क्या नाम न होगा,8
there is no such thing as bad publicity,बदनाम होंगे तो क्या नाम न होगा,9
there is nothing more permanent than a temporary solution,अस्थायी इंतज़ाम ही स्थायी हो जाता है,4
there may be snow on the mountaintop but there's fire in the valley,बाल सफ़ेद हैं पर दिल जवान है,7
there may be snow on the rooftop but there is fire in the furnace,बाल सफ़ेद हैं पर दिल जवान है,7
there's no business like show business,नौटंकी की दुनिया निराली,3
time spent laughing is time spent with the gods,हँसी सबसे बड़ी दवा है,6
tis better to have loved and lost than never to have loved at all,प्यार किया तो डरना क्या,6
to be worn out is to be renewed,पुराना चोला फटता है तो नया मिलता है,4
to learn a language is to have one more window from which to look at the world,"एक भाषा, एक दुनिया; ज़्यादा भाषा, ज़्यादा दुनिया",5
today is a good day to die,"मरना तो एक दिन है ही, आज सही",3
truth is more valuable if it takes you a few years to find it,सच्चाई कड़वी होती है पर अंत में मीठी लगती है,5
turn your face toward the sun and the shadows fall behind you,सूरज की तरफ मुंह करो तो परछाइयाँ पीछे रह जाती हैं,4
two wrongs make a right,एक गलत पर दूसरा गलत करना और बड़ा गलत है,3
"two's company, three's trumpery",दोस्ती में तीसरा फालतू होता है,4
wanton kittens make sober cats,"जवानी दीवानी, बुढ़ापा सयाना",4
watched toast never burns,देखी हुई हांडी कभी नहीं उबलती,6
we are where we are,जो है सो है,8
what happens in las vegas stays in las vegas,"जो घर में हो, घर में रहे",6
what happens in vegas stays in vegas,"जो घर में हो, घर में रहे",6
what is the worst that can happen,ज्यादा से ज्यादा क्या होगा,7
what the eye does not see,"नज़र से दूर, दिल से दूर",5
what wins on sunday sells on monday,"जितनी शोहरत, उतनी बिक्री",4
"when you're up to your neck in alligators, it's hard to remember that your initial objective was to drain the swamp",सिर पर आग लगी हो तो कुआँ खोदने का होश नहीं रहता,6
why buy a book when you can join a library,जब मुफ्त में मिल रहा हो तो खरीदने की क्या ज़रूरत,4
why buy the cow when you can get the milk for free,दूध मुफ्त का मिले तो गाय कौन खरीदे,7
why keep a dog and bark yourself,नौकर रखो तो काम उसी से लो,6
"win on sunday, sell on monday","जितनी शोहरत, उतनी बिक्री",4
winning is a great deodorant,जीत बहुत सी कमियाँ छुपा देती है,5
"wins on sunday, sells on monday","जितनी शोहरत, उतनी बिक्री",4
work expands so as to fill the time available,"जितना समय दो, काम उतना फैल जाता है",5
yesterday's gone,"बीती ताहि बिसार दे, आगे की सुध ले",9
you can't be half pregnant,आधा तीतर आधा बटेर नहीं हो सकता,6
you can't go home again,बीता हुआ समय लौटकर नहीं आता,6
you either die a hero or live long enough to see yourself become the villain,"या तो नायक बनकर मर जाओ, नहीं तो ज़िंदा रहकर खलनायक कहलाओ",3
a camel is a horse designed by a committee,"जहाँ सुई, वहाँ धागा; जहाँ सौ सुई, वहाँ रागा",6
a camel is a horse made by a committee,"जहाँ सुई, वहाँ धागा; जहाँ सौ सुई, वहाँ रागा",6
a camel is a horse made by committee,"जहाँ सुई, वहाँ धागा; जहाँ सौ सुई, वहाँ रागा",6
a foolish consistency is the hobgoblin of little minds,जड़ता मूर्खता की निशानी है,4
a language is a dialect with an army and navy,"",1
a man can do what he wills but he cannot will what he wills,"",1
a watched man never plays,देखी हुई हांडी कभी नहीं उबलती,5
a) swarm in may is worth a load of hay; a swarm in june is worth a silver spoon; but a swarm in july is not worth a fly,"",1
absence makes the heart go yonder,"नज़र से दूर, दिल से दूर",8
another day in paradise,"चलता है, जैसे तैसे कट रही है",3
another happy landing,"",1
any hole's a goal,"",1
bad facts make bad law,"",1
"beer before liquor, never been sicker; liquor before beer, you're in the clear","",1
being poor is a mindset,"",1
being poor is a state of mind,"",1
better dead than red,"",1
"bi now, gay later","",1
buy the same horse twice,एक ही साँप से दो बार डसवाना,6
chicks before dicks,"",1
claret would be port if it could,"",1
"courage is the measure of a man, beauty is the measure of a woman","",1
criss-cross applesauce,"",1
dicks before chicks,"",1
do not sympathize with those who can not empathize,"",1
"dogs have masters, cats have staff","",1
dogs have masters; cats have staff,"",1
"dogs have owners, cats have staff","",1
don't drop the soap,"",1
don't get your meat where you get your bread,"जहाँ रोज़ी कमाते हो, वहीं इश्क़ मत फरमाओ",7
"drop acid, not bombs","",1
"easy, times easy, is still easy","",1
ecree,"",1
fat is flavor,"",1
fat is flavour,"",1
"february fill dyke, be it black or be it white","",1
"feed a cold, starve a fever","",1
"gender is between your ears, not between your legs","",1
"get woke, go broke","",1
"go fash, lose cash","",1
"go woke, go broke","",1
hard cases make bad law,अपवाद से नियम नहीं बनते,8
"he who can, does; he who cannot, teaches","",1
he who denied it supplied it,"",1
he who loves the world as his body may be entrusted with the empire,"",1
he who makes a beast out of himself gets rid of the pain of being a man,"",1
he who said the rhyme did the crime,"",1
he who smelt it dealt it,"",1
hoes before bros,"",1
hydrate or diedrate,"",1
"i before e, except after c","",1
iar,"",1
"if there's grass on the field, play ball","",1
"if there's grass on the pitch, play ball","",1
"if there's grass on the wicket, let's play cricket","",1
"if you go far enough left, you get your guns back","",1
"if you torture the data long enough, it will confess to anything",जैसा सवाल वैसा जवाब,3
ignore all rules,"",1
"it ain't the meat, it's the motion","",1
it is a wise child that knows his own father,"",1
it is on,"",1
it took nixon to go to china,"",1
it wasn't only only,"",1
it's better to ask forgiveness than permission,"",1
it's better to be judged by twelve than to be carried by six,"",1
it's easier to ask forgiveness than to get permission,"",1
"it's not the meat, it's the motion","",1
iura novit curia,"",1
knee-high by the fourth of july,"",1
late lunch makes day go faster,"",1
"laugh before breakfast, cry before supper",ज्यादा हँसी के बाद रोना पड़ता है,4
"leaves of three, let it be","",1
let george do it,"",1
let sleeping aussies lie,सोई शेरनी को मत छेड़ो,6
lex dubia non obligat,"",1
lie back and think of england,"",1
like) trying to grow a goose,"",1
mackerel sky and mare's-tails make lofty ships carry low sails,"",1
mackerel sky and mare's-tails make tall ships carry low sails,"",1
march comes in like a lion and goes out like a lamb,"",1
misters before sisters,"",1
"monday's child is fair of face, tuesday's child is full of grace, wednesday's child is full of woe, thursday's child has far to go, friday's child is loving and giving, saturday's child works hard for its living, and a child that is born on the sabbath day is fair and wise and good and gay","",1
nearly never bulled a cow,लगभग से काम नहीं चलता,6
never fight a land war in asia,अक़्लमंद वही जो समय पर पीछे हट जाए,4
never meet your heroes,हीरो को दूर से ही अच्छा लगता है,5
nine tailors make a man,"",1
"nine you're fine, ten you're mine","",1
no friends but the mountains,आसरा सिर्फ़ आसमान का,3
"no hymen, no diamond","",1
no one ever went broke underestimating the intelligence of the american public,भीड़ की समझ पर कभी ज़्यादा भरोसा मत करो,4
no one ever went broke underestimating the taste of the american people,जनता के स्वाद पर शक करोगे तो घाटे में रहोगे,3
no one ever went broke underestimating the taste of the american public,जनता के स्वाद पर शक करोगे तो घाटे में रहोगे,3
nobody ever went broke underestimating the good taste of the american people,जनता के स्वाद पर शक करोगे तो घाटे में रहोगे,3
nobody ever went broke underestimating the good taste of the american public,जनता के स्वाद पर शक करोगे तो घाटे में रहोगे,3
nobody ever went broke underestimating the intelligence of the american people,भीड़ की समझ पर कभी ज़्यादा भरोसा मत करो,4
nobody ever went broke underestimating the intelligence of the american public,भीड़ की समझ पर कभी ज़्यादा भरोसा मत करो,4
nobody ever went broke underestimating the taste of the american people,जनता के स्वाद पर शक करोगे तो घाटे में रहोगे,3
nobody ever went broke underestimating the taste of the american public,जनता के स्वाद पर शक करोगे तो घाटे में रहोगे,3
of course my horse,"",1
"old soldiers never die, (they simply/just fade away)","पुराने सिपाही मरते नहीं, बस गुमनामी में खो जाते हैं",4
"once a woman, twice a child",बूढ़ापा बचपन का दूसरा रूप है,5
"once you go black, you never go back","",1
one hair of a woman can draw more than a hundred pair of oxen,नारी के केश में बड़ी शक्ति होती है,3
one should never meet one's heroes,हीरो को दूर से ही अच्छा लगता है,5
only fools and horses work,"",1
only nixon can go to china,लोहे को लोहा ही काटता है,6
only nixon could go to china,लोहे को लोहा ही काटता है,6
ontogeny recapitulates phylogeny,"",1
parsley seed goes nine times to the devil,"",1
"pink sky at night, sailors' delight; pink sky at morning, sailors take warning","शाम की लालिमा, नाविक की ख़ुशहाली; सुबह की लालिमा, नाविक की बदहाली",3
"pink sky at night, sailors' delight; pink sky in the morning, sailors take warning","शाम की लालिमा, नाविक की ख़ुशहाली; सुबह की लालिमा, नाविक की बदहाली",3
proverbs come in pairs,कहावतें जोड़ी में चलती हैं,4
proverbs go in pairs,कहावतें जोड़ी में चलती हैं,4
proverbs hunt in pairs,कहावतें जोड़ी में चलती हैं,4
proverbs often come in pairs,कहावतें जोड़ी में चलती हैं,4
proverbs run in pairs,कहावतें जोड़ी में चलती हैं,4
proverbs should be sold in pairs,कहावतें जोड़ी में चलती हैं,4
proverbs should be writ in pairs,कहावतें जोड़ी में चलती हैं,4
proverbs should come in pairs,कहावतें जोड़ी में चलती हैं,4
proverbs should go in pairs,कहावतें जोड़ी में चलती हैं,4
