en,ja,confidence
kissing goes by favor,色の道は理屈なし,5
knee-high by the fourth of july,"",1
knock on (or touch) wood,縁起でもないことを言うな,5
know thyself,己を知れ,9
know which side (one's) bread is buttered,誰の世話になって飯を食っているかをわきまえる,6
knowledge is power,知識は力なり,9
"knowledge is power, guard it well","",1
late lunch makes day go faster,"",1
laugh and grow fat,笑う門には福来たる,9
"laugh and the world laughs with you, weep and you weep alone",泣き面に蜂,3
"laugh before breakfast, cry before supper",朝笑う者は夕べ泣く,6
laughter is the best medicine,笑いは百薬の長,10
"learn a language, and you will avoid a war","",1
"least said, soonest mended",口は災いの元,7
leave with the one that brought ya,義理を欠くな,6
leave with the one that brung ya,義理を欠くな,6
leave with the one that brung you,義理を欠くな,6
leave with the one what brought ya,義理を欠くな,6
leave with the one what brought you,義理を欠くな,6
leave with the one what brung ya,義理を欠くな,6
leave with the one what brung you,"",1
leave with the one who brought ya,"",1
leave with the one who brought you,"",1
leave with the one who brung ya,"",1
leave with the one who brung you,"",1
"leaves of three, let it be","",1
less is more,"",1
let a thousand flowers bloom,"",1
let bygones be bygones,"",1
let george do it,"",1
let not the sun go down on your wrath,"",1
let sleeping aussies lie,"",1
let sleeping dogs lie,"",1
let the buyer beware,"",1
let the cat out of the bag,"",1
let the cobbler stick to his last,"",1
let the dead bury the dead,"",1
let the punishment fit the crime,"",1
let well alone,"",1
let your hair down,"",1
lex dubia non obligat,"",1
lie back and think of england,"",1
life begins at forty,"",1
life is like a box of chocolates,"",1
life is not all beer and skittles,"",1
life is too short not to do something that matters,"",1
life is what you make it,"",1
life's a bitch and then you die,"",1
"life's a bitch, and then you die","",1
lightning does not strike twice in the same place,"",1
lightning doesn't strike twice in the same place,"",1
lightning never strikes the same place twice,"",1
lightning never strikes twice,"",1
lightning never strikes twice in the same place,"",1
like father like son,"",1
"like father, like son","",1
"like mother, like daughter","",1
like) trying to grow a goose,"",1
little pitchers have big ears,"",1
little pitchers have long ears,"",1
little strokes fell great oaks,"",1
little things please little minds,"",1
live and let live,"",1
"live by the sword, die by the sword","",1
live each day as if it were your last and one day you will surely be right,"",1
"live fast, die young","",1
"live for today, for tomorrow never comes","",1
"live not to eat, but eat to live","",1
live to fight another day,"",1
"location, location, location","",1
"long absent, soon forgotten","",1
"long ways, long lies","",1
look before you leap,"",1
lookers-on see most of the game,"",1
looks can be deceiving,"",1
loose lips sink ships,"",1
loss and gain are brothers twain,"",1
love cannot be forced,"",1
love conquers all,"",1
love is blind,"",1
love is love,"",1
love makes the world go around,"",1
love of money is the root of all evil,"",1
love the sinner but hate the sin,"",1
"love the sinner, hate the sin","",1
love will find a way,"",1
"lucky at cards, unlucky in love","",1
mackerel sky and mare's-tails make lofty ships carry low sails,"",1
mackerel sky and mare's-tails make tall ships carry low sails,"",1
make hay while the sun shines,"",1
memory is the treasure of the mind,"",1
"men get spoiled by staying, women get spoiled by wandering","",1
milking the bull,"",1
misters before sisters,"",1
mocking is catching,"",1
"monday's child is fair of face, tuesday's child is full of grace, wednesday's child is full of woe, thursday's child has far to go, friday's child is loving and giving, saturday's child works hard for its living, and a child that is born on the sabbath day is fair and wise and good and gay","",1
"money talks, wealth whispers","",1
money won is twice as sweet as money earned,"",1
nature abhors a vacuum,"",1
nature does not do anything in vain,"",1
nearly never bulled a cow,やらずに後悔するよりやって後悔せよ,5
never fight a land war in asia,君子危うきに近寄らず,6
nine tailors make a man,"",1
"nine you're fine, ten you're mine","",1
no friends but the mountains,所詮この世はひとり,4
"no hymen, no diamond","",1
of course my horse,"",1
on the internet nobody knows you're a dog,花も実もある話は少ない,3
"on the internet, nobody knows you're a dog",花も実もある話は少ない,3
"once a woman, twice a child",老いては子に従え,4
"once you go black, you never go back","",1
"one can't live with them, one can't live without them",男と女は持ちつ持たれつ,5
one might as well throw water into the sea as to do a kindness to rogues,猫に小判,8
"one night with venus, a lifetime with mercury",一時の快楽一生の悔い,6
only fools and horses work,"",1
ontogeny recapitulates phylogeny,"",1
parsley seed goes nine times to the devil,"",1
perfect is the enemy of good enough,完璧を求めるあまり本質を見失う,6
perfection is the enemy of good,完璧を求めるあまり本質を見失う,6
"physician, heal thyself",医者の不養生,10
"pink sky at night, sailors' delight; pink sky at morning, sailors take warning",夕焼けは晴れ、朝焼けは雨,9
"pink sky at night, sailors' delight; pink sky in the morning, sailors take warning",夕焼けは晴れ、朝焼けは雨,9
pitchers have ears,壁に耳あり障子に目あり,10
"play stupid games, win stupid prizes",自業自得,9
plus ça change,所変われば品変わる,3
poor is a mindset,心が貧しければ何を持っても満たされない,4
poor is a state of mind,心が貧しければ何を持っても満たされない,4
poorness is a state of mind,心が貧しければ何を持っても満たされない,4
possession is nine points of the law,先んずれば人を制す,4
possession is nine-tenths of the law,先んずれば人を制す,4
poverty is a mindset,心が貧しければ何を持っても満たされない,4
poverty is a state of mind,心が貧しければ何を持っても満たされない,4
"power corrupts, absolute power corrupts absolutely",権力は人を狂わせる,7
power corrupts; absolute power corrupts absolutely,権力は人を狂わせる,7
practice makes perfect,習うより慣れろ,9
practice makes progress,継続は力なり,9
practice what you preach,言うは易く行うは難し,7
preaching to the choir,釈迦に説法,10
pressure makes diamonds,雨降って地固まる,7
prevention is better than cure,転ばぬ先の杖,10
pride comes before a fall,"",1
pride comes before the fall,"",1
pride comes/goes before a fall,"",1
pride cometh before a fall,"",1
pride goes before a fall,"",1
pride goeth before a fall,"",1
pride wenteth before a fall,"",1
procrastination is the thief of time,"",1
proverbs come in pairs,"",1
proverbs go in pairs,"",1
proverbs hunt in pairs,"",1
proverbs often come in pairs,"",1
proverbs run in pairs,"",1
proverbs should be sold in pairs,"",1
proverbs should be writ in pairs,"",1
proverbs should come in pairs,"",1
proverbs should go in pairs,"",1
quidquid latine dictum sit altum videtur,"",1
"race on sunday, sell on monday","",1
real men don't eat quiche,"",1
reason is the slave of passion,"",1
revolutions are not made with rosewater,"",1
scratch a liberal and a fascist bleeds,"",1
scratch a liberal and you'll find a fascist,"",1
"sell in may, then go away","",1
"sell in may, then stay away","",1
semper ubi sub ubi,"",1
silence is oppression,"",1
sisters before misters,"",1
smooth move,"",1
snitches get stitches,"",1
snitches get stitches and end up in ditches,"",1
snitches get stitches and wind up in ditches,"",1
so far so bad,"",1
sometimes we are the student. sometimes we are the master. and sometimes we are merely the lesson,"",1
sore boob means more boob,"",1
spitters are quitters,"",1
success is a great deodorant,"",1
the comeback is greater than the setback,"",1
the exception which proves the rule,"",2
the family that prays together stays together,家族仲良きことは良きことかな,6
the female of the species is more deadly than the male,女の恨みは海より深い,7
the first turn of the screw pays all debts,"",1
the freaks come out at night,夜目遠目笠の内,3
the fucking you get isn't worth the fucking you get,割に合わない,4
the fucking you get isn't worth the fucking you take,割に合わない,4
the fucking you get isn't worth the fucking you're going to get,割に合わない,4
the grey mare is the better horse,かかあ天下,9
the husband is always the last to know,亭主の不知火,6
the internet never forgets,一度口から出た言葉は戻らない,6
the law is a ass,法は情けを知らず,8
the law is an arse,法は情けを知らず,8
the law is an ass,法は情けを知らず,8
the longest pole knocks the persimmon,長い物には巻かれろ,5
the lord works in mysterious ways,神のなさることは人知の及ばぬところ,7
"the more one learns about people, the more one likes one's pet",人間不信,3
"the odds are good, but the goods are odd","",1
the old wooden spoon beats me down,"",1
the only way to understand a woman is to love her,惚れて通えば千里も一里,5
the poor we will always have with us,貧乏暇なし,4
the revolution will not be televised,"",1
the screwing you get isn't worth the screwing you get,割に合わない,4
the screwing you get isn't worth the screwing you take,割に合わない,4
the screwing you get isn't worth the screwing you're going to get,割に合わない,4
the stupid monkey knows not to eat the banana skin,猿も木から落ちる,5
the world is one's lobster,"",1
there are more horses' asses than horses,馬鹿は死ななきゃ治らない,4
there is no such thing as bad press,悪名は無名に勝る,9
there is no such thing as bad publicity,悪名は無名に勝る,10
"there is no such thing as bad weather, only bad clothing",備えあれば憂いなし,7
there is reason in the roasting of eggs,"",1
there may be snow on the mountaintop but there's fire in the valley,頭は白くとも心は若い,6
there may be snow on the rooftop but there is fire in the furnace,頭は白くとも心は若い,6
there's no business like show business,芸は身を助ける,4
there's no need to wear a hair shirt,自分を責めすぎるな,2
they'll do it every time,懲りない面々,4
"those who can't do, teach",言うは易く行うは難し,8
those who know many languages live as many lives as the languages they know,旅は人を賢くする,4
time goes by slowly when you are living intensely,楽しい時間はあっという間,3
to learn a language is to have one more window from which to look at the world,井の中の蛙大海を知らず,4
today is a good day to die,人間万事塞翁が馬,3
tokens get spent,"",1
treat 'em mean to keep 'em keen,押して駄目なら引いてみな,6
"treat 'em mean, keep 'em keen",押して駄目なら引いてみな,6
"treat them mean, keep them keen",押して駄目なら引いてみな,6
truth is more valuable if it takes you a few years to find it,急がば回れ,5
two wrongs make a right,悪事千里を走る,3
what is the worst that can happen,案ずるより産むが易し,8
what wins on sunday sells on monday,勝てば官軍,5
"when the oak is before the ash, then you will only get a splash; when the ash is before the oak, then you may expect a soak","",1
where there's no sense there's no feeling,馬の耳に念仏,4
whoever smelt it dealt it,図星をさされると腹を立てる,4
why buy a book when you can join a library,借りてきた猫,1
woman is the root of both good and evil,女は弱し、されど母は強し,3
wrap it before you tap it,"",1
y'all means all,"",1
you can't turn a hoe into a housewife,三つ子の魂百まで,7
you cannot push a rope,馬を水辺に連れて行けても水を飲ませることはできない,6
you don't dip your pen in the inkwell,"",1
you either die a hero or live long enough to see yourself become the villain,好事魔多し,6
you must spoil before you spin,失敗は成功のもと,9
"you smelt it, you dealt it",図星をさされると腹を立てる,4
your net worth is your network,持つべきものは友,7
your network is your net worth,持つべきものは友,7
