en,es,confidence
walk softly but carry a big stick,Perro que ladra no muerde,4
walls have ears,Las paredes oyen,10
walnuts and pears you plant for your heirs,"Quien planta árboles, planta para otros",7
"waste not, want not","El que guarda, siempre tiene",9
watched toast never burns,Vaso vigilado nunca se rompe,3
water finds its level,Dios los cría y ellos se juntan,7
water finds its own level,Dios los cría y ellos se juntan,7
water seeks its level,Dios los cría y ellos se juntan,7
water seeks its own level,Dios los cría y ellos se juntan,7
we are where we are,Es lo que hay,8
well begun is half done,"Lo que bien empieza, bien acaba",6
well done is better than well said,Obras son amores y no buenas razones,10
what cannot be cured must be endured,"A lo hecho, pecho",9
what comes around goes around,"El que la hace, la paga",9
what does not kill me makes me stronger,"Lo que no mata, engorda",8
what doesn't kill you makes you stronger,"Lo que no mata, engorda",8
what go round come round,"El que la hace, la paga",8
what goes around comes around,"El que la hace, la paga",9
"what goes around, comes around","El que la hace, la paga",9
what goes round comes round,"El que la hace, la paga",8
what goes up must come down,"Todo lo que sube, baja",10
what happens in las vegas stays in las vegas,Lo que pasa en Las Vegas se queda en Las Vegas,9
what happens in vegas stays in vegas,Lo que pasa en Las Vegas se queda en Las Vegas,9
what happens on the road stays on the road,lo que pasa en la carretera se queda en la carretera,5
what has been seen cannot be unseen,"ojos que te vieron ir, jamás te verán volver",2
what is learnt in the cradle lasts to the tombs,lo que se aprende en la cuna dura hasta la tumba,6
what is sauce for the goose is sauce for the gander,o todos moros o todos cristianos,9
"what the eye does not see, the heart does not grieve over","ojos que no ven, corazón que no siente",10
"what the eye doesn't see, the heart doesn't grieve over","ojos que no ven, corazón que no siente",10
what you gain on the swings you lose on the roundabouts,unas por otras,7
what you lose on the swings you gain on the roundabouts,unas por otras,7
what's bred in the bone will come out in the flesh,la cabra siempre tira al monte,8
what's done cannot be undone,"a lo hecho, pecho",9
what's done is done,"a lo hecho, pecho",9
what's good for the goose is good for the gander,o todos moros o todos cristianos,9
what's old is new again,todo vuelve,7
what's sauce for the goose is sauce for the gander,o todos moros o todos cristianos,9
whatever floats your boat,sobre gustos no hay nada escrito,8
"when all you have is a hammer, everything looks like a nail","al que solo tiene un martillo, todo le parecen clavos",6
"when america sneezes, the world catches a cold","cuando Estados Unidos estornuda, el mundo se resfría",6
"when i see a bird that walks like a duck and swims like a duck and quacks like a duck, i call that bird a duck","si parece pato, nada como pato y hace cuac como pato, es pato",6
"when in doubt, do nowt","en caso de duda, abstente",8
when in rome,"donde fueres, haz lo que vieres",10
"when in rome, do as the romans","donde fueres, haz lo que vieres",10
"when in rome, do as the romans do","donde fueres, haz lo que vieres",10
"when in rome, do like the romans do","donde fueres, haz lo que vieres",10
when it rains it pours,las desgracias nunca vienen solas,9
"when it rains, it pours",las desgracias nunca vienen solas,9
"when life gives you lemons, make lemonade","al mal tiempo, buena cara",8
"when one door closes, another door opens","cuando una puerta se cierra, otra se abre",9
"when one door closes, another one opens","cuando una puerta se cierra, otra se abre",9
"when one door closes, another opens","cuando una puerta se cierra, otra se abre",9
"when one door shuts, another door opens","cuando una puerta se cierra, otra se abre",9
"when one door shuts, another one opens","cuando una puerta se cierra, otra se abre",9
"when one door shuts, another opens","cuando una puerta se cierra, otra se abre",9
"when the cat is away, the mice will play","cuando el gato no está, los ratones bailan",10
when the cat's away,"cuando el gato no está, los ratones bailan",10
when the cat's away the mice play,"cuando el gato no está, los ratones bailan",10
when the cat's away the mice will play,"cuando el gato no está, los ratones bailan",10
"when the going gets tough, the tough get going","a grandes males, grandes remedios",6
"when the looting starts, the shooting starts","A río revuelto, ganancia de pescadores",4
"when you find yourself in a hole, the first thing to do is stop digging","Errar es humano, pero más humano es echarle la culpa a otro",2
"when you have seen one, you have seen them all","Unos por otros, la casa sin barrer",2
"when you hear hoofbeats, look for horses, not zebras",La explicación más sencilla suele ser la correcta,7
"when you hear hoofbeats, think horses, not zebras",La explicación más sencilla suele ser la correcta,7
"when you hear hoofbeats, think of horses, not zebras",La explicación más sencilla suele ser la correcta,7
"when you mess with the bull, you get the horns","Quien juega con fuego, se quema",9
"when you're up to your neck in alligators, it's hard to remember that your initial objective was to drain the swamp",Los árboles no dejan ver el bosque,8
where there is a will there is a way,Querer es poder,10
"where there is a will, there is a way",Querer es poder,10
where there is life there is hope,"Mientras hay vida, hay esperanza",10
where there is muck there is brass,"Quien no se embarra, no saca plata",3
where there's a will there's a way,Querer es poder,10
where there's muck there's brass,"Quien no se embarra, no saca plata",3
where there's no sense there's no feeling,"Cara dura, corazón de piedra",2
"where there's smoke, there's fire","Cuando el río suena, agua lleva",10
where you stand depends on where you sit,Según el cristal con que se mire,9
"wherever you go, there you are",Huye de ti quien de sí huye,6
"whether you think you can, or you think you can't, you're right",Querer es poder,6
"while the grass grows, the steed starves","Entre col y col, lechuga",1
while there is life there is hope,"Mientras hay vida, hay esperanza",10
"while there's life, there's hope","Mientras hay vida, hay esperanza",10
who keeps company with the wolf will learn to howl,Dime con quién andas y te diré quién eres,10
"who keeps company with wolves, will learn to howl",Dime con quién andas y te diré quién eres,10
who pays the piper calls the tune,"Quien paga, manda",10
who will bell the cat,Del dicho al hecho hay mucho trecho,6
whom the gods love die young,"A quien los dioses aman, muere joven",3
why buy the cow when you can get the milk for free,¿Para qué comprar la vaca si te regalan la leche?,8
why keep a dog and bark yourself,"Si tienes perro, no ladres tú",3
with great power comes great responsibility,"A quien mucho se le da, mucho se le exige",9
woe to the vanquished,"Al enemigo, ni agua",3
wonders will never cease,Nunca dejarán de sorprendernos,3
words cut deep,Las palabras hieren más que los golpes,9
work expands so as to fill the time available,La tarea se alarga según el tiempo disponible,5
"work smarter, not harder",No por mucho madrugar amanece más temprano,6
worrying never did anyone any good,De nada sirve preocuparse antes de tiempo,6
worse things happen at sea,Peor es meneallo,4
yesterday is gone,Agua pasada no mueve molino,9
yesterday's gone,Agua pasada no mueve molino,9
you are never too old to learn,Nunca es tarde si la dicha es buena,7
you are what you eat,Somos lo que comemos,8
you attract more flies with honey than vinegar,Más se consigue con miel que con hiel,9
"you break it, you buy it","Quien rompe, paga",10
"you buy cheap, you get cheap",Lo barato sale caro,10
you can catch more flies with honey than vinegar,Más se consigue con miel que con hiel,9
you can catch more flies with honey than with vinegar,Más se consigue con miel que con hiel,9
you can have too much of a good thing,Todo en exceso es malo,8
"you can lead a horse to water, but you can't make her drink","Se puede llevar el caballo al río, pero no obligarlo a beber",7
"you can lead a horse to water, but you can't make him drink","Se puede llevar el caballo al río, pero no obligarlo a beber",7
"you can lead a horse to water, but you can't make it drink","Se puede llevar el caballo al río, pero no obligarlo a beber",7
"you can lead a horse to water, but you cannot make it drink","Se puede llevar el caballo al río, pero no obligarlo a beber",7
"you can lead horses to water, but you can't make them drink","Se puede llevar el caballo al río, pero no obligarlo a beber",7
you can never/never can tell,Nunca se sabe,10
"you can take the monkey out of the jungle, but you can't take the jungle out of the monkey",La cabra siempre tira al monte,10
you can't be half pregnant,No se puede estar en misa y repicando,6
you can't break a stick in a bundle,La unión hace la fuerza,9
you can't break a twig in a bundle,La unión hace la fuerza,9
you can't break sticks in a bundle,La unión hace la fuerza,9
you can't catch old birds with chaff,Gato viejo no cae en la trampa,6
you can't fight city hall,"Contra el poder, poco se puede hacer",5
you can't fix stupid,"Lo que natura no da, Salamanca no presta",8
you can't get a quart into a pint pot,No se puede meter el mar en un vaso,5
you can't get something for nothing,Nadie da duros a cuatro pesetas,9
you can't go home again,Nunca se vuelve al mismo lugar,4
you can't judge a book by its cover,Las apariencias engañan,10
you can't keep a good man down,Hierba mala nunca muere,5
"you can't live with 'em, you can't live without 'em",Ni contigo ni sin ti tienen mis males remedio,9
"you can't live with them, you can't live without them",Ni contigo ni sin ti tienen mis males remedio,9
you can't make a silk purse of a sow's ear,"De donde no hay, no se puede sacar",9
you can't make an omelette without breaking eggs,"Quien algo quiere, algo le cuesta",9
you can't outrun your fork,De la comida y de la muerte nadie se escapa,5
you can't polish a turd,"Aunque la mona se vista de seda, mona se queda",10
you can't polish shit,"Aunque la mona se vista de seda, mona se queda",10
you can't pour from an empty cup,Nadie da lo que no tiene,10
you can't put a wise head on young shoulders,La experiencia es la madre de la ciencia,8
you can't put an old head on young shoulders,La experiencia es la madre de la ciencia,8
you can't put the shit back in the horse,"A lo hecho, pecho",8
you can't put the toothpaste back in the tube,"A lo hecho, pecho",9
you can't put the toothpaste back into the tube,"A lo hecho, pecho",9
you can't run with the hare and hunt with the hounds,No se puede estar en misa y repicando,10
you can't step in the same river twice,"Todo cambia, nada permanece",6
you can't take it with you,Del mundo nada te llevas,7
you can't teach an old dog new tricks,"Árbol que nace torcido, jamás su tronco endereza",9
you can't tell a book by its cover,Las apariencias engañan,10
you can't unring a bell,"A lo hecho, pecho",8
you can't win them all,No siempre se gana,9
you cannot always get what you want,No siempre se puede tener todo lo que se quiere,8
you cannot break a stick in a bundle,La unión hace la fuerza,10
you cannot break a twig in a bundle,La unión hace la fuerza,10
you cannot break sticks in a bundle,La unión hace la fuerza,10
you cannot burn a candle at both ends,No se puede estar en misa y repicando,9
you cannot get blood out of a stone,"De donde no hay, no se puede sacar",10
you cannot have your cake and eat it too,No se puede tener todo,8
you cannot make a silk purse from a sow's ear,"Aunque la mona se vista de seda, mona se queda",9
you cannot make an omelette without breaking eggs,"Quien algo quiere, algo le cuesta",9
you cannot make bricks without straw,Sin mimbres no se pueden hacer cestos,9
you cannot please everyone,Nunca llueve a gusto de todos,10
you cannot push a rope,Contra la corriente no se puede remar siempre,5
you cannot put the same shoe on every foot,Cada persona es un mundo,6
you cannot run with the hare and hunt with the hounds,No se puede estar en misa y repicando,10
you cannot unscramble eggs,"A lo hecho, pecho",8
you cannot win them all,No siempre se gana,9
you cannot) teach an old dog new tricks,"Árbol que nace torcido, jamás su tronco endereza",9
you catch more flies with honey than vinegar,Más se consigue con miel que con hiel,10
you catch more flies with honey than with vinegar,Más se consigue con miel que con hiel,10
you don't dip your pen in company ink,"Donde tengas la olla, no metas la polla",9
you don't dip your pen in the company's ink,"Donde tengas la olla, no metas la polla",9
you don't dip your pen in the inkwell,"Donde tengas la olla, no metas la polla",8
you don't fish off the company pier,"Donde tengas la olla, no metas la polla",9
you don't get owt for nowt,Nadie da duros a cuatro pesetas,10
you don't get something for nothing,Nadie da duros a cuatro pesetas,10
you don't get your nookie where you get your cookies,Donde tengas la olla no metas la polla,9
you don't know what you've got till it's gone,Nadie sabe lo que tiene hasta que lo pierde,10
you don't look at the mantelpiece when you poke the fire,A caballo regalado no le mires el diente,8
you don't look at the mantelpiece when you're poking the fire,A caballo regalado no le mires el diente,8
you don't miss the water till the well runs dry,Nadie sabe lo que tiene hasta que lo pierde,10
you don't need a weatherman to know which way the wind blows,"A buen entendedor, pocas palabras bastan",7
you get what you pay for,Lo barato sale caro,10
you have to be good to be lucky,La suerte hay que buscarla,7
you have to be in it to win it,"El que no arriesga, no gana",10
you make the bed you lie in,Cada uno es dueño de sus actos,7
you may/might as well be hanged/hung for a sheep as (for) a lamb,"De perdidos, al río",9
you miss 100% of the shots you don't take,"El que no arriesga, no gana",9
you must have rocks in your head,Tienes serrín en la cabeza,7
you never know what you've got till it's gone,Nadie sabe lo que tiene hasta que lo pierde,10
you never miss the water till the well runs dry,Nadie sabe lo que tiene hasta que lo pierde,10
you never miss the water until the well runs dry,Nadie sabe lo que tiene hasta que lo pierde,10
you only get what you give,Cosechas lo que siembras,8
you only go around once,La vida son dos días,8
you only go around once in life,La vida son dos días,8
you only live once,La vida es una sola,9
you pay your dime and you takes your chances,"El que juega, juega",6
you pay your money and you take your choice,Sobre gustos no hay nada escrito,6
you pays your money and you takes your chances,"El que juega, juega",6
you pays your money and you takes your choice,Sobre gustos no hay nada escrito,6
you pays your nickel and you takes your chances,"El que juega, juega",6
you pays your nickel and you takes your choice,Sobre gustos no hay nada escrito,5
you scratch my back and i will scratch yours,"Hoy por ti, mañana por mí",10
you scratch my back and i'll scratch yours,"Hoy por ti, mañana por mí",10
you snooze you lose,Camarón que se duerme se lo lleva la corriente,10
"you win some, you lose some",Unas veces se gana y otras se pierde,10
you'll never get if you never go,Quien no se aventura no pasa la mar,8
you're never too old to learn,Nunca es tarde para aprender,10
you're only as good as your last shift,Eres tan bueno como tu último trabajo,5
you've got to be in it to win it,"el que no apuesta, no gana",9
you've got to crack a few eggs to make an omelette,"quien algo quiere, algo le cuesta",9
you've got to separate the wheat from the chaff,hay que separar la paja del grano,10
you've made your bed and you must lie in/on it,"el que la hace, la paga",8
your vibe attracts your tribe,Dios los cría y ellos se juntan,9
youth is wasted on the young,qué lástima que la juventud se desperdicie en los jóvenes,7
zeal without knowledge is a runaway horse,"no basta la intención, hace falta la razón",6
zeal without knowledge is fire without light,"no basta la intención, hace falta la razón",6
a camel is a horse designed by a committee,"Mucho consejo, mal acuerdo",7
a camel is a horse made by a committee,"Mucho consejo, mal acuerdo",7
a camel is a horse made by committee,"Mucho consejo, mal acuerdo",7
a cat can look at a king,Nadie es más que nadie,8
a cat may look at a king,Nadie es más que nadie,8
a change is as good as a rest,"Cambio de actividad, descanso del alma",6
a foolish consistency is the hobgoblin of little minds,Es de sabios cambiar de opinión,8
a friend in need,En la necesidad se conoce al amigo,9
a mind is a terrible thing to waste,"Mente ociosa, taller del diablo",5
a picture is worth a thousand words,Una imagen vale más que mil palabras,10
a picture paints a thousand words,Una imagen vale más que mil palabras,10
a problem shared is a problem halved,Las penas compartidas son menos,9
a promise is a promise,Lo prometido es deuda,10
a promise made is a promise kept,Lo prometido es deuda,10
a prophet has no honor in his own country,Nadie es profeta en su tierra,10
a prophet is not without honor save in his own country,Nadie es profeta en su tierra,10
a rolling stone gathers no moss,Piedra que rueda no cría moho,10
"a ship in a harbour is safe, but that's not what a ship is for",El que no se arriesga no cruza el mar,8
a smooth sea never made a skilled sailor,La calma no hace marineros expertos,6
a sorrow shared is a sorrow halved,Las penas compartidas son menos,9
a stick in a bundle cannot be broken,La unión hace la fuerza,10
a stick in a bundle is unbreakable,La unión hace la fuerza,10
a stitch in time,Más vale prevenir que curar,7
a stitch in time saves nine,Más vale prevenir que curar,9
a stopped clock is right twice a day,Hasta el reloj parado acierta dos veces al día,7
a straw shows how the wind blows,Por la muestra se conoce el paño,7
a straw shows which way the wind blows,Por la muestra se conoce el paño,7
a sucker is born every minute,Siempre hay un tonto para cada listo,7
a trouble shared is a trouble halved,Las penas compartidas son menos,9
a twig in a bundle cannot be broken,La unión hace la fuerza,10
a twig in a bundle is unbreakable,La unión hace la fuerza,10
a watched kettle never boils,Vaso vigilado nunca hierve,3
a watched pot never boils,Vaso vigilado nunca hierve,3
a watched pot never boils over,"el que espera, desespera",7
a watched pot/kettle never boils,"el que espera, desespera",9
a wild goose never laid a tame egg,"de tal palo, tal astilla",8
a woman's work is never done,la mujer en casa siempre tiene faena,6
a worry shared is a worry halved,las penas compartidas son menos,8
absence makes the heart go yonder,"ojos que no ven, corazón que no siente",7
absence makes the heart grow fonder,la ausencia aviva el cariño,10
absolute power corrupts absolutely,el poder absoluto corrompe absolutamente,9
accidents will happen,son gajes del oficio,6
accidents will happen in the best regulated families,en las mejores familias pasa,9
all politics are local,toda política es local,8
all politics is local,toda política es local,9
all things excellent are as difficult as they are rare,lo bueno cuesta,6
another day in paradise,otro día en el paraíso,7
as queer as a three dollar bill,más raro que un perro verde,9
ask my companion if i be a thief,dime con quién andas y te diré quién eres,8
at the end of my rope,estar al límite,7
attitude reflects leadership,el ejemplo empieza por casa,7
bad facts make bad law,mal empieza lo que mal acaba,4
be yourself,sé tú mismo,9
"beauty fades, dumb is forever","la belleza se acaba, la tontería es eterna",7
believing is seeing,"el que quiere creer, cree",6
"bet on the jockey, not the horse",más vale buen jinete que buen caballo,6
"bet the jockey, not the horse",más vale buen jinete que buen caballo,6
buy the same horse twice,tropezar dos veces con la misma piedra,9
chicks before dicks,antes amigas que ligues,5
close only counts in horseshoes,casi no mata a nadie,6
close only counts in horseshoes and darts,casi no mata a nadie,6
close only counts in horseshoes and hand grenades,casi no mata a nadie,7
common sense is neither common nor sensical,el sentido común es el menos común de los sentidos,10
diamonds are a girl's best friend,Más vale rico y sano que pobre y enfermo,3
dicks before chicks,La amistad ante todo,6
does macy's tell gimbel's,Los trapos sucios se lavan en casa,4
don't buy green bananas,Carpe diem,5
don't fight the tape,"A donde fueres, haz lo que vieres",3
"drive for show, putt for dough",Obras son amores y no buenas razones,4
ecree,Afirmaciones extraordinarias requieren pruebas extraordinarias,8
every silver lining has a cloud,No hay bien que por mal no venga,3
extraordinary claims require extraordinary evidence,Afirmaciones extraordinarias requieren pruebas extraordinarias,9
facts don't care about your feelings,Contra hechos no hay argumentos,10
failing to plan is planning to fail,"El que no planifica, se planifica fracasar",6
fake it till you make it,El hábito hace al monje,7
"february fill dyke, be it black or be it white","En febrero, un rato al sol y otro al brasero",6
fool me once,El hombre es el único animal que tropieza dos veces con la misma piedra,6
"fool me once, shame on you",El hombre es el único animal que tropieza dos veces con la misma piedra,6
game is game,Juego es juego,2
genius is an infinite capacity for taking pains,El genio es un uno por ciento de inspiración y un noventa y nueve por ciento de transpiración,8
give a man a fish,"No le des el pez, enséñale a pescar",10
"given enough eyeballs, all bugs are shallow",Cuatro ojos ven más que dos,9
"good artists copy, great artists steal",Nada nuevo hay bajo el sol,5
good talk saves the food,Hablando se entiende la gente,7
good things come in threes,No hay dos sin tres,9
great minds,Las grandes mentes piensan igual,7
"hate the game, not the player",No mates al mensajero,6
haters gonna hate,"Ladran, Sancho, señal que cabalgamos",8
"he who can, does; he who cannot, teaches","El que sabe, hace; el que no sabe, enseña",9
here we are,Aquí estamos y no nos vamos,6
"horses, not zebras","Cuando oigas cascos, piensa en caballos, no en cebras",7
how long is a piece of string,Depende del cristal con que se mire,5
"hunger never knows the taste, sleep never knows the comfort","A barriga llena, corazón contento",4
hunt where the ducks are,"Donde hay humo, hay fuego",4
"if you can't live longer, live deeper","No es más rico el que más tiene, sino el que menos necesita",4
"if you have never seen the bottom of the tree, you cannot know how tall it stands",Las apariencias engañan,4
"if you steal from one author, it is plagiarism; if you steal from many, it is research",El que roba a un ladrón tiene cien años de perdón,3
"if you torture the data long enough, it will confess to anything","Quien busca, encuentra",4
"if you're growing in age, then you're nearing to the graveyard","Cada día que pasa, más cerca de la caja",5
ignore all rules,"Hecha la ley, hecha la trampa",3
"islands depend on reeds, just as reeds depend on islands","Hoy por ti, mañana por mí",6
"it ain't the meat, it's the motion","No es la flecha, es el indio",8
it is a wise child that knows his own father,"De tal palo, tal astilla",5
"it is better to cultivate a land with two bulls, rather working under boss who never gives wage when asked",Más vale ser cabeza de ratón que cola de león,7
it is better to travel hopefully than to arrive,"Lo importante es el camino, no la meta",8
it is like juggling sand,Es como querer atrapar el agua con las manos,7
"it is not enough to learn how to ride, you must also learn how to fall","El que se cae, se levanta",6
it is on,Ahora empieza lo bueno,4
it pays to advertise,"El que no enseña, no vende",8
it takes a village,Hace falta todo un pueblo para criar a un niño,9
it's an ill wind,No hay mal que por bien no venga,9
"it's not the meat, it's the motion","No es la flecha, es el indio",9
it's not the whistle that pulls the train,No por mucho madrugar amanece más temprano,4
late lunch makes day go faster,"Barriga llena, corazón contento",4
"leaves of three, let it be",Más vale prevenir que curar,8
let a thousand flowers bloom,Que florezcan todas las flores,6
let sleeping aussies lie,No despiertes al perro que duerme,9
like) trying to grow a goose,Es como pedir peras al olmo,8
"long ways, long lies","Pueblo chico, infierno grande",4
mackerel sky and mare's-tails make lofty ships carry low sails,"Cielo aborregado, suelo mojado",9
mackerel sky and mare's-tails make tall ships carry low sails,"Cielo aborregado, suelo mojado",9
milking the bull,Arar en el mar,7
"money talks, wealth whispers",El dinero llama al dinero,5
money won is twice as sweet as money earned,"Dinero fácil, pronto se acaba",4
nature abhors a vacuum,La naturaleza aborrece el vacío,6
nature does not do anything in vain,La naturaleza no da puntada sin hilo,6
nearly never bulled a cow,Del casi no se vive,5
never give a sucker an even break,"Al tonto, ni agua",6
never meet your heroes,Nunca conozcas a tus ídolos,7
"never reveal a man's wage, and woman's age",A nadie le preguntes la edad ni el salario,5
never waste a crisis,"A río revuelto, ganancia de pescadores",9
"no names, no pack-drill","Ojos que no ven, corazón que no siente",3
no one ever went broke underestimating the intelligence of the american public,Nadie se arruinó apostando contra la inteligencia de la gente,4
no one ever went broke underestimating the taste of the american people,Nadie se arruinó subestimando el gusto del público,4
no one ever went broke underestimating the taste of the american public,Nadie se arruinó subestimando el gusto del público,4
nobody ever went broke underestimating the good taste of the american people,Nadie se arruinó subestimando el gusto del público,4
nobody ever went broke underestimating the good taste of the american public,Nadie se arruinó subestimando el gusto del público,4
nobody ever went broke underestimating the intelligence of the american people,Nadie se arruinó apostando contra la inteligencia de la gente,4
nobody ever went broke underestimating the intelligence of the american public,Nadie se arruinó apostando contra la inteligencia de la gente,4
nobody ever went broke underestimating the taste of the american people,Nadie se arruinó subestimando el gusto del público,4
nobody ever went broke underestimating the taste of the american public,Nadie se arruinó subestimando el gusto del público,4
"once a woman, twice a child",El viejo es dos veces niño,9
"once a(n) _, always a(n",Genio y figura hasta la sepultura,9
"one can't live with them, one can't live without them",Ni contigo ni sin ti tienen mis males remedio,8
one kind word can warm three winter months,Una palabra amable abre hasta las puertas de hierro,6
"one night with venus, a lifetime with mercury",Lo barato sale caro,6
one year's seeding makes seven years weeding,De una bellota nace una encina,4
one's time is one's own,El tiempo es oro,7
only fools and horses work,"El que nace pobre, muere trabajando",5
only nixon can go to china,Solo el cura puede hablar mal de la iglesia,6
only nixon could go to china,Solo el cura puede hablar mal de la iglesia,6
poor is a mindset,"Pobre no es el que tiene poco, sino el que mucho desea",8
poor is a state of mind,"Pobre no es el que tiene poco, sino el que mucho desea",8
poorness is a state of mind,"Pobre no es el que tiene poco, sino el que mucho desea",8
poverty is a mindset,"Pobre no es el que tiene poco, sino el que mucho desea",8
poverty is a state of mind,"Pobre no es el que tiene poco, sino el que mucho desea",8
prevention is better than cure,Más vale prevenir que curar,10
pride comes before a fall,La soberbia nunca baja de donde sube sino por donde cae,10
pride comes before the fall,La soberbia nunca baja de donde sube sino por donde cae,10
pride comes/goes before a fall,La soberbia nunca baja de donde sube sino por donde cae,10
pride cometh before a fall,La soberbia nunca baja de donde sube sino por donde cae,10
pride goes before a fall,La soberbia nunca baja de donde sube sino por donde cae,10
pride goeth before a fall,La soberbia nunca baja de donde sube sino por donde cae,10
pride wenteth before a fall,La soberbia nunca baja de donde sube sino por donde cae,10
procrastination is the thief of time,No dejes para mañana lo que puedas hacer hoy,10
proverbs come in pairs,Un refrán saca otro refrán,9
proverbs go in pairs,Un refrán saca otro refrán,9
proverbs hunt in pairs,Un refrán saca otro refrán,9
proverbs often come in pairs,Un refrán saca otro refrán,9
proverbs run in pairs,Un refrán saca otro refrán,9
proverbs should be sold in pairs,Un refrán saca otro refrán,9
proverbs should be writ in pairs,Un refrán saca otro refrán,9
proverbs should come in pairs,Un refrán saca otro refrán,9
proverbs should go in pairs,Un refrán saca otro refrán,9
put one's hand to the plough,"Al que madruga, Dios le ayuda",6
put your best foot forward,Ponte las pilas,7
put your money where your mouth is,Obras son amores y no buenas razones,9
putting the cart before the horse,Empezar la casa por el tejado,10
quidquid latine dictum sit altum videtur,"Latín, lengua de sabios",5
rain does not fall on one roof alone,A todos nos llueve,6
"ready, fire, aim",Tirar la piedra y luego apuntar,4
reason is the slave of passion,La razón es esclava del corazón,4
"red sky at night shepherd's delight; red sky in the morning, shepherd's warning","Cielo rojo al anochecer, buen tiempo al amanecer",4
"red sky at night, sailors' delight; red sky at morn, sailors forlorn","Cielo rojo al anochecer, buen tiempo al amanecer",4
"red sky at night, sailors' delight; red sky at morning, sailors take warning","Cielo rojo al anochecer, buen tiempo al amanecer",4
"red sky at night, sailors' delight; red sky in the morn, sailors forlorn","Cielo rojo al anochecer, buen tiempo al amanecer",4
"red sky at night, shepherds' delight; red sky at morning, shepherds' warning","Cielo rojo al anochecer, buen tiempo al amanecer",4
"red sky at night, shepherds' delight; red sky in the morning, shepherds' warning","Cielo rojo al anochecer, buen tiempo al amanecer",4
render unto caesar the things which are caesar's,Al César lo que es del César,10
"repetition, repetition, repetition",La repetición es la madre del aprendizaje,9
"respect is not given, it is earned","El respeto se gana, no se impone",9
revenge is a dish best served cold,La venganza es un plato que se sirve frío,10
revenge is sweet,La venganza es dulce,10
revolutions are not made with rosewater,No se hace tortilla sin romper huevos,7
"see a pin and pick it up, all the day you will have good luck; see a pin and let it lay, bad luck you will have all day","Trébol de cuatro hojas, señal de buena suerte",3
silence is oppression,"Quien calla, otorga",6
sisters before misters,Antes amigas que maridos,4
snitches get stitches,"Al soplón, paliza y rincón",3
snitches get stitches and end up in ditches,"Al soplón, paliza y rincón",3
snitches get stitches and wind up in ditches,"Al soplón, paliza y rincón",3
so far so bad,"Hasta aquí, todo mal",3
start from where you are,A partir de ahora y con estos bueyes aramos,4
"sticks and stones may break my bones, but words will never hurt me",Las palabras se las lleva el viento,7
success is a great deodorant,El éxito lo tapa todo,5
"talk of angels, and hear the flutter of their wings","Hablando del rey de Roma, por la puerta asoma",8
tell its own story,Solo se cuenta,2
that which has been seen cannot be unseen,"Ojos que te vieron ir, jamás te verán volver",4
the best condiments are authentic flavors,A buen hambre no hay mal pan,3
the comeback is greater than the setback,No hay mal que por bien no venga,7
the female of the species is more deadly than the male,"La mujer y el mar, cosa mala de mandar",4
the freaks come out at night,De noche todos los gatos son pardos,6
the fucking you get isn't worth the fucking you get,El placer dura un momento y las consecuencias toda la vida,3
the fucking you get isn't worth the fucking you take,El placer dura un momento y las consecuencias toda la vida,3
the fucking you get isn't worth the fucking you're going to get,El placer dura un momento y las consecuencias toda la vida,3
the grey mare is the better horse,Quien menos aparenta es quien más vale,4
the map is not the territory,Del dicho al hecho hay un gran trecho,5
the moon is made of green cheese,Eso ni tú te lo crees,3
"the more one learns about people, the more one likes one's pet","Cuanto más conozco a la gente, más quiero a mi perro",9
the only way to understand a woman is to love her,"A la mujer, ni todo el amor ni todo el dinero",2
the revolution will not be televised,La revolución no será televisada,9
the screwing you get isn't worth the screwing you get,El placer dura un momento y las consecuencias toda la vida,3
the screwing you get isn't worth the screwing you take,El placer dura un momento y las consecuencias toda la vida,3
the screwing you get isn't worth the screwing you're going to get,El placer dura un momento y las consecuencias toda la vida,3
the second mouse gets the cheese,No por mucho madrugar amanece más temprano,6
the strong do what they can and the weak suffer what they must,La ley del más fuerte,8
"the strong do what they can, the weak suffer what they must",La ley del más fuerte,8
the world is one's lobster,El mundo es un pañuelo,3
"there is no such thing as bad weather, only bad clothing","No existe el mal tiempo, sino la mala ropa",9
there is nothing more permanent than a temporary solution,No hay nada más definitivo que lo provisional,9
there's no business like show business,"Como el espectáculo, ninguno",3
they'll do it every time,El hombre es el único animal que tropieza dos veces con la misma piedra,5
"those who can't do, teach","El que no sabe hacer, enseña",8
time and tide,El tiempo y la marea no esperan a nadie,8
time spent laughing is time spent with the gods,"El que ríe, vive dos veces",6
to be worn out is to be renewed,Renovarse o morir,5
to learn a language is to have one more window from which to look at the world,Cada idioma es una ventana al mundo,7
two wrongs make a right,Un clavo saca otro clavo,4
wanton kittens make sober cats,"Lo que de joven se aprende, de viejo se entiende",6
what is the worst that can happen,Peor es nada,5
what the eye does not see,"Ojos que no ven, corazón que no siente",10
what wins on sunday sells on monday,"Quien da buena muestra, buena venta asegura",3
where there is a will,Querer es poder,10
whoever smelt it dealt it,"El que se excusa, se acusa",8
why buy a book when you can join a library,¿Para qué comprar la vaca si te regalan la leche?,6
"win on sunday, sell on monday","Buena fama, media venta",8
winning is a great deodorant,El éxito lo tapa todo,6
"wins on sunday, sells on monday","Buena fama, media venta",8
wrap it before you tap it,Más vale prevenir que curar,7
