en,ar,confidence
what happens in vegas stays in vegas,ما يحدث في الخفاء يبقى في الخفاء,6
what happens on the road stays on the road,ما يحدث في السفر يبقى في السفر,5
what has been seen cannot be unseen,اللي شاف شاف,7
what is learnt in the cradle lasts to the tombs,التعليم في الصغر كالنقش على الحجر,10
what is sauce for the goose is sauce for the gander,كما تدين تدان,7
"what the eye does not see, the heart does not grieve over",البعيد عن العين بعيد عن القلب,9
"what the eye doesn't see, the heart doesn't grieve over",البعيد عن العين بعيد عن القلب,9
what you gain on the swings you lose on the roundabouts,يجيك من الباب يطلع من الشباك,6
what you lose on the swings you gain on the roundabouts,مصيبة قوم عند قوم فوائد,6
what's bred in the bone will come out in the flesh,الطبع يغلب التطبع,10
what's done cannot be undone,اللي فات مات,9
what's done is done,اللي فات مات,9
what's good for the goose is good for the gander,كما تدين تدان,7
what's old is new again,ما أشبه اليوم بالبارحة,7
what's sauce for the goose is sauce for the gander,كما تدين تدان,7
whatever floats your boat,كلٌّ وما يهوى,7
"when all you have is a hammer, everything looks like a nail",كلٌّ يرى الناس بعين طبعه,6
"when america sneezes, the world catches a cold",إذا عطست أمريكا أُصيب العالم بالزكام,6
"when i see a bird that walks like a duck and swims like a duck and quacks like a duck, i call that bird a duck",إذا عُرف السبب بَطُل العجب,4
"when in doubt, do nowt",درهم وقاية خير من قنطار علاج,5
when in rome,إذا دخلت بلداً فاعمل بعُرف أهله,8
"when in rome, do as the romans",إذا دخلت بلداً فاعمل بعُرف أهله,9
"when in rome, do as the romans do",إذا دخلت بلداً فاعمل بعُرف أهله,9
"when in rome, do like the romans do",إذا دخلت بلداً فاعمل بعُرف أهله,9
when it rains it pours,المصائب لا تأتي فرادى,10
"when it rains, it pours",المصائب لا تأتي فرادى,10
"when life gives you lemons, make lemonade",رُبَّ ضارة نافعة,8
"when one door closes, another door opens",إذا أُغلِق باب فُتِح باب,9
"when one door closes, another one opens",إذا أُغلِق باب فُتِح باب,9
"when one door closes, another opens",إذا أُغلِق باب فُتِح باب,9
"when one door shuts, another door opens",إذا أُغلِق باب فُتِح باب,9
"when one door shuts, another one opens",إذا أُغلِق باب فُتِح باب,9
"when one door shuts, another opens",إذا أُغلِق باب فُتِح باب,9
"when the cat is away, the mice will play",إذا غاب القط العب يا فار,10
when the cat's away,إذا غاب القط العب يا فار,9
when the cat's away the mice play,إذا غاب القط العب يا فار,10
when the cat's away the mice will play,إذا غاب القط العب يا فار,10
"when the going gets tough, the tough get going",عند الشدائد تُعرف الرجال,9
"when the looting starts, the shooting starts",من يزرع الشوك لا يجني إلا الجراح,6
"when you find yourself in a hole, the first thing to do is stop digging",الرجوع عن الخطأ فضيلة,9
"when you hear hoofbeats, look for horses, not zebras",أقرب الاحتمالات أرجحها,6
"when you hear hoofbeats, think horses, not zebras",أقرب الاحتمالات أرجحها,7
"when you hear hoofbeats, think of horses, not zebras",أقرب الاحتمالات أرجحها,7
"when you mess with the bull, you get the horns",من حفر حفرة لأخيه وقع فيها,7
"when you're up to your neck in alligators, it's hard to remember that your initial objective was to drain the swamp",كثرة الهموم تنسيك أهمها,4
where there is a will there is a way,من جد وجد,9
"where there is a will, there is a way",من جد وجد,10
where there is life there is hope,ما دامت الروح في الجسد فالأمل موجود,8
where there is muck there is brass,من جد وجد ومن زرع حصد,5
where there's a will there's a way,من جد وجد,10
where there's muck there's brass,من جد وجد ومن زرع حصد,5
where there's no sense there's no feeling,من أمن العقوبة أساء الأدب,3
"where there's smoke, there's fire",ما في دخان من غير نار,10
where you stand depends on where you sit,على قدر موقعك يكون رأيك,4
"wherever you go, there you are",الطبع يغلب التطبع,7
"whether you think you can, or you think you can't, you're right",على قدر إيمانك بنفسك تكون قدرتك,4
"while the grass grows, the steed starves",في التأخير آفات,4
while there is life there is hope,ما دامت الروح في الجسد فالأمل موجود,8
"while there's life, there's hope",ما دامت الروح في الجسد فالأمل موجود,8
who keeps company with the wolf will learn to howl,من عاشر القوم أربعين يومًا صار منهم,10
"who keeps company with wolves, will learn to howl",من عاشر القوم أربعين يومًا صار منهم,10
who pays the piper calls the tune,من يدفع للزمار يختار اللحن,9
who will bell the cat,من يعلق الجرس في رقبة القط,9
whom the gods love die young,أهل الخير أعمارهم قصيرة,4
why keep a dog and bark yourself,أعطِ الخبز لخبازه ولو أكل نصفه,7
"win on sunday, sell on monday",السمعة الطيبة رأس المال,5
winning is a great deodorant,النصر يغطي العيوب,6
"wins on sunday, sells on monday",السمعة الطيبة رأس المال,5
with great power comes great responsibility,على قدر النعمة تكون المسؤولية,6
woe to the vanquished,ويل للضعيف بين الأقوياء,5
wonders will never cease,ما أكثر العجائب,4
words cut deep,جراحات السنان لها التئام ولا يلتام ما جرح اللسان,10
work expands so as to fill the time available,العمل يتمدد بقدر ما يُعطى له من وقت,4
"work smarter, not harder",العبرة بحسن التدبير لا بكثرة التكسير,6
worrying never did anyone any good,الهم لا يقدّم ولا يؤخّر,8
worse things happen at sea,فوق كل بلاء بلاء,6
yesterday is gone,اللي راح راح,9
yesterday's gone,اللي فات مات,9
you are never too old to learn,اطلب العلم من المهد إلى اللحد,10
you are what you eat,المعدة بيت الداء,6
you attract more flies with honey than vinegar,باللين تُصاد القلوب لا بالشدة,7
"you break it, you buy it",اللي يكسر يصلّح,8
"you buy cheap, you get cheap",الغالي ثمنه فيه,9
you can catch more flies with honey than vinegar,باللين تُصاد القلوب لا بالشدة,9
you can catch more flies with honey than with vinegar,باللين تُصاد القلوب لا بالشدة,9
you can have too much of a good thing,كل شيء إذا زاد عن حده انقلب إلى ضده,10
"you can lead a horse to water, but you can't make her drink",تقدر تدلّه على الطريق بس ما تقدر تمشي بداله,7
"you can lead a horse to water, but you can't make him drink",تقدر تدلّه على الطريق بس ما تقدر تمشي بداله,7
"you can lead a horse to water, but you can't make it drink",تقدر تدلّه على الطريق بس ما تقدر تمشي بداله,7
"you can lead a horse to water, but you cannot make it drink",تقدر تدلّه على الطريق بس ما تقدر تمشي بداله,7
"you can lead horses to water, but you can't make them drink",تقدر تدلّه على الطريق بس ما تقدر تمشي بداله,7
you can never/never can tell,ما تدري النفس ماذا تكسب غدًا,6
"you can take the monkey out of the jungle, but you can't take the jungle out of the monkey",الطبع يغلب التطبع,10
you can't be half pregnant,ما فيش حبّة نص حبّة,6
you can't break a stick in a bundle,الاتحاد قوة,9
you can't break a twig in a bundle,الاتحاد قوة,9
you can't break sticks in a bundle,الاتحاد قوة,9
you can't catch old birds with chaff,داهية ولا تنطلي عليه الحيلة,4
you can't fight city hall,ما باليد حيلة,6
you can't fix stupid,على قدّ العقل تجي المصايب,4
you can't get a quart into a pint pot,ما لا يسعك لا تسعه,3
you can't get something for nothing,من جدّ وجد,7
you can't go home again,ما يرجع الزمان كما كان,4
you can't judge a book by its cover,ليس كل ما يلمع ذهبًا,10
you can't keep a good man down,صاحب الحق غالب,6
"you can't live with 'em, you can't live without 'em",لا عيشة معهم ولا غنى عنهم,7
"you can't live with them, you can't live without them",لا عيشة معهم ولا غنى عنهم,7
you can't make a silk purse of a sow's ear,هل يخرج الطيب من الخبيث,7
you can't make an omelette without breaking eggs,من طلب العلا سهر الليالي,7
you can't outrun your fork,المعدة بيت الداء,6
you can't polish a turd,ما ينفع العطّار في ما أفسده الدهر,8
you can't polish shit,ما ينفع العطّار في ما أفسده الدهر,8
you can't pour from an empty cup,فاقد الشيء لا يعطيه,10
you can't put a wise head on young shoulders,العقل زينة والكبير كبير,6
you can't put an old head on young shoulders,العقل زينة والكبير كبير,6
you can't put the shit back in the horse,سبق السيف العذل,7
you can't put the toothpaste back in the tube,سبق السيف العذل,8
you can't put the toothpaste back into the tube,سبق السيف العذل,8
you can't run with the hare and hunt with the hounds,ما يجتمع سيفان في غمد واحد,7
you can't step in the same river twice,دوام الحال من المحال,7
you can't take it with you,المال مال الله والعبد عبد الله,7
you can't teach an old dog new tricks,الطبع يغلب التطبع,9
you can't tell a book by its cover,ليس كل ما يلمع ذهبًا,10
you can't unring a bell,الكلام إذا خرج من الفم لا يعود,7
you can't win them all,ما كل ما يتمنى المرء يدركه,8
you cannot always get what you want,ما كل ما يتمنى المرء يدركه,10
you cannot break a stick in a bundle,الاتحاد قوة,9
you cannot break a twig in a bundle,الاتحاد قوة,9
you cannot break sticks in a bundle,الاتحاد قوة,9
you cannot burn a candle at both ends,ما يجتمع سيفان في غمد واحد,6
you cannot get blood out of a stone,فاقد الشيء لا يعطيه,8
you cannot have your cake and eat it too,لا يمكن الجمع بين النقيضين,8
you cannot make a silk purse from a sow's ear,هل يخرج الطيب من النجس,7
you cannot make an omelette without breaking eggs,من جدّ وجد,5
you cannot make bricks without straw,لا يُعطى الحصاد بلا زرع,4
you cannot please everyone,رضا الناس غاية لا تدرك,10
you cannot push a rope,ما لا يُدرك كله لا يُترك جلّه,3
you cannot put the same shoe on every foot,لكل مقام مقال,7
you cannot run with the hare and hunt with the hounds,ما يجتمع سيفان في غمد واحد,7
you cannot unscramble eggs,سبق السيف العذل,7
you cannot win them all,ما كل ما يتمنى المرء يدركه,8
you cannot) teach an old dog new tricks,الطبع يغلب التطبع,9
you catch more flies with honey than vinegar,باللين تُصاد القلوب,7
you catch more flies with honey than with vinegar,باللين تُصاد القلوب,7
you don't get owt for nowt,من جد وجد,8
you don't get something for nothing,من جد وجد,9
you don't know what you've got till it's gone,الصحة تاج على رؤوس الأصحاء لا يراه إلا المرضى,7
you don't look at the mantelpiece when you poke the fire,الحسن حسن في كل عين,6
you don't look at the mantelpiece when you're poking the fire,الحسن حسن في كل عين,6
you don't miss the water till the well runs dry,لا تعرف قدر النعمة إلا إذا زالت,9
you don't need a weatherman to know which way the wind blows,الشمس لا تُحجب بغربال,8
you either die a hero or live long enough to see yourself become the villain,يا جبل ما يهزك ريح,3
you get more with a kind word and a gun than you do with a kind word alone,هيبة الرجال خير من مالهم,4
you get what you pay for,على قد لحافك مد رجليك,7
you have to be good to be lucky,اعقلها وتوكل,6
you have to be in it to win it,من لا يغامر لا ينتصر,8
you make the bed you lie in,كما تدين تدان,8
you may/might as well be hanged/hung for a sheep as (for) a lamb,الموت مع الجماعة رحمة,5
you miss 100% of the shots you don't take,من لا يطرق الباب لا يُفتح له,8
you must have rocks in your head,عقله في رجليه,8
you never know what you've got till it's gone,لا تعرف قدر النعمة إلا إذا زالت,9
you never miss the water till the well runs dry,لا تعرف قدر النعمة إلا إذا زالت,9
you never miss the water until the well runs dry,لا تعرف قدر النعمة إلا إذا زالت,9
you only get what you give,كما تزرع تحصد,10
you only go around once,الفرصة لا تأتي مرتين,7
you only go around once in life,الفرصة لا تأتي مرتين,7
you only live once,ما في الدنيا إلا عيشة وحدة,6
you pay your dime and you takes your chances,من دخل البحر لا يخاف من البلل,7
you pay your money and you take your choice,على قد فلوسك تجيك البضاعة,6
you pays your money and you takes your chances,من دخل البحر لا يخاف من البلل,7
you pays your money and you takes your choice,على قد فلوسك تجيك البضاعة,6
you pays your nickel and you takes your chances,من دخل البحر لا يخاف من البلل,7
you pays your nickel and you takes your choice,على قد فلوسك تجيك البضاعة,6
you scratch my back and i will scratch yours,خد وهات تسلم من الآفات,8
you scratch my back and i'll scratch yours,خد وهات تسلم من الآفات,8
you snooze you lose,من سبق لبق,9
"you win some, you lose some",يوم لك ويوم عليك,10
you'll never get if you never go,من لا يغامر لا ينتصر,8
you're never fully dressed without a smile,تبسّمك في وجه أخيك صدقة,7
you're never too old to learn,اطلب العلم من المهد إلى اللحد,10
you're only as good as your last shift,الخاتمة خير من البداية,4
you've got to be in it to win it,من جد وجد,7
you've got to crack a few eggs to make an omelette,من طلب العلا سهر الليالي,8
you've got to separate the wheat from the chaff,يُميَّز الخبيث من الطيب,7
you've made your bed and you must lie in/on it,على نفسها جنت براقش,9
your net worth is your network,الرجال مخابر لا مناظر,6
your network is your net worth,الرجال مخابر لا مناظر,6
your vibe attracts your tribe,الطيور على أشكالها تقع,10
youth is wasted on the young,الصحة تاج على رؤوس الأصحاء لا يراه إلا المرضى,7
zeal without knowledge is a runaway horse,خير الأمور أوسطها,6
zeal without knowledge is fire without light,نصف العلم أخطر من الجهل,8
a buck is a buck,القرش قرش,9
a buck is a buck is a buck,القرش قرش,8
a buck's a buck,القرش قرش,9
a camel is a horse designed by a committee,كثرة الطباخين تحرق الطبخة,7
a camel is a horse made by a committee,كثرة الطباخين تحرق الطبخة,7
a camel is a horse made by committee,كثرة الطباخين تحرق الطبخة,7
a cat can look at a king,ما حدا أحسن من حدا,6
a cat may look at a king,ما حدا أحسن من حدا,6
a change is as good as a rest,التغيير راحة,6
a dumb priest never got a parish,اللي ما يطالب بحقه ما حد يعطيه إياه,5
a foolish consistency is the hobgoblin of little minds,الجمود موت,4
a man can do what he wills but he cannot will what he wills,الإنسان يَدبِّر والله يقدِّر,5
"a moment on the lips, a lifetime on the hips",لقمة هنية تكفي مية,2
a revolution is not a dinner party,من طلب العلا سهر الليالي,4
a rising tide lifts all boats,إذا عمَّ الخير عمَّ الجميع,7
"a ship in a harbour is safe, but that's not what a ship is for",مَن خاف من العفريت يطلع له,4
a spoonful of sugar helps the medicine go down,الكلمة الطيبة تداوي,5
a spoonful of sugar makes the medicine go down,الكلمة الطيبة تداوي,5
a wild goose never laid a tame egg,طبع البني آدم ما يتغير,4
all politics are local,أقرب طريق لقلب الناس مصالحهم,3
all politics is local,أقرب طريق لقلب الناس مصالحهم,3
all publicity is good publicity,خالف تُعرَف,8
all that glitters,ليس كل ما يلمع ذهبًا,10
all the world loves a lover,المحبوب محبوب الكل,4
all you need is love,المحبة فوق كل شيء,6
an old dog for a hard road,أهل مكة أدرى بشعابها,7
"another day, another dollar",يوم لك ويوم عليك,3
any exposure is good exposure,خالف تُعرَف,8
any press is good press,خالف تُعرَف,8
any publicity is good publicity,خالف تُعرَف,9
at the end of my rope,بلغ السيل الزُّبى,8
"beauty fades, dumb is forever",العقل زينة,7
being poor is a mindset,القناعة كنز لا يفنى,7
being poor is a state of mind,الغنى غنى النفس,9
believing is seeing,على قدر اليقين يكون التمكين,5
"bet on the jockey, not the horse",يعرف الرجال بالحق ولا يعرف الحق بالرجال,4
"bet the jockey, not the horse",يعرف الرجال بالحق ولا يعرف الحق بالرجال,4
better the devil you know,اللي نعرفه أحسن من اللي ما نعرفوش,8
better the devil you know than the devil you don't,اللي نعرفه أحسن من اللي ما نعرفوش,9
better the devil you know than the devil you don't know,اللي نعرفه أحسن من اللي ما نعرفوش,9
better the devil you know than the one you don't,اللي نعرفه أحسن من اللي ما نعرفوش,9
better the devil you know than the one you don't know,اللي نعرفه أحسن من اللي ما نعرفوش,9
better to light a candle than to curse the darkness,إشعال شمعة خير من لعن الظلام,10
better to light a single candle than to curse the darkness,إشعال شمعة خير من لعن الظلام,10
better to light one candle than to curse the darkness,إشعال شمعة خير من لعن الظلام,10
better to light one small candle than to curse the darkness,إشعال شمعة خير من لعن الظلام,10
better to reign in hell than serve in heaven,ظل راجل ولا ظل حيطة,4
better to remain silent and be thought a fool than to speak and remove all doubt,إذا كان الكلام من فضة فالسكوت من ذهب,9
better wear out than rust out,الحركة بركة,8
beware of greeks bearing gifts,اتقِ شر من أحسنت إليه,6
big fish eat little fish,القوي يأكل الضعيف,10
big things come in small packages,الجوهر جوهر ولو في صغر الحجر,6
bird in the hand,عصفور في اليد خير من عشرة على الشجرة,10
birds of a feather,الطيور على أشكالها تقع,10
birds of a feather flock together,الطيور على أشكالها تقع,10
birds of the feather flock together,الطيور على أشكالها تقع,10
bis dat qui cito dat,الهدية على قدر مهديها,3
blood is thicker than water,الدم ما يصير ميه,10
born with a silver spoon in one's mouth,اتولد وفي فمه ملعقة من ذهب,7
boys will be boys,طبع يغلب التطبع,5
brevity is the soul of wit,خير الكلام ما قل ودل,10
business before pleasure,العمل قبل كل شيء,6
"buy cheap, buy twice",الغالي ثمنه فيه,9
buy the same horse twice,لا يلدغ المؤمن من جحر واحد مرتين,8
"by failing to prepare, you are preparing to fail",من جد وجد ومن زرع حصد,6
caesar's wife must be above suspicion,من كان بيته من زجاج فلا يرشق الناس بالحجارة,4
calm seas never made a good sailor,الشدائد تصنع الرجال,9
"can't live with 'em, can't live without 'em",لا عيش معهم ولا غنى عنهم,9
can't live with them and can't live without them,لا عيش معهم ولا غنى عنهم,9
"can't live with them, can't live without them",لا عيش معهم ولا غنى عنهم,9
"cannot live with them, cannot live without them",لا عيش معهم ولا غنى عنهم,9
care killed a cat,الهم يهرم قبل السن,5
care killed the cat,الهم يهرم قبل السن,5
common sense is neither common nor sensical,العقل زينة,4
diamonds are a girl's best friend,المال عصب الحياة,4
do not sit in rome and strive with the pope,إذا كنت في روما فافعل كما يفعل الرومان,7
"do what i say, not what i do",اسمع كلامي ولا تنظر إلى أفعالي,6
doctors make the worst patients,أهل مكة أدرى بشعابها,3
don't dip your pen in company ink,لا تخلط العمل بالعاطفة,5
don't fish off the company dock,لا تخلط العمل بالعاطفة,6
don't get your honey where you make your money,لا تخلط العمل بالعاطفة,7
don't get your meat where you get your bread,لا تخلط العمل بالعاطفة,7
don't keep a dog and bark yourself,أعطِ الخبز لخبازه ولو أكل نصفه,8
"drive for show, putt for dough",النتائج بالخواتيم,6
"early marriage, earlier pregnant",من تزوج مبكراً كثر نسله,4
"eat breakfast like a king, lunch like a prince and dinner like a pauper",افطر فطور الملوك وتعشَّ عشاء الفقراء,8
"eat, drink and be merry for tomorrow we die",الدنيا ساعة فاجعلها طاعة,3
"eat, drink and be merry, for tomorrow we die",ازرع وازرع ولو زرعك حجر,3
"eat, drink, and be merry, for tomorrow we die",ازرع وازرع ولو زرعك حجر,3
every accusation is a confession,كل إناء بما فيه ينضح,7
extraordinary claims require extraordinary evidence,البينة على من ادعى,8
facts don't care about your feelings,الحق أبلج,7
failure is the best teacher,من أخطأ تعلم,9
fingers were made before forks,اليد قبل الملعقة,4
fool me once,لا يلدغ المؤمن من جحر واحد مرتين,9
"fool me once, shame on you",لا يلدغ المؤمن من جحر واحد مرتين,9
give a man a fish,لا تعطه سمكة بل علمه كيف يصطاد,10
give someone enough rope and they'll hang themself,من حفر حفرة لأخيه وقع فيها,7
"given enough eyeballs, all bugs are shallow",يد الله مع الجماعة,6
gods may do what cattle may not,للسلطان ما ليس لغيره,5
"good artists copy, great artists steal",خير الشعر ما كان مسروقًا,6
good talk saves the food,الكلام الطيب يطيب الخاطر,3
great minds,العقول الراجحة تتفق,3
hard cases make bad law,الاستثناء لا يقاس عليه,6
"hate the game, not the player",العيب في النظام لا في الأفراد,3
"he who can, does; he who cannot, teaches",فاقد الشيء لا يعطيه,4
hell hath no fury like a woman scorned,اتق شر الحليم إذا غضب,6
"hell hath no fury like a woman scorned; heav'n has no rage, like love to hatred turn'd, nor hell a fury, like a woman scorn'd",اتق شر الحليم إذا غضب,6
home is where you hang your hat,البلد بلدك حيث استرحت,6
"horses, not zebras",ابعد عن الشبهات,4
how long is a piece of string,السؤال غلّاط,6
"hunger never knows the taste, sleep never knows the comfort",الجوعان ما يذوق,5
i'm going to have to give you the pink slip,انتهى عقدك,3
if it looks like a duck,اللي على راسه بطحة يحسس عليها,5
"if you can't live longer, live deeper",العِبرة ليست بطول العمر بل بحسن العمل,9
"if you have never seen the bottom of the tree, you cannot know how tall it stands",من جهل شيئًا عاداه,4
"if you must dance with the devil, you might as well know his favorite song",إذا ركبتَ النمر فلا تنزل عن ظهره,6
"if you steal from one author, it is plagiarism; if you steal from many, it is research",خذ الحكمة من أفواه المجانين,3
"if you torture the data long enough, it will confess to anything",من طلب العِلّة كَذَب,3
"in like a lion, out like a lamb",أوله شدّة وآخره رخاوة,5
"in the midst of life, we are in death",كل نفس ذائقة الموت,9
"islands depend on reeds, just as reeds depend on islands",اليد الواحدة لا تصفق,8
"it ain't the meat, it's the motion",المهم الفعل مو الشكل,4
it doesn't matter what they say about you as long as they spell your name right,خليهم يحكوا عنك ولا يحكوا عن غيرك,4
it is a wise child that knows his own father,الولد سر أبيه,5
it is an ill wind,رب ضارة نافعة,7
"it is better to cultivate a land with two bulls, rather working under boss who never gives wage when asked",خبزك تأكله من عرق جبينك,4
it is better to have loved and lost than never to have loved at all,من لا يحب لا يعرف العيش,4
it is better to travel hopefully than to arrive,لذة الطريق في السير لا في الوصول,3
it is like juggling sand,قبض الريح,9
"it is not enough to learn how to ride, you must also learn how to fall",من لا يتعلم من سقوطه لا يقوم,4
it pays to advertise,اللي ما له دعاية ما له بيع,7
it took nixon to go to china,أهل مكة أدرى بشعابها,3
it's an ill wind,رب ضارة نافعة,9
it's better to be judged by twelve than to be carried by six,أهون الشرين أرحم,4
"it's not the meat, it's the motion",المهم الفعل مو الشكل,4
late lunch makes day go faster,إذا تأخر الغدا مرّ النهار سدا,3
let a thousand flowers bloom,دَع مئة زهرة تتفتح,6
let george do it,خلِّها على الله,3
let sleeping aussies lie,اتركوا النائم في حاله,5
"long ways, long lies",كثرة السفر تكثُر معها الحكايات,4
love is love,القلب وما يهوى,7
love makes the world go around,الدنيا حب,6
make lemonade,رُبَّ ضارةٍ نافعة,9
make love not war,السلام خيرٌ من الحرب,6
march comes in like a lion and goes out like a lamb,آذار أبو الزلازل والأمطار,5
memory is the treasure of the mind,الذاكرة كنز لا يفنى,6
milking the bull,يحلب في قِربةٍ مقطوعة,7
"money talks, wealth whispers",الغنى غنى النفس,5
money won is twice as sweet as money earned,مال البخت يحب الخسارة,4
nature abhors a vacuum,الطبيعة لا تقبل الفراغ,6
nature does not do anything in vain,ما خلق الله شيئًا عبثًا,8
nearly never bulled a cow,ما لا يتمّ كله لا يُترك جلّه,4
never fight a land war in asia,لا تُحارب في أرض عدوّك,5
never give a sucker an even break,الفرصة لا تُعطى مرتين,4
never let the truth get in the way of a good story,لا تدع الحقيقة تفسد حكايةً جميلة,5
never meet your heroes,لا تُقَرِّب مَن تُعجَب به كثيرًا,3
"never reveal a man's wage, and woman's age",لا تُسأل المرأة عن عمرها ولا الرجل عن راتبه,6
never waste a crisis,من رحم المحن تولد المنح,7
no friends but the mountains,ما إلنا غير ربنا والجبال,5
"no names, no pack-drill",لا أسماء ولا عناوين,4
no one ever went broke underestimating the intelligence of the american public,لا أحد يخسر من الرهان على جهل الناس,5
no one ever went broke underestimating the taste of the american people,لا أحد يخسر من الرهان على ذوق العامة,5
no one ever went broke underestimating the taste of the american public,لا أحد يخسر من الرهان على ذوق العامة,5
nobody ever went broke underestimating the good taste of the american people,لا أحد يخسر من الرهان على ذوق العامة,5
nobody ever went broke underestimating the good taste of the american public,الجمهور عايز كده,8
nobody ever went broke underestimating the intelligence of the american people,الجمهور عايز كده,7
nobody ever went broke underestimating the intelligence of the american public,الجمهور عايز كده,7
nobody ever went broke underestimating the taste of the american people,الجمهور عايز كده,8
nobody ever went broke underestimating the taste of the american public,الجمهور عايز كده,8
"once a woman, twice a child",مرتين طفل: أولها وأخرها,6
"once a(n) _, always a(n",من شبّ على شيء شاب عليه,9
"one can't live with them, one can't live without them",لا عيشة معهم ولا عيشة بدونهم,7
one hair of a woman can draw more than a hundred pair of oxen,شعرة من رأسها تجرّ ألف جمل,7
only nixon can go to china,ما يقطع الشجرة إلا فرع منها,6
only nixon could go to china,ما يقطع الشجرة إلا فرع منها,6
out of sight is out of mind,البعيد عن العين بعيد عن القلب,10
"out of sight, out of mind",البعيد عن العين بعيد عن القلب,10
out of the frying pan and into the fire,هرب من الدلف وقع في المزراب,9
out of the mouths of babes,على لسان الصغار تجي الحقايق,7
out of the mouths of babes and sucklings,على لسان الصغار تجي الحقايق,7
"outta sight, outta mind",البعيد عن العين بعيد عن القلب,10
patience is a virtue,الصبر مفتاح الفرج,10
pearls of wisdom,درر الحكمة,8
penny wise and pound foolish,يحسبها في القرش ويخسرها في الجنيه,7
"penny, penny. makes many",القرش على القرش يبقى مال,9
people that live in glass houses should not throw stones,اللي بيته من زجاج ما يحدفش الناس بالطوب,10
people that live in glass houses shouldn't throw stones,اللي بيته من زجاج ما يحدفش الناس بالطوب,10
"people who have, get",المال يجر المال,8
"people who have, get more",المال يجر المال,9
people who live in glass houses should not throw stones,اللي بيته من زجاج ما يحدفش الناس بالطوب,10
people who live in glass houses shouldn't throw stones,اللي بيته من زجاج ما يحدفش الناس بالطوب,10
perfect is the enemy of good,الكمال لله وحده,7
perfect is the enemy of good enough,الكمال لله وحده,7
perfection is the enemy of good,الكمال لله وحده,7
"physician, heal thyself",يا طبيب طبّب نفسك,9
pitchers have ears,للحيطان آذان,10
"play stupid games, win stupid prizes",من حفر حفرة لأخيه وقع فيها,7
plus ça change,تمخّض الجبل فولد فأرًا,4
poor is a mindset,القناعة كنز لا يفنى,6
poor is a state of mind,الغنى غنى النفس لا غنى المال,9
poorness is a state of mind,الغنى غنى النفس لا غنى المال,9
possession is nine points of the law,اليد العليا أولى من اليد السفلى,5
possession is nine-tenths of the law,اليد العليا أولى من اليد السفلى,5
poverty is a mindset,الغنى غنى النفس لا غنى المال,9
poverty is a state of mind,الغنى غنى النفس لا غنى المال,9
"power corrupts, absolute power corrupts absolutely",السلطة مفسدة والسلطة المطلقة مفسدة مطلقة,8
power corrupts; absolute power corrupts absolutely,السلطة مفسدة والسلطة المطلقة مفسدة مطلقة,8
practice makes perfect,التكرار يعلّم الشطار,10
practice makes progress,من جدّ وجد,8
practice what you preach,ابدأ بنفسك ثم بمن تعول,8
preaching to the choir,تبيع الماء في حارة السقّايين,9
pressure makes diamonds,ربّ ضارة نافعة,7
prevention is better than cure,درهم وقاية خير من قنطار علاج,10
pride comes before a fall,من تكبّر على الناس ذلّ,8
pride comes before the fall,من تكبّر على الناس ذلّ,8
pride comes/goes before a fall,من تكبّر على الناس ذلّ,8
pride cometh before a fall,من تكبّر على الناس ذلّ,8
pride goes before a fall,من تكبّر على الناس ذلّ,8
pride goeth before a fall,من تكبّر على الناس ذلّ,8
pride wenteth before a fall,من تكبّر على الناس ذلّ,8
procrastination is the thief of time,لا تؤجّل عمل اليوم إلى الغد,10
put one's hand to the plough,من جدّ وجد,7
put your best foot forward,اعمل ما بوسعك والباقي على الله,6
put your money where your mouth is,الكلام سهل والفيصل في الفعل,6
putting the cart before the horse,يضع العربة أمام الحصان,9
"race on sunday, sell on monday",الناس على دين ملوكها,4
rain does not fall on one roof alone,المصيبة إذا عمت هانت,9
"ready, fire, aim",إلحقها وهي طايرة,4
reason is the slave of passion,ومن الحب ما قتل,5
"red sky at night shepherd's delight; red sky in the morning, shepherd's warning",إذا هبت رياحك فاغتنمها,2
"red sky at night, sailors' delight; red sky at morn, sailors forlorn",إذا هبت رياحك فاغتنمها,2
"red sky at night, sailors' delight; red sky at morning, sailors take warning",إذا هبت رياحك فاغتنمها,2
"red sky at night, sailors' delight; red sky in the morn, sailors forlorn",إذا هبت رياحك فاغتنمها,2
"red sky at night, shepherds' delight; red sky at morning, shepherds' warning",إذا هبت رياحك فاغتنمها,2
"red sky at night, shepherds' delight; red sky in the morning, shepherds' warning",إذا هبت رياحك فاغتنمها,2
render unto caesar the things which are caesar's,أعطِ كلَّ ذي حقٍّ حقَّه,10
"repetition, repetition, repetition",التكرار يعلِّم الشطّار,9
"respect is not given, it is earned",من جدّ وجد ومن زرع حصد,6
revenge is a dish best served cold,الصبر على الغدر ولا العجلة في الثأر,4
revenge is sweet,حلاوة الروح في أخذ الثأر,4
revolutions are not made with rosewater,ما في ثورة بلا تضحيات,7
"see a pin and pick it up, all the day you will have good luck; see a pin and let it lay, bad luck you will have all day",لقطة الحظ ما تنفوت,3
sex sells,كل ممنوع مرغوب,6
silence is oppression,الساكت عن الحق شيطان أخرس,10
sisters before misters,الصاحب قبل الطريق,4
small rain lays great dust,مطر خفيف يروي كثير,3
snitches get stitches,اللي يوشي ما يعيش,5
snitches get stitches and end up in ditches,اللي يوشي ما يعيش,5
