en,fr,confidence
those who know many languages live as many lives as the languages they know,"Autant de langues, autant de fois homme",7
those who live in glass houses should not throw stones,Qui vit dans une maison de verre ne jette pas de pierres,6
those who live in glass houses shouldn't throw stones,Qui vit dans une maison de verre ne jette pas de pierres,6
those who say it cannot be done should not interrupt those doing it,Impossible n’est pas français,5
those who sleep with dogs will rise with fleas,Qui se couche avec les chiens se lève avec des puces,9
"those who will not when they may, when they will they shall have nay",Il faut battre le fer pendant qu’il est chaud,7
three strikes and you're out,"À la troisième, c’est la bonne",6
three times a charm,Jamais deux sans trois,9
"throw dirt enough, and some will stick","Calomniez, calomniez, il en restera toujours quelque chose",10
throw enough mud at the wall and some of it will stick,"Calomniez, calomniez, il en restera toujours quelque chose",10
"throw enough mud at the wall, some of it will stick","Calomniez, calomniez, il en restera toujours quelque chose",10
tide nor time tarrieth no man,Le temps n’attend personne,8
time and tide stay for no man,Le temps et la marée n’attendent personne,9
time and tide tarry for no man,Le temps et la marée n’attendent personne,9
time and tide wait for no man,Le temps et la marée n’attendent personne,9
time flies,Le temps passe vite,9
time flies when you're having fun,Le temps passe vite quand on s’amuse,10
time heals,Le temps guérit,8
time heals all hurts,Le temps guérit toutes les blessures,9
time heals all sorrows,Le temps apaise tous les chagrins,8
time heals all things,Le temps guérit tout,8
time heals all wounds,Le temps guérit toutes les blessures,10
time heals every wound,Le temps guérit toutes les blessures,10
time is a great healer,Le temps est un grand médecin,10
time is a great healer of all wounds,Le temps est un grand médecin,9
time is money,"Le temps, c’est de l’argent",10
time is the great healer,Le temps est un grand médecin,10
time is wasted without purpose,"Perdre son temps, c’est perdre sa vie",7
time spent laughing is time spent with the gods,"Rire, c’est la santé",6
timing is everything,Tout est une question de timing,8
tis better to have loved and lost than never to have loved at all,Il vaut mieux avoir aimé et perdu que de n’avoir jamais aimé,8
"to a hammer, everything looks like a nail",Qui n’a qu’un marteau voit tous les problèmes en clous,6
to each his own,Chacun son goût,10
to each their own,Chacun son goût,10
to err is human,L’erreur est humaine,10
"to err is human, to forgive divine","L’erreur est humaine, le pardon est divin",10
"to err is human; to forgive, divine","L’erreur est humaine, le pardon est divin",10
to the victor go the spoils,"À vainqueur, butin",6
to the victor the spoils,"À vainqueur, butin",6
to thine own self be true,Sois fidèle à toi-même,7
to travel hopefully is a better thing than to arrive,"L’important, ce n’est pas la destination, c’est le voyage",8
tomorrow is another day,Demain est un autre jour,10
tomorrow never comes,"Remets à demain, et tu ne feras jamais rien",7
"too little, too late",Arriver après la bataille,7
too many chefs spoil the broth,Trop de cuisiniers gâtent la sauce,10
too many cooks spoil the broth,Trop de cuisiniers gâtent la sauce,10
too many cooks spoil the soup,Trop de cuisiniers gâtent la sauce,10
too many cooks spoil the stew,Trop de cuisiniers gâtent la sauce,10
too many cooks spoils the broth,Trop de cuisiniers gâtent la sauce,10
too much bed makes a dull head,Qui dort trop n’apprend rien,5
too much pudding will choke a dog,Trop de bonne chose nuit,8
too much rain makes a flood,Trop de pluie noie les champs,2
too much water drowned the miller,Trop de bonne chose nuit,7
"trust every man, but cut the cards","Fie-toi à Dieu, mais attache ton chameau",6
"trust everybody, but always cut the cards","Fie-toi à Dieu, mais attache ton chameau",6
"trust everybody, but always cut the deck","Fie-toi à Dieu, mais attache ton chameau",6
"trust everybody, but cut the cards","Fie-toi à Dieu, mais attache ton chameau",6
"trust everybody, but cut the deck","Fie-toi à Dieu, mais attache ton chameau",6
"trust your friends, but cut the cards","Fie-toi à Dieu, mais attache ton chameau",6
"trust, but verify",Confiance n’exclut pas le contrôle,9
truth is stranger than fiction,La réalité dépasse la fiction,10
truth will out,La vérité finit toujours par se savoir,9
turnabout is fair play,"À malin, malin et demi",7
two birds with one stone,Faire d’une pierre deux coups,10
two can play at that game,On peut jouer à deux à ce jeu-là,9
two can play that game,On peut jouer à deux à ce jeu-là,9
two heads are better than one,Deux avis valent mieux qu’un,9
"two is company, but three is a crowd","Deux, c’est bien; trois, c’est trop",7
two wrongs do not make a right,Deux erreurs ne font pas une vérité,7
two wrongs don't make a right,Deux erreurs ne font pas une vérité,7
two's company and three is none,"Deux, c’est bien; trois, c’est trop",7
"two's company, three's a crowd","Deux, c’est bien; trois, c’est trop",7
"two's company, three's trumpery","Deux c’est bien, trois c’est trop",6
ugly is as ugly does,La beauté est intérieure,6
underpromise and overdeliver,Promettre peu et donner beaucoup,8
uneasy lies the head that wears a crown,Une grande tête porte un grand chapeau,6
union is strength,L’union fait la force,10
union makes strength,L’union fait la force,10
united we bargain; divided we beg,L’union fait la force,8
"united we stand, divided we fall",L’union fait la force,9
unity is strength,L’union fait la force,10
unity makes strength,L’union fait la force,10
"until the lions have their historians, tales of the hunt shall always glorify the hunter",L’histoire est écrite par les vainqueurs,10
up a creek without a paddle,Être dans de beaux draps,7
use it or lose it,Qui n’avance pas recule,7
variety is the spice of life,La variété est le sel de la vie,6
virtue is its own reward,La vertu est sa propre récompense,7
walk softly and carry a big stick,Parler doucement et tenir un gros bâton,3
walk softly but carry a big stick,Parler doucement et tenir un gros bâton,3
walls have ears,Les murs ont des oreilles,10
walnuts and pears you plant for your heirs,Qui plante des arbres ne le fait pas pour lui,7
"waste not, want not",Qui garde a,8
water finds its level,Qui se ressemble s’assemble,7
water finds its own level,Qui se ressemble s’assemble,7
water seeks its level,Qui se ressemble s’assemble,7
water seeks its own level,Qui se ressemble s’assemble,7
we are where we are,Les carottes sont cuites,5
well begun is half done,"Bien commencer, c’est déjà la moitié du travail",8
well done is better than well said,Les actes valent mieux que les paroles,10
what cannot be cured must be endured,"À défaut de grives, on mange des merles",5
what comes around goes around,On récolte ce que l’on sème,10
what does not kill me makes me stronger,Ce qui ne tue pas rend plus fort,10
what doesn't kill you makes you stronger,Ce qui ne tue pas rend plus fort,10
what go round come round,On récolte ce que l’on sème,10
what goes around comes around,On récolte ce que l’on sème,10
"what goes around, comes around",On récolte ce que l’on sème,10
what goes round comes round,On récolte ce que l’on sème,10
what goes up must come down,Tout ce qui monte finit par redescendre,8
what happens in las vegas stays in las vegas,Ce qui se passe à Vegas reste à Vegas,9
what happens in vegas stays in vegas,Ce qui se passe à Vegas reste à Vegas,9
what happens on the road stays on the road,Ce qui se passe en voyage reste en voyage,5
what has been seen cannot be unseen,Ce qui est vu est vu,6
what is learnt in the cradle lasts to the tombs,Ce qui est appris au berceau dure jusqu’au tombeau,9
what is sauce for the goose is sauce for the gander,Ce qui est bon pour l’un est bon pour l’autre,8
"what the eye does not see, the heart does not grieve over","Loin des yeux, loin du cœur",8
"what the eye doesn't see, the heart doesn't grieve over","Loin des yeux, loin du cœur",8
what you gain on the swings you lose on the roundabouts,"D’un côté on perd, de l’autre on gagne",7
what you lose on the swings you gain on the roundabouts,"D’un côté on perd, de l’autre on gagne",7
what's bred in the bone will come out in the flesh,"Chassez le naturel, il revient au galop",9
what's done cannot be undone,Ce qui est fait est fait,10
what's done is done,Ce qui est fait est fait,10
what's good for the goose is good for the gander,Ce qui est bon pour l’un est bon pour l’autre,8
what's old is new again,Rien de nouveau sous le soleil,8
what's sauce for the goose is sauce for the gander,Ce qui est bon pour l’un est bon pour l’autre,8
whatever floats your boat,À chacun ses goûts,9
"when all you have is a hammer, everything looks like a nail","À qui n’a qu’un marteau, tout ressemble à un clou",6
"when america sneezes, the world catches a cold","Quand l’Amérique éternue, le monde s’enrhume",7
"when i see a bird that walks like a duck and swims like a duck and quacks like a duck, i call that bird a duck","Si ça marche comme un canard et que ça cancane comme un canard, c’est que c’est un canard",6
"when in doubt, do nowt","Dans le doute, abstiens-toi",10
when in rome,"À Rome, fais comme les Romains",10
"when in rome, do as the romans","À Rome, fais comme les Romains",10
"when in rome, do as the romans do","À Rome, fais comme les Romains",10
"when in rome, do like the romans do","À Rome, fais comme les Romains",10
when it rains it pours,Un malheur ne vient jamais seul,10
"when it rains, it pours",Un malheur ne vient jamais seul,10
"when life gives you lemons, make lemonade",À quelque chose malheur est bon,9
"when one door closes, another door opens","Une porte se ferme, une autre s’ouvre",9
"when one door closes, another one opens","Une porte se ferme, une autre s’ouvre",9
"when one door closes, another opens","Une porte se ferme, une autre s’ouvre",9
"when one door shuts, another door opens","Une porte se ferme, une autre s’ouvre",9
"when one door shuts, another one opens","Une porte se ferme, une autre s’ouvre",9
"when one door shuts, another opens","Une porte se ferme, une autre s’ouvre",9
"when the cat is away, the mice will play","Quand le chat n’est pas là, les souris dansent",10
when the cat's away,"Quand le chat n’est pas là, les souris dansent",10
when the cat's away the mice play,"Quand le chat n’est pas là, les souris dansent",10
when the cat's away the mice will play,"Quand le chat n’est pas là, les souris dansent",10
"when the going gets tough, the tough get going","Quand le jeu devient dur, les durs se mettent en marche",6
"when the looting starts, the shooting starts",Qui sème le vent récolte la tempête,7
"when you find yourself in a hole, the first thing to do is stop digging","Quand on est dans un trou, il faut cesser de creuser",9
"when you have seen one, you have seen them all","Un de perdu, dix de retrouvés",3
"when you mess with the bull, you get the horns",Qui s’y frotte s’y pique,9
where there is a will there is a way,"Vouloir, c’est pouvoir",10
"where there is a will, there is a way","Vouloir, c’est pouvoir",10
where there is life there is hope,"Tant qu’il y a de la vie, il y a de l’espoir",10
where there's a will there's a way,"Vouloir, c’est pouvoir",10
"where there's smoke, there's fire",Il n’y a pas de fumée sans feu,10
where you stand depends on where you sit,Tout est une question de point de vue,7
"wherever you go, there you are","Chassez le naturel, il revient au galop",6
"whether you think you can, or you think you can't, you're right",Impossible n’est pas français,5
"while the grass grows, the steed starves","Pendant que l’herbe pousse, le cheval meurt de faim",8
while there is life there is hope,"Tant qu’il y a de la vie, il y a de l’espoir",10
"while there's life, there's hope","Tant qu’il y a de la vie, il y a de l’espoir",10
who keeps company with the wolf will learn to howl,Qui se ressemble s’assemble,7
"who keeps company with wolves, will learn to howl",Qui se ressemble s’assemble,7
who pays the piper calls the tune,Qui paie commande,9
who will bell the cat,Qui se dévoue pour aller au feu,4
whom the gods love die young,Les dieux aiment ceux qui meurent jeunes,6
why keep a dog and bark yourself,À quoi bon avoir un chien si c’est pour aboyer à sa place,7
with great power comes great responsibility,"À grand pouvoir, grande responsabilité",8
woe to the vanquished,Malheur aux vaincus,10
wonders will never cease,On aura tout vu,8
words cut deep,La parole est une arme redoutable,7
work expands so as to fill the time available,"Plus on a de temps, plus on en prend",8
"work smarter, not harder","Il faut travailler avec sa tête, pas seulement avec ses bras",7
worrying never did anyone any good,À quoi bon se faire du mauvais sang ?,8
worse things happen at sea,Il y a pire dans la vie,6
yesterday is gone,Ce qui est fait est fait,8
yesterday's gone,Ce qui est fait est fait,8
you are never too old to learn,Il n’est jamais trop tard pour apprendre,10
you are what you eat,"Dis-moi ce que tu manges, je te dirai qui tu es",10
you attract more flies with honey than vinegar,On attire plus de mouches avec du miel qu’avec du vinaigre,10
"you break it, you buy it","Casse, c’est payé",10
"you buy cheap, you get cheap",On en a pour son argent,8
you can catch more flies with honey than vinegar,On attire plus de mouches avec du miel qu’avec du vinaigre,10
you can catch more flies with honey than with vinegar,On attire plus de mouches avec du miel qu’avec du vinaigre,10
you can have too much of a good thing,Trop de bonne chose nuit,7
"you can lead a horse to water, but you can't make her drink",On ne fait pas boire un âne qui n’a pas soif,10
"you can lead a horse to water, but you can't make him drink",On ne fait pas boire un âne qui n’a pas soif,10
"you can lead a horse to water, but you can't make it drink",On ne fait pas boire un âne qui n’a pas soif,10
"you can lead a horse to water, but you cannot make it drink",On ne fait pas boire un âne qui n’a pas soif,10
"you can lead horses to water, but you can't make them drink",On ne fait pas boire un âne qui n’a pas soif,10
you can never/never can tell,On ne sait jamais,10
"you can take the monkey out of the jungle, but you can't take the jungle out of the monkey","Chassez le naturel, il revient au galop",10
you can't be half pregnant,On ne peut pas être à moitié enceinte,6
you can't break a stick in a bundle,L’union fait la force,9
you can't break a twig in a bundle,L’union fait la force,9
you can't break sticks in a bundle,L’union fait la force,9
you can't catch old birds with chaff,On n’apprend pas aux vieux singes à faire la grimace,10
you can't fight city hall,On ne lutte pas contre l’administration,6
you can't get a quart into a pint pot,On ne peut pas faire entrer un litre dans un demi-litre,6
you can't get something for nothing,On n’a rien sans rien,10
you can't judge a book by its cover,L’habit ne fait pas le moine,10
you can't keep a good man down,On ne tient pas un homme de valeur à terre,5
you can't make a silk purse of a sow's ear,On ne fait pas d’une chèvre un cheval de course,7
you can't make an omelette without breaking eggs,On ne fait pas d’omelette sans casser des œufs,10
you can't outrun your fork,On devient ce que l’on mange,6
you can't polish a turd,On ne fait pas d’un âne un cheval de course,9
you can't polish shit,On ne fait pas d’un âne un cheval de course,9
you can't pour from an empty cup,Charité bien ordonnée commence par soi-même,8
you can't put a wise head on young shoulders,"Si jeunesse savait, si vieillesse pouvait",8
you can't put an old head on young shoulders,"Si jeunesse savait, si vieillesse pouvait",8
you can't put the shit back in the horse,Le mal est fait,7
you can't put the toothpaste back in the tube,Le mal est fait,8
you can't put the toothpaste back into the tube,Le mal est fait,8
you can't run with the hare and hunt with the hounds,On ne peut pas être à la fois au four et au moulin,8
you can't step in the same river twice,On ne se baigne jamais deux fois dans le même fleuve,10
you can't take it with you,On n’emporte pas ses biens dans la tombe,9
you can't teach an old dog new tricks,On n’apprend pas à un vieux singe à faire la grimace,10
you can't tell a book by its cover,L’habit ne fait pas le moine,10
you can't unring a bell,Ce qui est fait est fait,8
you can't win them all,On ne peut pas gagner à tous les coups,10
you cannot always get what you want,On ne peut pas tout avoir,10
you cannot break a stick in a bundle,L’union fait la force,9
you cannot break a twig in a bundle,L’union fait la force,9
you cannot break sticks in a bundle,L’union fait la force,9
you cannot burn a candle at both ends,On ne peut pas être sur tous les fronts,7
you cannot get blood out of a stone,On ne peut pas tirer de l’eau d’un rocher,8
you cannot have your cake and eat it too,On ne peut pas avoir le beurre et l’argent du beurre,10
you cannot make a silk purse from a sow's ear,On ne fait pas d’un âne un cheval de course,9
you cannot make an omelette without breaking eggs,On ne fait pas d’omelette sans casser des œufs,10
you cannot make bricks without straw,On ne fait pas de miracles sans moyens,7
you cannot please everyone,On ne peut pas plaire à tout le monde,10
you cannot put the same shoe on every foot,À chacun sa chaussure,5
you cannot run with the hare and hunt with the hounds,On ne peut pas être à la fois au four et au moulin,8
you cannot unscramble eggs,Ce qui est fait est fait,8
you cannot win them all,On ne peut pas gagner à tous les coups,10
you cannot) teach an old dog new tricks,On n’apprend pas à un vieux singe à faire la grimace,10
you catch more flies with honey than vinegar,On attire plus de mouches avec du miel qu’avec du vinaigre,10
you catch more flies with honey than with vinegar,On attire plus de mouches avec du miel qu’avec du vinaigre,10
you don't get owt for nowt,On n’a rien sans rien,10
you don't get something for nothing,On n’a rien sans rien,10
you don't get your nookie where you get your cookies,Il ne faut pas mélanger travail et plaisir,6
you don't know what you've got till it's gone,On ne connaît le bonheur que lorsqu’on l’a perdu,10
you don't look at the mantelpiece when you poke the fire,La faim n’a pas de goût,5
you don't look at the mantelpiece when you're poking the fire,La faim n’a pas de goût,5
you don't miss the water till the well runs dry,On ne connaît le bonheur que lorsqu’on l’a perdu,9
you don't need a weatherman to know which way the wind blows,Pas besoin d’être grand clerc pour voir d’où vient le vent,7
you either die a hero or live long enough to see yourself become the villain,On meurt en héros ou l’on vit assez longtemps pour devenir le bourreau,3
you get more with a kind word and a gun than you do with a kind word alone,La main de fer dans un gant de velours,5
you get what you pay for,On en a pour son argent,10
you have to be good to be lucky,La chance sourit aux audacieux,7
you have to be in it to win it,Qui ne tente rien n’a rien,10
you make the bed you lie in,"Comme on fait son lit, on se couche",10
you may/might as well be hanged/hung for a sheep as (for) a lamb,"Quitte à être pendu, autant voler un bœuf qu’un œuf",8
you miss 100% of the shots you don't take,Qui ne tente rien n’a rien,9
you must have rocks in your head,Il faut avoir un grain,8
you never know what you've got till it's gone,On ne connaît le bonheur que lorsqu’on l’a perdu,10
you never miss the water till the well runs dry,On ne connaît le bonheur que lorsqu’on l’a perdu,9
you never miss the water until the well runs dry,On ne connaît le bonheur que lorsqu’on l’a perdu,9
you only get what you give,On récolte ce que l’on sème,9
you only go around once,On ne vit qu’une fois,9
you only go around once in life,On ne vit qu’une fois,9
you only live once,On ne vit qu’une fois,10
you pay your dime and you takes your chances,Qui risque rien n’a rien,6
you pay your money and you take your choice,"À chacun ses choix, à chacun ses risques",4
you pays your money and you takes your chances,Qui risque rien n’a rien,6
you pays your money and you takes your choice,"À chacun ses choix, à chacun ses risques",4
you pays your nickel and you takes your chances,Qui risque rien n’a rien,6
you pays your nickel and you takes your choice,"À chacun ses choix, à chacun ses risques",4
you scratch my back and i will scratch yours,Un service en vaut un autre,9
you scratch my back and i'll scratch yours,Un service en vaut un autre,9
you snooze you lose,Qui dort dîne,3
"you win some, you lose some",On ne peut pas gagner à tous les coups,10
you'll never get if you never go,Qui ne tente rien n’a rien,10
you're never fully dressed without a smile,Un sourire ne coûte rien et vaut beaucoup,6
you're never too old to learn,Il n’est jamais trop tard pour apprendre,10
you're only as good as your last shift,On vaut ce que vaut sa dernière performance,4
you've got to be in it to win it,Qui ne tente rien n’a rien,10
you've got to crack a few eggs to make an omelette,On ne fait pas d’omelette sans casser des œufs,10
you've got to separate the wheat from the chaff,Séparer le bon grain de l’ivraie,10
you've made your bed and you must lie in/on it,"Comme on fait son lit, on se couche",10
youth is wasted on the young,"Si jeunesse savait, si vieillesse pouvait",10
zeal without knowledge is a runaway horse,L’enthousiasme sans la connaissance est une force aveugle,4
a camel is a horse designed by a committee,trop de cuisiniers gâtent la sauce,7
a camel is a horse made by a committee,trop de cuisiniers gâtent la sauce,7
a camel is a horse made by committee,trop de cuisiniers gâtent la sauce,7
a foolish consistency is the hobgoblin of little minds,il n’y a que les imbéciles qui ne changent pas d’avis,10
a friend in need,c’est dans le besoin qu’on reconnaît ses vrais amis,10
a hit dog hollers,qui se sent morveux se mouche,10
a hit dog will holler,qui se sent morveux se mouche,10
a house is not a home,on n’est bien que chez soi,6
a mind is a terrible thing to waste,l’oisiveté est la mère de tous les vices,4
"a moment on the lips, a lifetime on the hips",il faut souffrir pour être belle,3
a nod is as good as a wink,"à bon entendeur, salut",9
a nod is as good as a wink to a blind horse,"à bon entendeur, salut",8
a rising tide lifts all boats,marée montante soulève tous les bateaux,3
a wild goose never laid a tame egg,les chiens ne font pas des chats,9
all politics are local,la politique commence au coin de la rue,6
all politics is local,la politique commence au coin de la rue,6
an old dog for a hard road,c’est dans les vieux pots qu’on fait les meilleures soupes,7
as queer as a three dollar bill,c’est louche,3
"beauty fades, dumb is forever","la beauté est éphémère, la bêtise est éternelle",8
"bet on the jockey, not the horse",tout dépend de l’homme aux commandes,3
"bet the jockey, not the horse",tout dépend de l’homme aux commandes,3
bros before hoes,les potes avant les nanas,6
bros before hos,Les copains avant les copines,8
chicks before dicks,Les copines avant les copains,7
close only counts in horseshoes,Au plus près ne vaut pas dedans,4
close only counts in horseshoes and darts,Au plus près ne vaut pas dedans,4
close only counts in horseshoes and hand grenades,Au plus près ne vaut pas dedans,4
denial is not a river in egypt,Se voiler la face ne change pas la réalité,6
diamonds are a girl's best friend,L’argent est le nerf de la guerre,3
dicks before chicks,Les copains avant les copines,7
different clowns same circus,"Même combat, autres acteurs",5
do not sit in rome and strive with the pope,À Rome fais comme les Romains,7
don't buy green bananas,Ne remets pas à demain ce que tu peux faire aujourd’hui,5
don't fight the tape,On ne lutte pas contre la tendance,6
"drive for show, putt for dough","L’important, c’est de conclure",5
"drop acid, not bombs","Faites l’amour, pas la guerre",9
"early marriage, earlier pregnant","Mariage précoce, enfants précoces",3
"easy, times easy, is still easy","Simple plus simple, ça reste simple",3
"eat breakfast like a king, lunch like a prince and dinner like a pauper","Petit déjeuner de roi, déjeuner de prince, dîner de pauvre",9
every accusation is a confession,C’est celui qui dit qui est,8
every silver lining has a cloud,À tout bonheur malheur est bon,3
extraordinary claims require extraordinary evidence,Affirmations extraordinaires exigent des preuves extraordinaires,6
facts don't care about your feelings,Les faits sont têtus,10
fake it till you make it,Fais semblant jusqu’à ce que ça devienne vrai,5
fat is flavor,"Le gras, c’est le goût",7
fat is flavour,"Le gras, c’est le goût",7
fingers were made before forks,Les doigts ont été faits avant les fourchettes,6
fool me once,Chat échaudé craint l’eau froide,8
"fool me once, shame on you",Chat échaudé craint l’eau froide,7
free is for me,Tout ce qui est gratuit est bon à prendre,8
game is game,"Le jeu, c’est le jeu",6
genius is an infinite capacity for taking pains,C’est en forgeant qu’on devient forgeron,6
give a man a fish,Mieux vaut apprendre à pêcher que donner du poisson,9
"given enough eyeballs, all bugs are shallow",Deux avis valent mieux qu’un,6
good talk saves the food,Mieux vaut prévenir que guérir,4
great minds,Les grands esprits se rencontrent,10
hard cases make bad law,Les exceptions confirment la règle,6
"hate the game, not the player",Ce n’est pas la faute du messager,4
haters gonna hate,Il y aura toujours des jaloux,7
here we are,Nous y voilà,8
"horses, not zebras",Cherche midi à quatorze heures,6
"hunger never knows the taste, sleep never knows the comfort",Ventre affamé n’a pas d’oreilles,5
hunt where the ducks are,Il faut battre le fer pendant qu’il est chaud,5
if it looks like a duck,L’habit ne fait pas le moine,3
"if you can't live longer, live deeper",Ce n’est pas la quantité mais la qualité qui compte,7
"if you have never seen the bottom of the tree, you cannot know how tall it stands",Il ne faut pas juger sans connaître,6
"if you must dance with the devil, you might as well know his favorite song",Il faut connaître son ennemi pour le vaincre,7
"if you steal from one author, it is plagiarism; if you steal from many, it is research","Rien ne se perd, rien ne se crée, tout se transforme",4
"if you torture the data long enough, it will confess to anything",Qui veut noyer son chien l’accuse de la rage,8
ignore all rules,À l’impossible nul n’est tenu,2
"it ain't the meat, it's the motion","Ce n’est pas la taille qui compte, c’est la façon de s’en servir",9
it ain't the whistle that pulls the train,Ce n’est pas le plumage qui fait l’oiseau,4
it is a wise child that knows his own father,"Tel père, tel fils",3
"it is better to cultivate a land with two bulls, rather working under boss who never gives wage when asked",Mieux vaut être son propre maître que le serviteur d’un autre,6
it is like juggling sand,C’est comme vouloir attraper le vent,8
it is on,La guerre est déclarée,6
it pays to advertise,La publicité est l’âme du commerce,10
it's an ill wind,À quelque chose malheur est bon,9
it's better to be judged by twelve than to be carried by six,Mieux vaut prévenir que guérir,5
"it's not the meat, it's the motion","Ce n’est pas la taille qui compte, c’est la façon de s’en servir",9
it's not the whistle that pulls the train,Ce n’est pas l’écume qui fait la vague,3
it's the hit dog that howls,Qui se sent morveux se mouche,10
joan's as good as my lady in the dark,"La nuit, tous les chats sont gris",10
"knowledge is power, guard it well","Savoir, c’est pouvoir",8
let a thousand flowers bloom,Laissons fleurir toutes les idées,3
let sleeping aussies lie,Il ne faut pas réveiller le chat qui dort,8
let the dead bury the dead,Laissons les morts enterrer les morts,7
let the punishment fit the crime,Que la peine soit proportionnée au crime,6
let well alone,Le mieux est l’ennemi du bien,9
let your hair down,Se laisser aller,7
life begins at forty,La vie commence à quarante ans,9
life is like a box of chocolates,"La vie, c’est comme une boîte de chocolats, on ne sait jamais sur quoi on va tomber",8
life is not all beer and skittles,La vie n’est pas un long fleuve tranquille,10
life is too short not to do something that matters,La vie est trop courte pour la gâcher,7
life is what you make it,On est l’artisan de son propre destin,8
life's a bitch and then you die,"La vie est dure, puis tu meurs",8
"life's a bitch, and then you die","La vie est dure, puis tu meurs",8
lightning does not strike twice in the same place,La foudre ne frappe jamais deux fois au même endroit,9
lightning doesn't strike twice in the same place,La foudre ne frappe jamais deux fois au même endroit,9
lightning never strikes the same place twice,La foudre ne frappe jamais deux fois au même endroit,9
lightning never strikes twice,La foudre ne frappe jamais deux fois au même endroit,9
lightning never strikes twice in the same place,La foudre ne frappe jamais deux fois au même endroit,9
like father like son,"Tel père, tel fils",10
"like father, like son","Tel père, tel fils",10
"like mother, like daughter","Telle mère, telle fille",10
little pitchers have big ears,Les murs ont des oreilles,8
little pitchers have long ears,Les murs ont des oreilles,8
little strokes fell great oaks,"Petit à petit, l’oiseau fait son nid",9
little things please little minds,"À petit esprit, petits plaisirs",8
live and let live,Vivre et laisser vivre,10
"live by the sword, die by the sword",Qui vit par l’épée périra par l’épée,10
live each day as if it were your last and one day you will surely be right,Vis chaque jour comme si c’était le dernier,8
"live fast, die young",Brûler la vie par les deux bouts,8
"live for today, for tomorrow never comes",Carpe diem,8
"live not to eat, but eat to live",Il faut manger pour vivre et non vivre pour manger,10
live to fight another day,Reculer pour mieux sauter,7
"location, location, location",L’emplacement fait tout,6
"long absent, soon forgotten","Loin des yeux, loin du cœur",10
look before you leap,Il faut tourner sept fois sa langue dans sa bouche avant de parler,7
lookers-on see most of the game,Les spectateurs voient mieux que les joueurs,7
looks can be deceiving,L’habit ne fait pas le moine,10
loose lips sink ships,"La parole est d’argent, mais le silence est d’or",7
love is love,L’amour n’a pas d’âge,6
make lemonade,Faire contre mauvaise fortune bon cœur,9
memory is the treasure of the mind,Les souvenirs sont le trésor de la mémoire,5
mocking is catching,Tel est pris qui croyait prendre,6
never waste a crisis,À quelque chose malheur est bon,8
"no names, no pack-drill","Pas de nom, pas d’histoire",4
nobody ever went broke underestimating the good taste of the american public,Le mauvais goût ne fait jamais faillite,5
nobody ever went broke underestimating the intelligence of the american people,On n’a jamais perdu d’argent en prenant les gens pour des idiots,6
nobody ever went broke underestimating the intelligence of the american public,On n’a jamais perdu d’argent en prenant les gens pour des idiots,6
nobody ever went broke underestimating the taste of the american people,Le mauvais goût ne fait jamais faillite,5
nobody ever went broke underestimating the taste of the american public,Le mauvais goût ne fait jamais faillite,5
not all heroes wear capes,Tous les héros ne portent pas de cape,8
not all those who wander are lost,Tous ceux qui errent ne sont pas perdus,9
"old soldiers never die, (they simply/just fade away)","Les vieux soldats ne meurent jamais, ils s’éteignent",6
on the internet nobody knows you're a dog,"Sur Internet, personne ne sait qui tu es",7
"on the internet, nobody knows you're a dog","Sur Internet, personne ne sait qui tu es",7
"once a(n) _, always a(n","Chassez le naturel, il revient au galop",9
"one can't live with them, one can't live without them","Avec eux, on ne peut pas vivre, sans eux non plus",7
one kind word can warm three winter months,Une parole douce réchauffe tout un hiver,6
people that live in glass houses shouldn't throw stones,Qui vit dans une maison de verre ne jette pas de pierres,8
people who live in glass houses should not throw stones,Qui vit dans une maison de verre ne jette pas de pierres,8
people who live in glass houses shouldn't throw stones,Qui vit dans une maison de verre ne jette pas de pierres,8
poor is a mindset,La vraie pauvreté est dans la tête,6
poor is a state of mind,La vraie pauvreté est dans la tête,6
poorness is a state of mind,La vraie pauvreté est dans la tête,6
poverty is a mindset,La vraie pauvreté est dans la tête,6
poverty is a state of mind,La vraie pauvreté est dans la tête,6
pressure makes diamonds,C’est sous la pression que naissent les diamants,7
prevention is better than cure,Mieux vaut prévenir que guérir,10
pride comes before a fall,L’orgueil précède la chute,10
pride comes before the fall,L’orgueil précède la chute,10
pride comes/goes before a fall,L’orgueil précède la chute,10
pride cometh before a fall,L’orgueil précède la chute,10
pride goes before a fall,L’orgueil précède la chute,10
pride goeth before a fall,L’orgueil précède la chute,10
pride wenteth before a fall,L’orgueil précède la chute,10
procrastination is the thief of time,"Remettre à demain, c’est voler au temps",7
smooth move,Bravo l’artiste,7
snitches get stitches,"Balance un jour, balance toujours",4
so far so bad,Pourvu que ça ne dure pas,4
sometimes we are the student. sometimes we are the master. and sometimes we are merely the lesson,On est tour à tour le maître et l’élève,5
"sticks and stones may break my bones, but words will never hurt me","Les paroles s’envolent, les écrits restent",5
success is a great deodorant,La réussite fait tout pardonner,8
"talk of angels, and hear the flutter of their wings","Quand on parle du loup, on en voit la queue",10
tell its own story,Parler d’eux-mêmes,6
that which has been seen cannot be unseen,Ce qui est vu est vu,3
the best condiments are authentic flavors,Les meilleurs sauces sont les plus simples,6
the best things in life aren't things,Les meilleures choses ne s’achètent pas,6
the comeback is greater than the setback,"Après la pluie, le beau temps",6
