en,fa,confidence
there's none so blind as those who will not see,کسی را که خواب است می‌شود بیدار کرد، کسی را که خود را به خواب زده نه,8
there's one born every minute,آدم ساده توی این دنیا زیاد است,5
they hate us 'cause they ain't us,حسود هرگز نیاسود,7
they that sow the wind shall reap the whirlwind,کسی که باد می‌کارد طوفان درو می‌کند,9
third time is a charm,تا سه نشه بازی نشه,8
third time pays for all,تا سه نشه بازی نشه,7
third time's a charm,تا سه نشه بازی نشه,9
third time's the charm,تا سه نشه بازی نشه,9
this too shall pass,این نیز بگذرد,10
this too shall pass away,این نیز بگذرد,10
those that have get,پول، پول می‌آورد,8
those that have get more,پول، پول می‌آورد,9
"those that have, get",پول، پول می‌آورد,8
"those that have, get more",پول، پول می‌آورد,9
those who do not learn from history are doomed to repeat it,از تاریخ درس نگیری، تاریخ تکرار می‌شود,6
those who have get,پول، پول می‌آورد,8
those who have get more,پول، پول می‌آورد,9
"those who have, get",پول، پول می‌آورد,8
"those who have, get more",پول، پول می‌آورد,9
those who live in glass houses should not throw stones,خانه‌ات شیشه‌ای است سنگ پرت نکن,8
those who live in glass houses shouldn't throw stones,خانه‌ات شیشه‌ای است سنگ پرت نکن,8
those who sleep with dogs will rise with fleas,کسی که با آلوده بنشیند، پاک بلند نمی‌شود,7
"those who will not when they may, when they will they shall have nay",قدر عافیت کسی داند که به مصیبتی گرفتار آید,4
three strikes and you're out,هر چیزی حدی دارد,6
three times a charm,سومیش جور می‌شود,8
"throw dirt enough, and some will stick",آن قدر بگو تا یکیش بگیرد,7
throw enough mud at the wall and some of it will stick,آن قدر بگو تا یکیش بگیرد,8
"throw enough mud at the wall, some of it will stick",آن قدر بگو تا یکیش بگیرد,8
tide nor time tarrieth no man,زمان و عمر به‌خاطر کسی نمی‌ایستد,6
time and tide stay for no man,زمان و عمر به‌خاطر کسی نمی‌ایستد,7
time and tide tarry for no man,زمان و عمر به‌خاطر کسی نمی‌ایستد,7
time and tide wait for no man,زمان و عمر به‌خاطر کسی نمی‌ایستد,8
time flies,زمان مثل برق و باد می‌گذرد,9
time flies when you're having fun,خوشی‌ها زود می‌گذرد,9
time heals,زمان مرهم است,7
time heals all hurts,زمان همه زخم‌ها را التیام می‌دهد,8
time heals all sorrows,زمان همه غم‌ها را التیام می‌دهد,7
time heals all things,زمان همه چیز را حل می‌کند,7
time heals all wounds,زمان همه زخم‌ها را التیام می‌دهد,9
time heals every wound,زمان همه زخم‌ها را التیام می‌دهد,9
time is a great healer,زمان بهترین مرهم است,8
time is a great healer of all wounds,زمان بهترین مرهمِ همه زخم‌هاست,8
time is money,وقت طلاست,10
time is the great healer,زمان بهترین مرهم است,8
time is wasted without purpose,وقت بیهوده تلف کردن، بدترین ضرر است,6
timing is everything,هر سخن جایی و هر نکته مکانی دارد,7
tis better to have loved and lost than never to have loved at all,عاشقی رنج است اما بی‌عشقی مرگ است,6
"to a hammer, everything looks like a nail",کسی که فقط چکش دارد، همه‌چیز را میخ می‌بیند,5
to each his own,هر کسی را بهر کاری ساختند,7
to each their own,هر کسی را بهر کاری ساختند,7
to err is human,انسان جایزالخطاست,10
"to err is human, to forgive divine",انسان جایزالخطاست، گذشت کار خداست,8
"to err is human; to forgive, divine",انسان جایزالخطاست، گذشت کار خداست,8
to the victor go the spoils,گُل را به برنده می‌دهند,5
to the victor the spoils,گُل را به برنده می‌دهند,5
to thine own self be true,با خودت صادق باش,6
to travel hopefully is a better thing than to arrive,خود راه بگویدت که چون باید رفت,7
today is a good day to die,مرگ حق است,4
tomorrow is another day,تا صبح دولتش بدمد,7
tomorrow never comes,کار امروز را به فردا مینداز,10
"too little, too late",نوشدارو بعد از مرگ سهراب,10
too many chefs spoil the broth,آشپز که دوتا شد آش یا شور می‌شود یا بی‌نمک,10
too many cooks spoil the broth,آشپز که دوتا شد آش یا شور می‌شود یا بی‌نمک,10
too many cooks spoil the soup,آشپز که دوتا شد آش یا شور می‌شود یا بی‌نمک,10
too many cooks spoil the stew,آشپز که دوتا شد آش یا شور می‌شود یا بی‌نمک,10
too many cooks spoils the broth,آشپز که دوتا شد آش یا شور می‌شود یا بی‌نمک,10
too much bed makes a dull head,خواب زیاد آدم را کُند می‌کند,5
too much pudding will choke a dog,از تو حرکت، از خدا برکت,2
too much rain makes a flood,هر چه از حد بگذرد، ناپسند است,8
too much water drowned the miller,افراط و تفریط هر دو بد است,7
"trust every man, but cut the cards",اعتماد کن، ولی ریسمان شتر را محکم ببند,9
"trust everybody, but always cut the cards",اعتماد کن، ولی ریسمان شتر را محکم ببند,9
"trust everybody, but always cut the deck",اعتماد کن، ولی ریسمان شتر را محکم ببند,9
"trust everybody, but cut the cards",اعتماد کن، ولی ریسمان شتر را محکم ببند,9
"trust everybody, but cut the deck",اعتماد کن، ولی ریسمان شتر را محکم ببند,9
"trust your friends, but cut the cards",اعتماد کن، ولی ریسمان شتر را محکم ببند,9
"trust, but verify",اعتماد کن، ولی ریسمان شتر را محکم ببند,10
truth is more valuable if it takes you a few years to find it,دیر یابی و درست یابی بهتر از زود یابی و خطا,3
truth is stranger than fiction,واقعیت از داستان عجیب‌تر است,6
truth will out,ماه پشت ابر نمی‌ماند,10
turn your face toward the sun and the shadows fall behind you,روی خوبان را به بدی نتوان دید,3
turnabout is fair play,جواب دندان‌شکن است,4
two birds with one stone,با یک تیر دو نشان زدن,10
two can play at that game,جواب دندان‌شکن است,6
two can play that game,جواب دندان‌شکن است,6
two heads are better than one,یک دست صدا ندارد,9
"two is company, but three is a crowd",دو نفر راز است، سه نفر بازار,8
two wrongs do not make a right,بدی را با بدی جواب نمی‌دهند,9
two wrongs don't make a right,بدی را با بدی جواب نمی‌دهند,9
two's company and three is none,دو نفر راز است، سه نفر بازار,7
"two's company, three's a crowd",دو نفر راز است، سه نفر بازار,8
"two's company, three's trumpery",دو نفر که شدند سه نفر، حرف درمی‌آد,6
ugly is as ugly does,آدم به عملش شناخته می‌شود نه به حرفش,7
underpromise and overdeliver,کم قول بده، زیاد عمل کن,6
uneasy lies the head that wears a crown,هر که بامش بیش، برفش بیشتر,9
union is strength,یک دست صدا ندارد,9
union makes strength,اتحاد مایهٔ قدرت است,7
united we bargain; divided we beg,اتحاد که نباشد، هر که از راه رسید می‌تازد,5
"united we stand, divided we fall",اتحاد ما، قدرت ماست,8
unity is strength,همه با هم، می‌شویم کوه,7
unity makes strength,همدلی قدرت می‌آورد,6
"until the lions have their historians, tales of the hunt shall always glorify the hunter",تاریخ را همیشه فاتحان می‌نویسند,9
up a creek without a paddle,گیر افتادن بین زمین و آسمان,6
use it or lose it,چیزی که به کار نیاید از دست می‌رود,5
variety is the spice of life,تنوع، چاشنی زندگی است,6
virtue is its own reward,کار نیک بی‌اجر نمی‌ماند,8
walk softly and carry a big stick,آرام برو، محکم بزن,5
walk softly but carry a big stick,آرام برو، محکم بزن,6
walls have ears,دیوار موش دارد، موش هم گوش دارد,10
walnuts and pears you plant for your heirs,درخت گردو و بچه برای نوه است,7
"waste not, want not",قطره‌قطره جمع گردد وانگهی دریا شود,7
water finds its level,کبوتر با کبوتر، باز با باز,8
water finds its own level,کبوتر با کبوتر، باز با باز,8
water seeks its level,کبوتر با کبوتر، باز با باز,8
water seeks its own level,کبوتر با کبوتر، باز با باز,8
we are where we are,کاری است که شده,7
well begun is half done,خوب شروع کردن، نصف کار است,7
well done is better than well said,عمل بهتر از حرف است,9
what cannot be cured must be endured,چاره نیست جز صبر,8
what comes around goes around,دنیا دار مکافات است,10
what does not kill me makes me stronger,آن‌چه نکشد، قوی‌ترت می‌کند,7
what doesn't kill you makes you stronger,آن‌چه نکشد، قوی‌ترت می‌کند,7
what go round come round,از هر دست بدهی، از همان دست می‌گیری,9
what goes around comes around,از هر دست بدهی، از همان دست می‌گیری,10
"what goes around, comes around",از هر دست بدهی، از همان دست می‌گیری,10
what goes round comes round,از هر دست بدهی، از همان دست می‌گیری,10
what goes up must come down,هر اوجی را فروزی است,7
what happens in las vegas stays in las vegas,هر چه در این‌جا می‌گذرد، همین‌جا می‌ماند,6
what happens in vegas stays in vegas,هر چه در این‌جا می‌گذرد، همین‌جا می‌ماند,6
what happens on the road stays on the road,هر چه در سفر می‌گذرد در همان سفر می‌ماند,5
what has been seen cannot be unseen,چیزی که دیده شد، ندیده نمی‌شود,6
what is learnt in the cradle lasts to the tombs,چو کودک بدی آموخت، استاد کی شود,7
what is sauce for the goose is sauce for the gander,یک بام و دو هوا نمی‌شود,8
"what the eye does not see, the heart does not grieve over",از دل برود هر آن‌که از دیده برفت,9
"what the eye doesn't see, the heart doesn't grieve over",از دل برود هر آن‌که از دیده برفت,9
what you gain on the swings you lose on the roundabouts,از این‌ورش می‌گیری از آن‌ورش می‌دهی,6
what you lose on the swings you gain on the roundabouts,از این‌ورش می‌گیری از آن‌ورش می‌دهی,6
what's bred in the bone will come out in the flesh,ذات نایافت از هستی‌بخش کی تواند که شود هستی‌بخش,6
what's done cannot be undone,آب رفته به جوی بازنمی‌گردد,10
what's done is done,گذشته‌ها گذشته,9
what's good for the goose is good for the gander,یک بام و دو هوا نمی‌شود,9
what's old is new again,هیچ چیز نو زیر این آسمان نیست,6
what's sauce for the goose is sauce for the gander,یک بام و دو هوا نمی‌شود,9
whatever floats your boat,هر طور راحتی,8
"when all you have is a hammer, everything looks like a nail",کسی که فقط چکش دارد، همه‌جا میخ می‌بیند,6
"when america sneezes, the world catches a cold",وقتی آمریکا عطسه کند، دنیا سرما می‌خورد,5
"when i see a bird that walks like a duck and swims like a duck and quacks like a duck, i call that bird a duck",اگر چیزی مثل اردک راه برود و مثل اردک صدا کند، همان اردک است,5
"when in doubt, do nowt",وقتی شک داری، دست نگه دار,5
when in rome,خواهی نشوی رسوا همرنگ جماعت شو,8
"when in rome, do as the romans",خواهی نشوی رسوا همرنگ جماعت شو,10
"when in rome, do as the romans do",خواهی نشوی رسوا همرنگ جماعت شو,10
"when in rome, do like the romans do",خواهی نشوی رسوا همرنگ جماعت شو,10
when it rains it pours,باران که می‌بارد، سیل هم می‌آید,5
"when it rains, it pours",باران که می‌بارد، سیل هم می‌آید,5
"when life gives you lemons, make lemonade",از ترش شیرین بساز,6
"when one door closes, another door opens",درِ ناامیدی بسته می‌شود، درِ امید باز می‌شود,6
"when one door closes, another one opens",درِ ناامیدی بسته می‌شود، درِ امید باز می‌شود,6
"when one door closes, another opens",درِ ناامیدی بسته می‌شود، درِ امید باز می‌شود,6
"when one door shuts, another door opens",درِ ناامیدی بسته می‌شود، درِ امید باز می‌شود,6
"when one door shuts, another one opens",درِ ناامیدی بسته می‌شود، درِ امید باز می‌شود,6
"when one door shuts, another opens",درِ ناامیدی بسته می‌شود، درِ امید باز می‌شود,6
"when the cat is away, the mice will play",سگ که نباشد شغال می‌رقصد,9
when the cat's away,سگ که نباشد شغال می‌رقصد,8
when the cat's away the mice play,سگ که نباشد شغال می‌رقصد,9
when the cat's away the mice will play,سگ که نباشد شغال می‌رقصد,9
"when the going gets tough, the tough get going",مرد آن است که در سختی‌ها کم نیاورد,7
"when the looting starts, the shooting starts",باد کاشتی طوفان درو می‌کنی,8
"when you find yourself in a hole, the first thing to do is stop digging",جلوی ضرر را از هر جا بگیری منفعت است,8
"when you have seen one, you have seen them all",همه سر و ته یک کرباس‌اند,9
"when you hear hoofbeats, look for horses, not zebras",اسب را گم کرده دنبال نعلش نگرد,6
"when you hear hoofbeats, think horses, not zebras",اسب را گم کرده دنبال نعلش نگرد,6
"when you hear hoofbeats, think of horses, not zebras",اسب را گم کرده دنبال نعلش نگرد,6
"when you mess with the bull, you get the horns",با دم شیر بازی نکن,9
"when you're up to your neck in alligators, it's hard to remember that your initial objective was to drain the swamp",آن‌قدر درگیر لقمه شده که نان یادش رفته,5
where there is a will there is a way,خواستن توانستن است,10
"where there is a will, there is a way",خواستن توانستن است,10
where there is life there is hope,تا نفس هست امید هست,9
where there's a will there's a way,خواستن توانستن است,10
"where there's smoke, there's fire",تا نباشد چیزکی مردم نگویند چیزها,10
where you stand depends on where you sit,هر کسی از ظن خود شد یار من,6
"wherever you go, there you are",آدمیزاد هر جا برود خودش را با خود می‌برد,5
"whether you think you can, or you think you can't, you're right",اگر خودت را باور کنی می‌توانی کوه را هم جابه‌جا کنی,6
"while the grass grows, the steed starves",در تاخیر آفت است,7
while there is life there is hope,تا نفس هست امید هست,9
"while there's life, there's hope",تا نفس هست امید هست,9
who keeps company with the wolf will learn to howl,از کوزه همان برون تراود که در اوست,6
"who keeps company with wolves, will learn to howl",از کوزه همان برون تراود که در اوست,6
who pays the piper calls the tune,حرف، حرف صاحب‌پول است,7
who will bell the cat,کی مرد میدان است,6
whom the gods love die young,آن که را خدا دوست دارد زود می‌برد,6
why keep a dog and bark yourself,نوکر نگه می‌داری که خودت کار نکنی,5
with great power comes great responsibility,حساب و کتاب هر که بیشتر است، بازخواستش سخت‌تر است,6
woe to the vanquished,بیچاره مغلوب,3
wonders will never cease,جهان پر از شگفتی است,5
words cut deep,زخمِ زبان از زخمِ شمشیر بدتر است,10
work expands so as to fill the time available,کارِ امروز را به فردا مینداز,3
"work smarter, not harder",کار را باید به کاردان سپرد,5
worrying never did anyone any good,فکرِ بی‌جا مرض است,8
worse things happen at sea,بدتر از اینش هم هست,7
yesterday is gone,گذشته‌ها گذشته,9
yesterday's gone,گذشته‌ها گذشته,9
you are never too old to learn,ز گهواره تا گور دانش بجوی,10
you attract more flies with honey than vinegar,با زبان خوش مار را از سوراخش می‌کشند بیرون,9
"you break it, you buy it",شکستی، خودت باید بسازی,3
"you buy cheap, you get cheap",هر چقدر پول بدی همون‌قدر آش می‌خوری,10
you can catch more flies with honey than vinegar,با زبان خوش مار را از سوراخش می‌کشند بیرون,10
you can catch more flies with honey than with vinegar,با زبان خوش مار را از سوراخش می‌کشند بیرون,10
you can have too much of a good thing,هر چیزی از حد بگذرد، ضدِ خودش می‌شود,9
"you can lead a horse to water, but you can't make her drink",هزار نکته بارِ من است و یک کرشمهٔ او,3
"you can lead a horse to water, but you can't make him drink",نرود میخِ آهنین در سنگ,9
"you can lead a horse to water, but you can't make it drink",نرود میخِ آهنین در سنگ,9
"you can lead a horse to water, but you cannot make it drink",نرود میخِ آهنین در سنگ,9
"you can lead horses to water, but you can't make them drink",نرود میخِ آهنین در سنگ,9
you can never/never can tell,هیچ‌چیز از پیش معلوم نیست,4
"you can take the monkey out of the jungle, but you can't take the jungle out of the monkey",ذاتِ نایافته از هستی‌بخش کی تواند که شود هستی‌بخش,6
you can't break a stick in a bundle,یک دست صدا ندارد,6
you can't break a twig in a bundle,یک دست صدا ندارد,6
you can't break sticks in a bundle,یک دست صدا ندارد,6
you can't catch old birds with chaff,مو را از ماست می‌کِشَد بیرون,3
you can't fight city hall,با دمِ شیر بازی نمی‌کنند,7
you can't fix stupid,جهل را درمانی نیست,8
you can't get a quart into a pint pot,آب دریا را اگر نتوان کشید، هم به قدرِ تشنگی باید چشید,4
you can't get something for nothing,پنیرِ مجانی فقط توی تلهٔ موش پیدا می‌شود,10
you can't judge a book by its cover,از روی ظاهرِ آدم نمی‌شود قضاوت کرد,6
you can't keep a good man down,آفتاب پشتِ ابر نمی‌ماند,7
you can't make a silk purse of a sow's ear,از کوزه همان برون تراود که در اوست,9
you can't make an omelette without breaking eggs,نابرده رنج، گنج میسر نمی‌شود,9
you can't outrun your fork,چاقی از گلو پایین می‌ره نه از پا بالا,6
you can't polish a turd,از گِل، گلاب درنمی‌آد,9
you can't polish shit,از گِل، گلاب درنمی‌آد,9
you can't pour from an empty cup,چراغی که به خانه رواست به مسجد حرام است,5
you can't put a wise head on young shoulders,جوون عقلش کمه، زورش زیاده,7
you can't put an old head on young shoulders,جوون عقلش کمه، زورش زیاده,7
you can't put the shit back in the horse,کار از کار که بگذره دوا فایده نداره,7
you can't put the toothpaste back in the tube,تیر از چله که رها شد دیگه برنمی‌گرده,9
you can't put the toothpaste back into the tube,تیر از چله که رها شد دیگه برنمی‌گرده,9
you can't run with the hare and hunt with the hounds,نمی‌شه هم خدا رو خواست هم خرما رو,9
you can't step in the same river twice,دو بار نمی‌شه تو یه رودخونه آب‌تنی کرد,8
you can't take it with you,کفن جیب نداره,10
you can't teach an old dog new tricks,موش پیر دیگه بازیگوش نمی‌شه,6
you can't tell a book by its cover,آدم رو از روی قیافه‌اش نمی‌شه شناخت,8
you can't unring a bell,تیر از چله که رها شد دیگه برنمی‌گرده,9
you can't win them all,همه‌چیز رو با هم نمی‌شه داشت,7
you cannot always get what you want,همه‌چیز رو آدم نمی‌تونه با هم داشته باشه,8
you cannot break a stick in a bundle,یک دست صدا ندارد,8
you cannot break a twig in a bundle,یک دست صدا ندارد,8
you cannot break sticks in a bundle,یک دست صدا ندارد,8
you cannot burn a candle at both ends,نمی‌شه هم خدا رو خواست هم خرما رو,8
you cannot get blood out of a stone,از سنگ خون درنمی‌آد,10
you cannot have your cake and eat it too,نمی‌شه هم خدا رو خواست هم خرما رو,10
you cannot make a silk purse from a sow's ear,از کوزه همان برون تراود که در اوست,8
you cannot make an omelette without breaking eggs,نابرده رنج گنج میسر نمی‌شود,9
you cannot make bricks without straw,بی‌مایه فطیر است,10
you cannot please everyone,همه را راضی نمی‌شود کرد,9
you cannot put the same shoe on every foot,یک نسخه را نمی‌شود برای همه پیچید,8
you cannot run with the hare and hunt with the hounds,نمی‌شه هم خدا رو خواست هم خرما رو,10
you cannot unscramble eggs,تیر از چله که رها شد دیگه برنمی‌گرده,8
you cannot win them all,همه‌چیز رو با هم نمی‌شه داشت,7
you cannot) teach an old dog new tricks,موش پیر دیگه بازیگوش نمی‌شه,5
you catch more flies with honey than vinegar,با زبان خوش می‌شه مار رو از سوراخش کشید بیرون,10
you catch more flies with honey than with vinegar,با زبان خوش می‌شه مار رو از سوراخش کشید بیرون,10
you don't get owt for nowt,پنیر مجانی فقط توی تله موش پیدا می‌شود,9
you don't get something for nothing,پنیر مجانی فقط توی تله موش پیدا می‌شود,9
you don't know what you've got till it's gone,قدر عافیت کسی داند که به مصیبتی گرفتار آید,8
you don't miss the water till the well runs dry,قدر عافیت کسی داند که به مصیبتی گرفتار آید,8
you don't need a weatherman to know which way the wind blows,آفتاب آمد دلیل آفتاب,7
you get more with a kind word and a gun than you do with a kind word alone,ترس برادر مرگ است,4
you get what you pay for,هر چقدر پول بدهی همان‌قدر آش می‌خوری,10
you have to be good to be lucky,هر که بامش بیش برفش بیشتر,3
you have to be in it to win it,نابرده رنج گنج میسر نمی‌شود,8
you make the bed you lie in,خود کرده را تدبیر نیست,10
you may/might as well be hanged/hung for a sheep as (for) a lamb,سیلی که از گلیم رد شد، سر و پای آدم را می‌برد,4
you miss 100% of the shots you don't take,نابرده رنج گنج میسر نمی‌شود,7
you must have rocks in your head,مغزش علف خرس خورده,7
you never know what you've got till it's gone,قدر عافیت کسی داند که به مصیبتی گرفتار آید,8
you never miss the water till the well runs dry,قدر عافیت کسی داند که به مصیبتی گرفتار آید,8
you never miss the water until the well runs dry,قدر عافیت کسی داند که به مصیبتی گرفتار آید,8
you only get what you give,از هر دست بدهی از همان دست می‌گیری,9
you only go around once,دنیا دو روزه است,7
you only go around once in life,دنیا دو روزه است,7
you only live once,دنیا دو روزه است,8
you pay your dime and you takes your chances,خود کرده را تدبیر نیست,5
you pay your money and you take your choice,هر که بامش بیش برفش بیشتر,4
you pays your money and you takes your chances,خود کرده را تدبیر نیست,5
you pays your money and you takes your choice,هر که بامش بیش برفش بیشتر,4
you pays your nickel and you takes your chances,خود کرده را تدبیر نیست,5
you pays your nickel and you takes your choice,هر که بامش بیش برفش بیشتر,4
you scratch my back and i will scratch yours,تو نیکی می‌کن و در دجله انداز,3
you scratch my back and i'll scratch yours,تو نیکی می‌کن و در دجله انداز,3
you snooze you lose,زود باش که دیر می‌شود,4
"you win some, you lose some",یک روز به نفع تو، یک روز به ضرر تو,6
you'll never get if you never go,نابرده رنج گنج میسر نمی‌شود,8
you're never too old to learn,ز گهواره تا گور دانش بجوی,10
you're only as good as your last shift,آدم به کار امروزش شناخته می‌شود,4
you've got to be in it to win it,نابرده رنج گنج میسر نمی‌شود,9
you've got to crack a few eggs to make an omelette,تا تخم‌مرغ نشکند، جوجه درنمی‌آید,10
you've got to separate the wheat from the chaff,گندم را از کاه جدا کردن,9
you've made your bed and you must lie in/on it,خود کرده را تدبیر نیست,10
"your face, your fate",از قیافه‌اش معلومه بختش چطوره,5
your vibe attracts your tribe,کبوتر با کبوتر، باز با باز,9
youth is wasted on the young,جوانی کجایی که یادت به‌خیر,7
zeal without knowledge is a runaway horse,راه جهنم با نیت خوب هموار شده,6
zeal without knowledge is fire without light,راه جهنم با نیت خوب هموار شده,6
a camel is a horse designed by a committee,آشپز که دوتا شد آش یا شور می‌شود یا بی‌نمک,8
a camel is a horse made by a committee,آشپز که دوتا شد آش یا شور می‌شود یا بی‌نمک,8
a camel is a horse made by committee,آشپز که دوتا شد آش یا شور می‌شود یا بی‌نمک,8
a dog is a man's best friend,"",1
a dumb priest never got a parish,حق گرفتنی است نه دادنی,5
a foolish consistency is the hobgoblin of little minds,"",1
a language is a dialect with an army and navy,"",1
a man can do what he wills but he cannot will what he wills,"",1
a picture is worth a thousand words,شنیدن کی بود مانند دیدن,9
a picture paints a thousand words,شنیدن کی بود مانند دیدن,9
a problem shared is a problem halved,درد دل را باید گفت تا سبک شد,6
a promise is a promise,قول، قوله,8
a promise made is a promise kept,مرد آن است که پای قولش بایستد,7
a prophet has no honor in his own country,هیچ‌کس در ده خود پیغمبر نیست,10
a prophet is not without honor save in his own country,هیچ‌کس در ده خود پیغمبر نیست,10
a revolution is not a dinner party,"",1
a rising tide lifts all boats,باران که می‌بارد به نفع همه است,4
a rolling stone gathers no moss,سنگی که قل می‌خورد خزه نمی‌بندد,6
"a ship in a harbour is safe, but that's not what a ship is for",نابرده رنج گنج میسر نمی‌شود,6
a smooth sea never made a skilled sailor,نابرده رنج گنج میسر نمی‌شود,7
a sorrow shared is a sorrow halved,درد دل را باید گفت تا سبک شد,7
a spoonful of sugar helps the medicine go down,"",1
a spoonful of sugar makes the medicine go down,"",1
a stick in a bundle cannot be broken,یک دست صدا ندارد,7
a stick in a bundle is unbreakable,اتحاد، قدرت می‌آورد,6
a stitch in time,جلوی ضرر را از هر جا بگیری منفعت است,8
a stitch in time saves nine,جلوی ضرر را از هر جا بگیری منفعت است,9
a stopped clock is right twice a day,گاهی اوقات دیوانه هم حرف حساب می‌زند,6
a straw shows how the wind blows,از یک نشانه می‌توان به همه‌چیز پی برد,5
a straw shows which way the wind blows,از یک نشانه می‌توان به همه‌چیز پی برد,5
a sucker is born every minute,آدم ساده همیشه گیر می‌افتد,4
a trouble shared is a trouble halved,درد دل را باید گفت تا سبک شد,7
a twig in a bundle cannot be broken,یک دست صدا ندارد,7
a twig in a bundle is unbreakable,اتحاد، قدرت می‌آورد,6
a watched kettle never boils,دیگ که نگاهش کنی جوش نمی‌آید,6
a watched man never plays,"",1
a watched pot never boils,دیگ که نگاهش کنی جوش نمی‌آید,7
a watched pot never boils over,دیگ که نگاهش کنی جوش نمی‌آید,6
a watched pot/kettle never boils,دیگ که نگاهش کنی جوش نمی‌آید,7
a wild goose never laid a tame egg,"",1
a woman's work is never done,کار زن توی خونه تموم‌شدنی نیست,8
a worry shared is a worry halved,درد دل که بگی سبک می‌شی,7
a) swarm in may is worth a load of hay; a swarm in june is worth a silver spoon; but a swarm in july is not worth a fly,"",1
absence makes the heart go yonder,"",1
absence makes the heart grow fonder,دورى و دوستى,10
absolute power corrupts absolutely,قدرتِ مطلق آدم را مطلقاً فاسد می‌کند,6
accidents will happen,حادثه خبر نمی‌کند,10
accidents will happen in the best regulated families,درِ خونه هر کی می‌تونه بلا رو بزنه,6
all politics are local,"",1
all politics is local,"",1
an old dog for a hard road,کهنه‌کار به درد کار سخت می‌خوره,6
another day in paradise,"",1
"another day, another dollar",روز از نو، روزی از نو,9
another happy landing,"",1
any hole's a goal,"",1
april showers bring may flowers,تا نباشد چیزکی مردم نگویند چیزها,3
as queer as a three dollar bill,"",1
bad facts make bad law,"",1
bad money drives out good,پول بد، پول خوب را از میدان به در می‌کند,5
"beer before liquor, never been sicker; liquor before beer, you're in the clear","",1
being poor is a mindset,"",1
being poor is a state of mind,"",1
believing is seeing,"",1
better dead than red,"",1
better the devil you know than the one you don't,دیوی که می‌شناسی بهتر از فرشته‌ایه که نمی‌شناسی,9
better the devil you know than the one you don't know,دیوی که می‌شناسی بهتر از فرشته‌ایه که نمی‌شناسی,9
better to have loved and lost than never to have loved at all,عاشقی گر زین سر و گر زان سر است عاقبت ما را بدان سر رهبر است,6
"bi now, gay later","",1
bis dat qui cito dat,"",1
bros before hoes,"",1
bros before hos,"",1
buy the same horse twice,"",1
"can't live with 'em, can't live without 'em",نه باهاش می‌شه، نه بی‌هاش,8
can't live with them and can't live without them,نه باهاش می‌شه، نه بی‌هاش,8
"can't live with them, can't live without them",نه باهاش می‌شه، نه بی‌هاش,8
"cannot live with them, cannot live without them",نه باهاش می‌شه، نه بی‌هاش,8
chicks before dicks,"",1
claret would be port if it could,"",1
coffee and love taste best when hot,قهوه و عشق داغش به‌چسب‌تر است,4
"courage is the measure of a man, beauty is the measure of a woman","",1
criss-cross applesauce,"",1
denial is not a river in egypt,انکار کردن واقعیت را عوض نمی‌کند,5
devil take the hindmost,هر که زر دارد زور دارد,3
diamonds are a girl's best friend,طلا که پاکه چه منتش به خاکه,3
dicks before chicks,"",1
do as i say and not as i do,منبر می‌رود خودش نماز نمی‌خواند,7
do as i say not as i do,منبر می‌رود خودش نماز نمی‌خواند,7
do not keep a dog and bark yourself,نوکر نگه نمی‌دارند که خودشان کار کنند,6
do not put new wine into old bottles,شراب نو را در خم کهنه نمی‌ریزند,4
do not sit in rome and strive with the pope,با دم شیر بازی نکن,6
do not sympathize with those who can not empathize,"",1
"do what i say, not what i do",منبر می‌رود خودش نماز نمی‌خواند,7
doctors make the worst patients,طبیب به فکر درد خودش نیست,3
does macy's tell gimbel's,"",1
"dogs have masters, cats have staff","",1
dogs have masters; cats have staff,"",1
"dogs have owners, cats have staff","",1
don't buy green bananas,به فردا وعده نیست,4
don't drop the soap,"",1
don't fight the tape,با موج نجنگ,3
"drive for show, putt for dough",کار را که کرد آن که تمام کرد,5
"drop acid, not bombs","",1
"early marriage, earlier pregnant",جوون که زن بگیره زود بچه‌دار می‌شه,3
"easy, times easy, is still easy","",1
"eat breakfast like a king, lunch like a prince and dinner like a pauper",صبحانه را خودت بخور، ناهار را با دوستت، شام را بده دشمنت,10
ecree,"",1
every accusation is a confession,کافر همه را به کیش خود پندارد,9
every silver lining has a cloud,هر خوشی یه ناخوشی هم داره,3
extraordinary claims require extraordinary evidence,ادعای بزرگ، دلیل محکم می‌خواهد,4
facts don't care about your feelings,حقیقت تلخ است,6
failing to plan is planning to fail,بی‌گدار به آب زدن کار را خراب می‌کند,6
fake it till you make it,ادای چیزی را درآوری کم‌کم خودت می‌شوی,3
fat is flavor,"",1
fat is flavour,"",1
"february fill dyke, be it black or be it white","",1
"feed a cold, starve a fever","",1
fingers were made before forks,انگشت را قبل از قاشق ساخته‌اند,4
fool me once,مارگزیده از ریسمان سیاه و سفید می‌ترسد,5
"fool me once, shame on you",یک بار گولم بزنی تقصیر توست، دوبار گولم بزنی تقصیر خودم است,6
game is game,بازی، بازی است,3
"gender is between your ears, not between your legs","",1
genius is an infinite capacity for taking pains,نابرده رنج گنج میسر نمی‌شود,6
"get woke, go broke","",1
give a man a fish,به جای ماهی دادن، ماهیگیری یاد بده,10
"go fash, lose cash","",1
"go woke, go broke","",1
"good artists copy, great artists steal","",1
good things come in threes,"",1
great minds,عقل کل یکی است,4
hard cases make bad law,"",1
