en,de,confidence
there's no need to wear a hair shirt,Man muss sich nicht selbst geißeln,6
there's no place like home,"Trautes Heim, Glück allein",10
there's no point crying over spilt milk,"Es nützt nichts, über verschüttete Milch zu klagen",5
there's no smoke without fire,"Wo Rauch ist, ist auch Feuer",10
there's no time like the present,"Was du heute kannst besorgen, das verschiebe nicht auf morgen",10
there's no use crying over spilt milk,"Was geschehen ist, ist geschehen",7
there's none so blind as those who will not see,"Es gibt keinen Blinden, der so blind ist wie der, der nicht sehen will",6
there's nowt so queer as folk,Nichts ist so seltsam wie die Leute,4
there's one born every minute,Jeden Tag steht ein Dummer auf,8
they that sow the wind shall reap the whirlwind,"Wer Wind sät, wird Sturm ernten",10
third time is a charm,Aller guten Dinge sind drei,10
third time pays for all,Aller guten Dinge sind drei,8
third time's a charm,Aller guten Dinge sind drei,10
third time's the charm,Aller guten Dinge sind drei,10
this too shall pass,Auch das geht vorüber,9
this too shall pass away,Auch das geht vorüber,9
those that have get,"Wer hat, dem wird gegeben",9
those that have get more,"Wer hat, dem wird gegeben",9
"those that have, get","Wer hat, dem wird gegeben",9
"those that have, get more","Wer hat, dem wird gegeben",9
those who do not learn from history are doomed to repeat it,"Wer aus der Geschichte nichts lernt, ist dazu verdammt, sie zu wiederholen",7
those who have get,"Wer hat, dem wird gegeben",9
those who have get more,"Wer hat, dem wird gegeben",9
"those who have, get","Wer hat, dem wird gegeben",9
"those who have, get more","Wer hat, dem wird gegeben",9
those who know many languages live as many lives as the languages they know,"Wer viele Sprachen spricht, lebt viele Leben",6
those who live in glass houses should not throw stones,"Wer im Glashaus sitzt, soll nicht mit Steinen werfen",10
those who live in glass houses shouldn't throw stones,"Wer im Glashaus sitzt, soll nicht mit Steinen werfen",10
those who say it cannot be done should not interrupt those doing it,"Wer sagt, es geht nicht, soll den nicht stören, der es gerade tut",6
those who sleep with dogs will rise with fleas,"Wer sich in die Nesseln setzt, darf sich nicht wundern, wenn es brennt",7
"those who will not when they may, when they will they shall have nay","Wer nicht will, wenn er soll, der wird nicht, wenn er will",9
three strikes and you're out,Aller guten Dinge sind drei,5
three times a charm,Aller guten Dinge sind drei,10
"throw dirt enough, and some will stick",Etwas bleibt immer hängen,10
throw enough mud at the wall and some of it will stick,Etwas bleibt immer hängen,10
"throw enough mud at the wall, some of it will stick",Etwas bleibt immer hängen,10
tide nor time tarrieth no man,Die Zeit bleibt für niemanden stehen,8
time and tide stay for no man,Die Zeit wartet auf niemanden,9
time and tide tarry for no man,Die Zeit wartet auf niemanden,9
time and tide wait for no man,Die Zeit wartet auf niemanden,10
time flies,Die Zeit vergeht wie im Flug,10
time flies when you're having fun,"Wenn man Spaß hat, vergeht die Zeit wie im Flug",10
time heals,Die Zeit heilt alle Wunden,9
time heals all hurts,Die Zeit heilt alle Wunden,10
time heals all sorrows,Die Zeit heilt alle Wunden,9
time heals all things,Die Zeit heilt alle Wunden,9
time heals all wounds,Die Zeit heilt alle Wunden,10
time heals every wound,Die Zeit heilt alle Wunden,10
time is a great healer,Die Zeit heilt alle Wunden,9
time is a great healer of all wounds,Die Zeit heilt alle Wunden,9
time is money,Zeit ist Geld,10
time is the great healer,Die Zeit heilt alle Wunden,9
time is wasted without purpose,"Zeit ist zu kostbar, um sie zu verschwenden",6
time spent laughing is time spent with the gods,Lachen ist die beste Medizin,6
timing is everything,Auf das richtige Timing kommt es an,6
tis better to have loved and lost than never to have loved at all,"Besser geliebt und verloren, als nie geliebt",7
"to a hammer, everything looks like a nail","Wer nur einen Hammer hat, für den ist jedes Problem ein Nagel",7
to each his own,Jedem das Seine,9
to each their own,Jedem das Seine,9
to err is human,Irren ist menschlich,10
"to err is human, to forgive divine","Irren ist menschlich, verzeihen ist göttlich",10
"to err is human; to forgive, divine","Irren ist menschlich, verzeihen ist göttlich",10
to the victor go the spoils,Der Sieger bekommt die Beute,6
to the victor the spoils,Der Sieger bekommt die Beute,6
to thine own self be true,Bleib dir selbst treu,9
to travel hopefully is a better thing than to arrive,Der Weg ist das Ziel,10
tomorrow is another day,Morgen ist auch noch ein Tag,10
tomorrow never comes,"Was du heute kannst besorgen, das verschiebe nicht auf morgen",9
"too little, too late",Zu wenig und zu spät,7
too many chefs spoil the broth,Viele Köche verderben den Brei,10
too many cooks spoil the broth,Viele Köche verderben den Brei,10
too many cooks spoil the soup,Viele Köche verderben den Brei,10
too many cooks spoil the stew,Viele Köche verderben den Brei,10
too many cooks spoils the broth,Viele Köche verderben den Brei,10
too much bed makes a dull head,Morgenstund hat Gold im Mund,6
too much pudding will choke a dog,Allzu viel ist ungesund,9
too much rain makes a flood,Allzu viel ist ungesund,7
too much water drowned the miller,Allzu viel ist ungesund,8
"trust every man, but cut the cards","Vertrauen ist gut, Kontrolle ist besser",10
"trust everybody, but always cut the cards","Vertrauen ist gut, Kontrolle ist besser",10
"trust everybody, but always cut the deck","Vertrauen ist gut, Kontrolle ist besser",10
"trust everybody, but cut the cards","Vertrauen ist gut, Kontrolle ist besser",10
"trust everybody, but cut the deck","Vertrauen ist gut, Kontrolle ist besser",10
"trust your friends, but cut the cards","Vertrauen ist gut, Kontrolle ist besser",10
"trust, but verify","Vertrauen ist gut, Kontrolle ist besser",10
truth is stranger than fiction,Die Wirklichkeit übertrifft die Dichtung,9
truth will out,Lügen haben kurze Beine,8
turn your face toward the sun and the shadows fall behind you,Immer der Sonne entgegen,6
turnabout is fair play,"Wie du mir, so ich dir",9
two birds with one stone,Zwei Fliegen mit einer Klappe schlagen,10
two can play at that game,Das können wir auch,6
two can play that game,Das können wir auch,6
two heads are better than one,Vier Augen sehen mehr als zwei,10
"two is company, but three is a crowd","Zwei sind Gesellschaft, drei sind eine Gruppe",5
two wrongs do not make a right,Zwei Fehler ergeben noch kein Recht,6
two wrongs don't make a right,Zwei Fehler ergeben noch kein Recht,6
two's company and three is none,"Zwei sind Gesellschaft, drei sind eine Gruppe",5
"two's company, three's a crowd","Zwei sind Gesellschaft, drei sind eine Gruppe",5
"two's company, three's trumpery","Zwei sind Gesellschaft, drei sind einer zu viel",6
ugly is as ugly does,Schönheit kommt von innen,6
underpromise and overdeliver,"Weniger versprechen, mehr halten",7
uneasy lies the head that wears a crown,"Schwer ist der Kopf, der die Krone trägt",9
union is strength,Einigkeit macht stark,10
union makes strength,Einigkeit macht stark,10
united we bargain; divided we beg,Einigkeit macht stark,7
"united we stand, divided we fall",Einigkeit macht stark,10
unity is strength,Einigkeit macht stark,10
unity makes strength,Einigkeit macht stark,10
"until the lions have their historians, tales of the hunt shall always glorify the hunter",Die Geschichte wird von den Siegern geschrieben,10
up a creek without a paddle,In der Klemme sitzen,6
use it or lose it,"Wer rastet, der rostet",10
variety is the spice of life,Abwechslung ist die Würze des Lebens,9
virtue is its own reward,Tugend ist ihr eigener Lohn,9
walk softly and carry a big stick,"Leise treten, aber einen großen Knüppel in der Hand haben",6
walk softly but carry a big stick,"Leise treten, aber einen großen Knüppel in der Hand haben",6
walls have ears,Die Wände haben Ohren,10
walnuts and pears you plant for your heirs,"Wer einen Baum pflanzt, pflanzt für die nächste Generation",6
"waste not, want not","Spare in der Zeit, dann hast du in der Not",9
water finds its level,Gleich und Gleich gesellt sich gern,7
water finds its own level,Gleich und Gleich gesellt sich gern,7
water seeks its level,Gleich und Gleich gesellt sich gern,7
water seeks its own level,Gleich und Gleich gesellt sich gern,7
we are where we are,"Es ist, wie es ist",9
well begun is half done,Gut begonnen ist halb gewonnen,10
well done is better than well said,Taten sagen mehr als Worte,10
what cannot be cured must be endured,"Was man nicht ändern kann, muss man ertragen",8
what comes around goes around,"Wie man in den Wald hineinruft, so schallt es heraus",9
what does not kill me makes me stronger,"Was mich nicht umbringt, macht mich stärker",10
what doesn't kill you makes you stronger,"Was dich nicht umbringt, macht dich stärker",10
what go round come round,"Wie man in den Wald hineinruft, so schallt es heraus",8
what goes around comes around,"Wie man in den Wald hineinruft, so schallt es heraus",9
"what goes around, comes around","Wie man in den Wald hineinruft, so schallt es heraus",9
what goes round comes round,"Wie man in den Wald hineinruft, so schallt es heraus",9
what goes up must come down,"Was hoch steigt, fällt tief",8
what happens in las vegas stays in las vegas,"Was in Vegas passiert, bleibt in Vegas",9
what happens in vegas stays in vegas,"Was in Vegas passiert, bleibt in Vegas",9
what happens on the road stays on the road,"Was auf der Reise passiert, bleibt auf der Reise",5
what has been seen cannot be unseen,"Was du einmal gesehen hast, kannst du nicht mehr ungesehen machen",6
what is learnt in the cradle lasts to the tombs,"Was Hänschen nicht lernt, lernt Hans nimmermehr",9
what is sauce for the goose is sauce for the gander,Gleiches Recht für alle,8
"what the eye does not see, the heart does not grieve over","Was ich nicht weiß, macht mich nicht heiß",10
"what the eye doesn't see, the heart doesn't grieve over","Was ich nicht weiß, macht mich nicht heiß",10
what you gain on the swings you lose on the roundabouts,"Wie gewonnen, so zerronnen",7
what you lose on the swings you gain on the roundabouts,"Wo man verliert, kann man auch gewinnen",4
what's bred in the bone will come out in the flesh,Der Apfel fällt nicht weit vom Stamm,8
what's done cannot be undone,Geschehen ist geschehen,9
what's done is done,Geschehen ist geschehen,10
what's good for the goose is good for the gander,Gleiches Recht für alle,9
what's old is new again,Alles kommt wieder,8
what's sauce for the goose is sauce for the gander,Gleiches Recht für alle,9
whatever floats your boat,Jedem das Seine,8
"when all you have is a hammer, everything looks like a nail","Wer nur einen Hammer hat, für den ist jedes Problem ein Nagel",6
"when america sneezes, the world catches a cold","Wenn Amerika hustet, bekommt die Welt eine Erkältung",6
"when i see a bird that walks like a duck and swims like a duck and quacks like a duck, i call that bird a duck","Wenn es aussieht wie eine Ente und quakt wie eine Ente, ist es wohl eine Ente",6
"when in doubt, do nowt",Im Zweifel lieber nichts tun,5
when in rome,"Andere Länder, andere Sitten",8
"when in rome, do as the romans","Andere Länder, andere Sitten",9
"when in rome, do as the romans do","Andere Länder, andere Sitten",9
"when in rome, do like the romans do","Andere Länder, andere Sitten",9
when it rains it pours,Ein Unglück kommt selten allein,10
"when it rains, it pours",Ein Unglück kommt selten allein,10
"when life gives you lemons, make lemonade","Wenn dir das Leben Zitronen gibt, mach Limonade daraus",7
"when one door closes, another door opens","Wenn sich eine Tür schließt, öffnet sich eine andere",9
"when one door closes, another one opens","Wenn sich eine Tür schließt, öffnet sich eine andere",9
"when one door closes, another opens","Wenn sich eine Tür schließt, öffnet sich eine andere",9
"when one door shuts, another door opens","Wenn sich eine Tür schließt, öffnet sich eine andere",9
"when one door shuts, another one opens","Wenn sich eine Tür schließt, öffnet sich eine andere",9
"when one door shuts, another opens","Wenn sich eine Tür schließt, öffnet sich eine andere",9
"when the cat is away, the mice will play","Ist die Katze aus dem Haus, tanzen die Mäuse auf dem Tisch",10
when the cat's away,"Ist die Katze aus dem Haus, tanzen die Mäuse auf dem Tisch",9
when the cat's away the mice play,"Ist die Katze aus dem Haus, tanzen die Mäuse auf dem Tisch",10
when the cat's away the mice will play,"Ist die Katze aus dem Haus, tanzen die Mäuse auf dem Tisch",10
"when the going gets tough, the tough get going","Wenn es hart auf hart kommt, trennt sich die Spreu vom Weizen",7
"when the looting starts, the shooting starts","Wie man in den Wald hineinruft, so schallt es heraus",5
"when you find yourself in a hole, the first thing to do is stop digging","Wenn du merkst, dass du ein totes Pferd reitest, steig ab",8
"when you have seen one, you have seen them all",Einer wie der andere,7
"when you hear hoofbeats, look for horses, not zebras",Man soll nicht gleich Gespenster sehen,6
"when you hear hoofbeats, think horses, not zebras",Man soll nicht gleich Gespenster sehen,7
"when you hear hoofbeats, think of horses, not zebras",Man soll nicht gleich Gespenster sehen,7
"when you mess with the bull, you get the horns","Wer sich in Gefahr begibt, kommt darin um",7
"when you're up to your neck in alligators, it's hard to remember that your initial objective was to drain the swamp",Man sieht den Wald vor lauter Bäumen nicht,6
where there is a will there is a way,"Wo ein Wille ist, ist auch ein Weg",10
"where there is a will, there is a way","Wo ein Wille ist, ist auch ein Weg",10
where there is life there is hope,"Solange man lebt, hofft man",9
where there is muck there is brass,Dreck macht Speck,6
where there's a will there's a way,"Wo ein Wille ist, ist auch ein Weg",10
where there's muck there's brass,Dreck macht Speck,6
where there's no sense there's no feeling,Dummheit und Stolz wachsen auf einem Holz,5
"where there's smoke, there's fire","Wo Rauch ist, ist auch Feuer",10
where you stand depends on where you sit,"Wes Brot ich ess, des Lied ich sing",7
"wherever you go, there you are",Vor sich selbst kann man nicht davonlaufen,8
"whether you think you can, or you think you can't, you're right",Der Glaube versetzt Berge,7
"while the grass grows, the steed starves","Bis der Arzt kommt, ist der Patient tot",4
while there is life there is hope,"Solange man lebt, hofft man",9
"while there's life, there's hope","Solange man lebt, hofft man",9
who keeps company with the wolf will learn to howl,"Sage mir, mit wem du umgehst, und ich sage dir, wer du bist",9
"who keeps company with wolves, will learn to howl","Sage mir, mit wem du umgehst, und ich sage dir, wer du bist",9
who pays the piper calls the tune,"Wes Brot ich ess, des Lied ich sing",10
who will bell the cat,Wer will die Kastanien aus dem Feuer holen?,6
whom the gods love die young,"Wen die Götter lieben, den lassen sie jung sterben",8
why keep a dog and bark yourself,Warum einen Hund halten und selbst bellen?,8
with great power comes great responsibility,Macht verpflichtet,8
woe to the vanquished,Wehe den Besiegten,9
wonders will never cease,Wunder gibt es immer wieder,9
words cut deep,Worte können verletzen,8
work expands so as to fill the time available,"Arbeit dehnt sich in dem Maß aus, wie Zeit für ihre Erledigung zur Verfügung steht",9
"work smarter, not harder",Mit Köpfchen geht alles besser,7
worrying never did anyone any good,Sorgen machen es auch nicht besser,7
worse things happen at sea,Schlimmer geht immer,8
yesterday is gone,"Was vorbei ist, ist vorbei",8
yesterday's gone,"Was vorbei ist, ist vorbei",8
you are never too old to learn,Man lernt nie aus,10
you are what you eat,"Du bist, was du isst",10
you attract more flies with honey than vinegar,Mit Honig fängt man mehr Fliegen als mit Essig,10
"you break it, you buy it","Wer etwas kaputt macht, muss es bezahlen",8
"you buy cheap, you get cheap","Wer billig kauft, kauft zweimal",10
you can catch more flies with honey than vinegar,Mit Honig fängt man mehr Fliegen als mit Essig,10
you can catch more flies with honey than with vinegar,Mit Honig fängt man mehr Fliegen als mit Essig,10
you can have too much of a good thing,Die Dosis macht das Gift,8
"you can lead a horse to water, but you can't make her drink",Man kann niemanden zum Glück zwingen,7
"you can lead a horse to water, but you can't make him drink",Man kann niemanden zum Glück zwingen,7
"you can lead a horse to water, but you can't make it drink",Man kann niemanden zum Glück zwingen,7
"you can lead a horse to water, but you cannot make it drink",Man kann niemanden zum Glück zwingen,7
"you can lead horses to water, but you can't make them drink",Man kann niemanden zum Glück zwingen,7
you can never/never can tell,Man kann nie wissen,8
"you can take the monkey out of the jungle, but you can't take the jungle out of the monkey",Der Apfel fällt nicht weit vom Stamm,6
you can't be half pregnant,Ein bisschen schwanger gibt es nicht,9
you can't break a stick in a bundle,Ein Bündel Stäbe bricht man nicht so leicht,6
you can't break a twig in a bundle,Ein Bündel Stäbe bricht man nicht so leicht,6
you can't break sticks in a bundle,Ein Bündel Stäbe bricht man nicht so leicht,6
you can't catch old birds with chaff,Alte Füchse sind schwer zu fangen,7
you can't fight city hall,Gegen die Obrigkeit ist kein Kraut gewachsen,7
you can't fix stupid,Dagegen ist kein Kraut gewachsen,7
you can't get a quart into a pint pot,"Man kann nicht mehr einfüllen, als hineingeht",6
you can't get something for nothing,Ohne Fleiß kein Preis,9
you can't go home again,Man kann nicht in die Vergangenheit zurückkehren,5
you can't judge a book by its cover,Der Schein trügt,10
you can't keep a good man down,Gute Leute setzen sich durch,7
"you can't live with 'em, you can't live without 'em","Mit ihnen geht es nicht, ohne sie auch nicht",8
"you can't live with them, you can't live without them","Mit ihnen geht es nicht, ohne sie auch nicht",8
you can't make a silk purse of a sow's ear,Aus einem Ackergaul wird kein Rennpferd,8
you can't make an omelette without breaking eggs,"Wo gehobelt wird, da fallen Späne",10
you can't outrun your fork,Der Bauch läuft schneller als die Beine,5
you can't polish a turd,Aus Dreck wird kein Gold,8
you can't polish shit,Aus Dreck wird kein Gold,8
you can't pour from an empty cup,"Wer selbst nichts hat, kann nichts geben",7
you can't put a wise head on young shoulders,"Was Hänschen nicht lernt, lernt Hans nimmermehr",6
you can't put an old head on young shoulders,"Was Hänschen nicht lernt, lernt Hans nimmermehr",6
you can't put the shit back in the horse,"Was geschehen ist, ist geschehen",7
you can't put the toothpaste back in the tube,"Was gesagt ist, ist gesagt",7
you can't put the toothpaste back into the tube,"Was gesagt ist, ist gesagt",7
you can't run with the hare and hunt with the hounds,Man kann nicht auf zwei Hochzeiten tanzen,9
you can't step in the same river twice,Man steigt nie zweimal in denselben Fluss,10
you can't take it with you,Das letzte Hemd hat keine Taschen,10
you can't teach an old dog new tricks,Einen alten Baum verpflanzt man nicht,9
you can't tell a book by its cover,Kleider machen Leute,6
you can't unring a bell,Gesagt ist gesagt,7
you can't win them all,Man kann nicht immer gewinnen,10
you cannot always get what you want,Man kann nicht alles haben,10
you cannot break a stick in a bundle,Einigkeit macht stark,8
you cannot break a twig in a bundle,Einigkeit macht stark,8
you cannot break sticks in a bundle,Einigkeit macht stark,8
you cannot burn a candle at both ends,Man kann nicht auf zwei Hochzeiten tanzen,7
you cannot get blood out of a stone,"Wo nichts ist, hat der Kaiser sein Recht verloren",9
you cannot have your cake and eat it too,Man kann nicht auf zwei Hochzeiten tanzen,8
you cannot make a silk purse from a sow's ear,Aus einem Ackergaul wird kein Rennpferd,8
you cannot make an omelette without breaking eggs,"Wo gehobelt wird, da fallen Späne",10
you cannot make bricks without straw,Ohne Moos nichts los,7
you cannot please everyone,"Allen Leuten recht getan ist eine Kunst, die niemand kann",10
you cannot push a rope,Gegen den Strom schwimmt man vergebens,5
you cannot put the same shoe on every foot,"Was dem einen recht ist, ist dem anderen billig",4
you cannot run with the hare and hunt with the hounds,Man kann nicht auf zwei Hochzeiten tanzen,10
you cannot unscramble eggs,"Was geschehen ist, ist geschehen",8
you cannot win them all,Man kann nicht immer gewinnen,10
you cannot) teach an old dog new tricks,Einen alten Baum verpflanzt man nicht,9
you catch more flies with honey than vinegar,Mit Honig fängt man mehr Fliegen als mit Essig,10
you catch more flies with honey than with vinegar,Mit Honig fängt man mehr Fliegen als mit Essig,10
you don't get owt for nowt,Ohne Fleiß kein Preis,9
you don't get something for nothing,Ohne Fleiß kein Preis,10
you don't get your nookie where you get your cookies,"Wo man isst, da soll man nicht lieben",6
you don't know what you've got till it's gone,"Man weiß erst, was man hatte, wenn man es verloren hat",8
you don't look at the mantelpiece when you poke the fire,Einem geschenkten Gaul schaut man nicht ins Maul,6
you don't look at the mantelpiece when you're poking the fire,Einem geschenkten Gaul schaut man nicht ins Maul,6
you don't miss the water till the well runs dry,"Man weiß erst, was man hatte, wenn man es verloren hat",9
you don't need a weatherman to know which way the wind blows,Der Wind steht jedem frei,4
you get what you pay for,"Was nichts kostet, ist nichts wert",9
you have to be good to be lucky,Das Glück ist mit den Tüchtigen,10
you have to be in it to win it,"Wer nicht wagt, der nicht gewinnt",10
you make the bed you lie in,"Wie man sich bettet, so liegt man",10
you may/might as well be hanged/hung for a sheep as (for) a lamb,Lieber ein Ende mit Schrecken als ein Schrecken ohne Ende,5
you miss 100% of the shots you don't take,"Wer nicht wagt, der nicht gewinnt",9
you must have rocks in your head,Du hast sie wohl nicht alle,8
you never know what you've got till it's gone,"Man weiß erst, was man hatte, wenn man es verloren hat",9
you never miss the water till the well runs dry,"Man weiß erst, was man hatte, wenn man es verloren hat",9
you never miss the water until the well runs dry,"Man weiß erst, was man hatte, wenn man es verloren hat",9
you only get what you give,"Wie man in den Wald hineinruft, so schallt es heraus",7
you only go around once,Man lebt nur einmal,10
you only go around once in life,Man lebt nur einmal,10
you only live once,Man lebt nur einmal,10
you pay your dime and you takes your chances,"Wer A sagt, muss auch B sagen",6
you pay your money and you take your choice,"Wer die Wahl hat, hat die Qual",7
you pays your money and you takes your chances,"Wer A sagt, muss auch B sagen",6
you pays your money and you takes your choice,"Wer die Wahl hat, hat die Qual",7
you pays your nickel and you takes your chances,"Wer A sagt, muss auch B sagen",6
you pays your nickel and you takes your choice,"Wer die Wahl hat, hat die Qual",7
you scratch my back and i will scratch yours,Eine Hand wäscht die andere,10
you scratch my back and i'll scratch yours,Eine Hand wäscht die andere,10
you snooze you lose,"Wer zu spät kommt, den bestraft das Leben",8
"you win some, you lose some","Mal gewinnt man, mal verliert man",10
you'll never get if you never go,"Wer nicht wagt, der nicht gewinnt",9
you're never too old to learn,"Man ist nie zu alt, um zu lernen",9
you're only as good as your last shift,Du bist nur so gut wie deine letzte Leistung,6
you've got to be in it to win it,"Wer nicht wagt, der nicht gewinnt",10
you've got to crack a few eggs to make an omelette,Ohne Fleiß kein Preis,8
you've got to separate the wheat from the chaff,die Spreu vom Weizen trennen,10
you've made your bed and you must lie in/on it,"Wie man sich bettet, so liegt man",10
your net worth is your network,"Beziehungen schaden nur dem, der keine hat",9
your network is your net worth,"Beziehungen schaden nur dem, der keine hat",9
your vibe attracts your tribe,Gleich und Gleich gesellt sich gern,10
youth is wasted on the young,"Was man in der Jugend versäumt, holt man im Alter nicht nach",7
zeal without knowledge is a runaway horse,Eifer ohne Verstand tut selten gut,8
zeal without knowledge is fire without light,Blinder Eifer schadet nur,9
a mind is a terrible thing to waste,"Was Hänschen nicht lernt, lernt Hans nimmermehr",5
a nod is as good as a wink to a blind horse,Ein Wink mit dem Zaunpfahl,6
a picture is worth a thousand words,Ein Bild sagt mehr als tausend Worte,10
a picture paints a thousand words,Ein Bild sagt mehr als tausend Worte,10
a problem shared is a problem halved,Geteiltes Leid ist halbes Leid,9
a promise is a promise,Versprochen ist versprochen und wird auch nicht gebrochen,10
a promise made is a promise kept,Versprochen ist versprochen und wird auch nicht gebrochen,10
a prophet has no honor in his own country,Der Prophet gilt nichts im eigenen Land,10
a prophet is not without honor save in his own country,Der Prophet gilt nichts im eigenen Land,10
a rolling stone gathers no moss,Ein rollender Stein setzt kein Moos an,9
"a ship in a harbour is safe, but that's not what a ship is for","Ein Schiff ist im Hafen sicher, doch dafür ist es nicht gebaut",5
a smooth sea never made a skilled sailor,Glückliche Reise macht keinen guten Seemann,6
a sorrow shared is a sorrow halved,Geteiltes Leid ist halbes Leid,10
a stick in a bundle cannot be broken,Einigkeit macht stark,7
a stick in a bundle is unbreakable,Einigkeit macht stark,7
a stitch in time,Vorsicht ist besser als Nachsicht,6
a stitch in time saves nine,"Wer den Schaden hat, braucht für den Spott nicht zu sorgen",3
a stopped clock is right twice a day,Auch eine kaputte Uhr geht zweimal am Tag richtig,8
a straw shows how the wind blows,Der erste Eindruck zählt,3
a straw shows which way the wind blows,Der erste Eindruck zählt,3
a sucker is born every minute,Jeden Tag steht ein Dummer auf,8
a trouble shared is a trouble halved,Geteiltes Leid ist halbes Leid,10
a twig in a bundle cannot be broken,Einigkeit macht stark,7
a twig in a bundle is unbreakable,Einigkeit macht stark,7
a watched kettle never boils,Geduld bringt Rosen,4
a watched pot never boils,Geduld bringt Rosen,4
a watched pot never boils over,Geduld bringt Rosen,3
a watched pot/kettle never boils,Geduld bringt Rosen,4
a woman's work is never done,Frauenarbeit wird nie fertig,4
a worry shared is a worry halved,Geteiltes Leid ist halbes Leid,10
absence makes the heart grow fonder,"Aus den Augen, aus dem Sinn",4
absolute power corrupts absolutely,Macht korrumpiert,8
accidents will happen,Unfälle passieren eben,6
accidents will happen in the best regulated families,In den besten Familien passieren die schlimmsten Dinge,7
all politics are local,Politik wird vor Ort gemacht,6
all politics is local,Politik wird vor Ort gemacht,6
all things excellent are as difficult as they are rare,"Was lange währt, wird endlich gut",4
bad money drives out good,Schlechtes Geld verdrängt gutes Geld,9
"beauty fades, dumb is forever","Schönheit vergeht, Dummheit besteht",10
better dead than red,Lieber tot als rot,9
chicks before dicks,Schwestern vor Mistern,3
coffee and love taste best when hot,Kalter Kaffee und kalte Liebe taugen nichts,6
common sense is neither common nor sensical,Der gesunde Menschenverstand ist gar nicht so verbreitet,5
diamonds are a girl's best friend,Diamanten sind die besten Freunde der Frauen,8
do not sit in rome and strive with the pope,Mit dem Papst ist nicht gut Kirschen essen,6
don't fight the tape,Gegen den Strom schwimmt man nicht,6
"don't get mad, get even",Rache ist süß,7
"don't hate the player, hate the game",Schimpf nicht auf den Boten,6
don't take any wooden nickels,Lass dich nicht übers Ohr hauen,8
"drive for show, putt for dough","Außen hui, innen pfui",5
"early marriage, earlier pregnant","Früh gefreit, früh gereut",7
even jove nods,Auch der Beste macht mal einen Fehler,6
every accusation is a confession,Getroffene Hunde bellen,7
extraordinary claims require extraordinary evidence,Außergewöhnliche Behauptungen erfordern außergewöhnliche Beweise,8
facts don't care about your feelings,Fakten sind hartnäckig,8
fat is flavor,Fett ist ein Geschmacksträger,9
fat is flavour,Fett ist ein Geschmacksträger,9
"finders, keepers; losers, weepers",Finderlohn ist Ehrensache,3
fingers were made before forks,Mit Fingern isst man besser,3
fool me once,"Wer einmal lügt, dem glaubt man nicht",6
"fool me once, shame on you","Wer einmal lügt, dem glaubt man nicht",7
free is for me,Geschenkt ist geschenkt,6
game is game,Ein Spiel ist ein Spiel,2
genius is an infinite capacity for taking pains,Genie ist Fleiß,5
give a man a fish,"Hilf dir selbst, dann hilft dir Gott",4
"given enough eyeballs, all bugs are shallow",Viele Augen sehen mehr als zwei,9
"good artists copy, great artists steal",Besser gut geklaut als schlecht selbst gemacht,8
good talk saves the food,Gute Worte sind besser als gute Speise,3
great minds,"Zwei Dumme, ein Gedanke",6
hard cases make bad law,Ausnahmen bestätigen die Regel,6
"hate the game, not the player",Schimpf nicht auf den Boten,7
haters gonna hate,"Neid muss man sich verdienen, Mitleid bekommt man geschenkt",8
"he who can, does; he who cannot, teaches","Wer nichts wird, wird Wirt",5
he who said the rhyme did the crime,"Wer zuerst schreit, war’s auch",6
he who smelt it dealt it,"Wer’s gerochen hat, hat’s auch verbrochen",8
"horses, not zebras","Wenn du Hufgetrappel hörst, denk an Pferde, nicht an Zebras",7
how long is a piece of string,So lang wie ein Tag ohne Brot,4
how you get them is how you lose them,"Wie gewonnen, so zerronnen",7
"hunger never knows the taste, sleep never knows the comfort",Hunger ist der beste Koch,6
hunt where the ducks are,"Man muss das Eisen schmieden, solange es heiß ist",4
if it looks like a duck,"Wenn es aussieht wie eine Ente und quakt wie eine Ente, ist es wohl eine Ente",9
"if you believe everything you read, better not to read","Glaube nicht alles, was du liest",6
"if you build it, they will come",Angebot schafft Nachfrage,7
"if you can't live longer, live deeper","Nicht die Jahre in unserem Leben zählen, sondern das Leben in unseren Jahren",8
"if you steal from one author, it is plagiarism; if you steal from many, it is research",Besser gut geklaut als schlecht selbst gemacht,6
ignore all rules,"Regeln sind da, um gebrochen zu werden",9
ill doers are ill deemers,"Wer selbst Dreck am Stecken hat, verdächtigt andere am ehesten",6
"in like a lion, out like a lamb","März, der sich wie ein Löwe beginnt und wie ein Lamm endet",5
"in the midst of life, we are in death",Mitten im Leben sind wir vom Tod umfangen,9
it ain't the whistle that pulls the train,Nicht die Fahne macht den Wind,6
it ain't what you don't know that gets you into trouble. it's what you know for sure that just ain't so,"Nicht das, was wir nicht wissen, bringt uns in Schwierigkeiten, sondern das, was wir sicher zu wissen glauben und was nicht stimmt",7
it doesn't matter what they say about you as long as they spell your name right,"Es gibt keine schlechte Werbung, nur schlechte Rechtschreibung",4
it is better to have loved and lost than never to have loved at all,"Besser geliebt und verloren, als nie geliebt",8
it is better to travel hopefully than to arrive,Der Weg ist das Ziel,10
it pays to advertise,"Wer nicht wirbt, der stirbt",10
it takes a village,"Es braucht ein ganzes Dorf, um ein Kind zu erziehen",9
it takes a village to raise a child,"Es braucht ein ganzes Dorf, um ein Kind zu erziehen",9
